Date	Time	Animal	Box	TempC	HumC	LightC	S.Flow	Ref.O2	Ref.CO2	Flow	Temp	O2	CO2	dO2	dCO2	VO2(1)	VO2(2)	VO2(3)	VCO2(1)	VCO2(2)	VCO2(3)	RER	H(1)	H(2)	H(3)	XT+YT	XT	XA	XF	YT	YA	YF	Z	CenT	CenA	CenF	PerT	PerA	PerF	DistK	DistD	Speed	Drink	Feed	Weight	Right	Left	SumR+L	SumTime	SumRuns	MaxSpeed	AvgSpeed	MaxLen
11/08/2019	20:25	3376	1	22	52	0	0.25	20.81	0.066	0.35	21.8	20.27	0.506	0.544	0.44	3193	1404	119	2459	1081	92	0.77	15.304	6.73	0.572	17982	9849	8559	1290	8133	6773	1360	816	7371	6426	945	10611	8906	1705	7529	7529	3	0.06	0.03	2885200.8	2239	1730	3970	1.86	91	0.42	0.23	4.3
11/08/2019	21:04	3376	1	22	51	0	0.25	20.82	0.066	0.35	22.3	20.3	0.482	0.523	0.416	3094	1361	116	2331	1025	87	0.753	14.772	6.496	0.552	15130	8068	6841	1227	7062	5839	1223	1126	6241	5223	1018	8889	7457	1432	14088	6559	3	0.07	0.03	2887346.5	2850	1832	4682	2.19	108	0.42	0.12	5.1
11/08/2019	21:43	3376	1	22	50	0	0.25	20.83	0.067	0.35	22.3	20.27	0.496	0.564	0.429	3357	1476	126	2397	1054	90	0.714	15.88	6.984	0.594	14064	7713	6483	1230	6351	5274	1077	1164	5795	4879	916	8269	6878	1391	19985	5897	3	0.08	0.13	2888755	5055	1832	6888	3.22	151	0.42	0.1	9.6
11/08/2019	22:22	3376	1	22	50	0	0.25	20.83	0.067	0.35	22.3	20.32	0.483	0.513	0.416	3014	1326	113	2329	1024	87	0.773	14.456	6.357	0.541	10599	4935	4001	934	5664	4541	1123	580	3548	2944	604	7051	5598	1453	25396	5410	2	0.23	0.24	2890050.3	2036	1798	3834	1.76	82	0.42	0.05	7.6
11/08/2019	23:01	3376	1	22	50	0	0.25	20.83	0.066	0.35	22.3	20.33	0.484	0.503	0.417	2941	1293	110	2336	1027	87	0.794	14.174	6.233	0.53	2926	576	383	193	2350	1830	520	2	254	213	41	2672	2000	672	28237	2841	1	0.23	0.29	2890150	0	0	0	0	0	0	-	0
11/08/2019	23:40	3376	1	22	50	0	0.25	20.83	0.067	0.35	22.4	20.44	0.397	0.39	0.33	2271	999	85	1846	812	69	0.813	10.993	4.834	0.411	15426	8361	7180	1181	7065	5850	1215	1071	5912	5119	793	9514	7911	1603	34544	6307	3	0.41	0.35	2891412.3	2714	2443	5157	2.34	121	0.42	0.05	3.5
11/09/2019	00:19	3376	1	22.1	51	0	0.25	20.83	0.068	0.35	22.3	20.36	0.473	0.472	0.405	2750	1209	103	2273	1000	85	0.827	13.353	5.872	0.499	12531	6353	5232	1121	6178	5043	1135	719	4457	3679	778	8074	6596	1478	40491	5947	3	0.48	0.62	2893447.5	1459	2239	3698	1.68	89	0.42	0.03	3.6
11/09/2019	00:58	3376	1	22	50	0	0.25	20.83	0.067	0.35	22.3	20.32	0.521	0.513	0.453	2951	1298	110	2529	1112	95	0.857	14.425	6.344	0.54	14861	7519	6269	1250	7342	6072	1270	907	5699	4836	863	9162	7505	1657	47026	6536	3	0.8	0.63	2895475.8	2307	3121	5429	2.53	122	0.57	0.04	4.7
11/09/2019	01:37	3376	1	21.9	49	0	0.25	20.83	0.067	0.35	22.3	20.34	0.502	0.493	0.435	2847	1252	106	2442	1074	91	0.858	13.919	6.121	0.521	12798	6627	5456	1171	6171	4912	1259	323	4384	3651	733	8414	6717	1697	54083	7056	3	0.88	0.81	2897405.3	679	305	984	0.48	24	0.34	0.01	3.3
11/09/2019	02:16	3376	1	22	50	0	0.25	20.83	0.067	0.35	22.4	20.42	0.439	0.41	0.372	2359	1037	88	2087	918	78	0.885	11.605	5.103	0.434	16401	8865	7469	1396	7536	6251	1285	286	5197	4453	744	11204	9267	1937	62780	8697	4	0.9	0.81	2899092.3	780	475	1255	0.72	22	0.28	0.01	6.5
11/09/2019	02:55	3376	1	22	50	0	0.25	20.83	0.068	0.35	22.4	20.49	0.359	0.339	0.291	1959	862	73	1621	713	61	0.827	9.514	4.184	0.356	313	27	15	12	286	84	202	0	0	0	0	313	99	214	63116	336	0	0.9	0.81	2899953	0	0	0	0	0	0	-	0
11/09/2019	03:34	3376	1	22	49	0	0.25	20.83	0.068	0.35	22.4	20.52	0.315	0.308	0.247	1809	795	68	1378	606	52	0.762	8.653	3.805	0.324	10272	3201	2592	609	7071	5981	1090	90	1862	1547	315	8410	7026	1384	72859	9743	4	0.9	0.86	2901204.5	170	68	238	0.12	6	0.21	0	2.8
