Genotype	TimePoint	N	CenA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	4029.25	2619.665	1309.833	4168.472	DARK	0.074940689	.
112L1	  2	4	3666.75	1516.048	 758.024	2412.371	DARK	0.118784766	.
112L1	  3	4	1697.50	2130.325	1065.163	3389.823	DARK	0.853494196	.
112L1	  4	4	1039.00	 786.780	 393.390	1251.943	DARK	0.572033954	.
112L1	  5	4	2416.75	 494.126	 247.063	 786.265	DARK	0.009104868	**
112L1	  6	4	1225.75	 641.605	 320.802	1020.937	DARK	0.455359789	.
112L1	  7	4	1957.00	2872.246	1436.123	4570.385	DARK	0.634643691	.
112L1	  8	4	1435.00	1894.950	 947.475	3015.288	DARK	0.836059190	.
112L1	  9	4	2627.25	3313.913	1656.956	5273.175	DARK	0.351395652	.
112L1	 10	4	2976.25	1420.071	 710.035	2259.649	DARK	0.012330144	*
112L1	 11	4	3081.50	3423.969	1711.984	5448.299	DARK	0.239118267	.
112L1	 12	4	1562.50	3125.000	1562.500	4972.572	DARK	0.959598416	.
112L1	 13	4	1109.25	1751.148	 875.574	2786.467	LIGHT	0.179367320	.
112L1	 14	4	 545.00	 516.690	 258.345	 822.169	LIGHT	0.441328377	.
112L1	 15	4	1682.75	1132.981	 566.490	1802.825	LIGHT	0.343444230	.
112L1	 16	4	1094.00	2105.491	1052.746	3350.307	LIGHT	0.591740806	.
112L1	 17	4	 205.50	 277.412	 138.706	 441.425	LIGHT	0.401890401	.
112L1	 18	4	 867.25	1505.933	 752.967	2396.275	LIGHT	0.980943869	.
112L1	 19	4	 514.75	 960.134	 480.067	1527.788	LIGHT	0.796435175	.
112L1	 20	4	  74.50	  93.543	  46.772	 148.848	LIGHT	0.505301604	.
112L1	 21	4	1352.25	2099.270	1049.635	3340.407	LIGHT	0.413807618	.
112L1	 22	4	 156.75	 313.500	 156.750	 498.848	LIGHT	0.495226294	.
112L1	 23	4	1054.50	2020.003	1010.001	3214.275	LIGHT	0.482187485	.
112L1	 24	4	2219.50	3082.356	1541.178	4904.716	LIGHT	0.432740952	.
112L1	 25	4	 864.25	1042.557	 521.278	1658.940	LIGHT	0.209768981	.
112L1	 26	4	 377.00	 754.000	 377.000	1199.782	LIGHT	0.706714695	.
112L1	 27	4	 210.25	 420.500	 210.250	 669.109	LIGHT	0.218445270	.
112L1	 28	4	 609.00	 726.608	 363.304	1156.195	LIGHT	0.243549531	.
112L1	 29	4	 239.50	 372.699	 186.349	 593.047	LIGHT	0.363484068	.
112L1	 30	4	1557.25	1542.863	 771.432	2455.040	LIGHT	0.382570999	.
112L1	 31	4	1476.00	1235.191	 617.596	1965.465	LIGHT	0.116276232	.
112L1	 32	4	1599.75	1386.553	 693.276	2206.315	DARK	0.933510140	.
112L1	 33	4	2868.75	1475.463	 737.731	2347.790	DARK	0.487852336	.
112L1	 34	4	2097.25	 919.438	 459.719	1463.032	DARK	0.058147303	.
112L1	 35	4	2674.00	2330.970	1165.485	3709.093	DARK	0.110559887	.
112L1	 36	4	2248.50	1770.213	 885.106	2816.804	DARK	0.501972940	.
112L1	 37	4	1180.50	 740.077	 370.038	1177.627	DARK	0.966274873	.
112L1	 38	4	2933.25	 452.350	 226.175	 719.790	DARK	0.185322890	.
112L1	 39	4	2329.75	1705.830	 852.915	2714.356	DARK	0.691487806	.
112L1	 40	4	2523.00	1103.519	 551.759	1755.945	DARK	0.012644330	*
112L1	 41	4	2024.75	1085.619	 542.810	1727.462	DARK	0.888209362	.
112L1	 42	4	2473.25	1880.188	 940.094	2991.799	DARK	0.298041981	.
112L1	 43	4	3242.00	2330.060	1165.030	3707.645	DARK	0.113443636	.
112L1	 44	4	2629.75	1597.261	 798.631	2541.599	DARK	0.265448787	.
112L1	 45	4	2742.00	2244.523	1122.261	3571.536	DARK	0.292578401	.
112L1	 46	4	 886.00	1336.197	 668.098	2126.187	DARK	0.800281437	.
112L1	 47	4	1659.00	2763.052	1381.526	4396.632	DARK	0.662440494	.
112L1	 48	4	1853.75	1487.216	 743.608	2366.493	DARK	0.722204789	.
112L1	 49	4	 830.25	1230.369	 615.184	1957.791	DARK	0.221640269	.
112L1	 50	4	2828.50	1452.098	 726.049	2310.612	LIGHT	0.235159866	.
112L1	 51	4	1764.00	2403.622	1201.811	3824.700	LIGHT	0.626835911	.
112L1	 52	4	 148.00	 101.153	  50.577	 160.958	LIGHT	0.243566503	.
112L1	 53	4	 947.75	 839.843	 419.921	1336.377	LIGHT	0.152750573	.
112L1	 54	4	 896.25	1271.679	 635.839	2023.525	LIGHT	0.954433181	.
112L1	 55	4	1216.75	1337.859	 668.930	2128.833	LIGHT	0.425787553	.
112L1	 56	4	 740.25	1241.085	 620.542	1974.843	LIGHT	0.728760097	.
112L1	 57	4	 756.25	 913.285	 456.643	1453.240	LIGHT	0.911552966	.
112L1	 58	4	 594.50	 965.020	 482.510	1535.562	LIGHT	0.759707182	.
112L1	 59	4	  78.00	  70.899	  35.449	 112.816	LIGHT	0.012269695	*
112L1	 60	4	 202.50	 302.435	 151.218	 481.242	LIGHT	0.796792601	.
112L1	 61	4	 104.50	 154.882	  77.441	 246.451	LIGHT	0.306321535	.
112L1	 62	4	 687.75	 703.382	 351.691	1119.238	LIGHT	0.208046081	.
112L1	 63	4	 243.50	 211.437	 105.719	 336.444	LIGHT	0.516562213	.
112L1	 64	4	 461.75	 404.775	 202.388	 644.088	LIGHT	0.909792693	.
112L1	 65	4	 657.25	 453.238	 226.619	 721.202	LIGHT	0.461939069	.
112L1	 66	4	1900.75	2117.791	1058.896	3369.879	LIGHT	0.120982166	.
112L1	 67	4	 626.25	 927.736	 463.868	1476.236	LIGHT	0.100380750	.
112L1	 68	4	 860.25	 766.332	 383.166	1219.405	LIGHT	0.136575537	.
112L1	 69	4	1832.75	1327.130	 663.565	2111.761	DARK	0.005435556	**
112L1	 70	4	1689.75	1102.930	 551.465	1755.008	DARK	0.091889375	.
112L1	 71	4	1586.75	1410.742	 705.371	2244.805	DARK	0.843562746	.
112L1	 72	4	2207.25	 745.303	 372.651	1185.943	DARK	0.118109381	.
112L1	 73	4	3448.75	3022.760	1511.380	4809.885	DARK	0.177850255	.
112L1	 74	4	2393.00	2768.549	1384.275	4405.380	DARK	0.405725119	.
112L1	 75	4	2488.25	 920.323	 460.162	1464.440	DARK	0.422139869	.
112L1	 76	4	2099.50	2196.457	1098.228	3495.053	DARK	0.670494967	.
112L1	 77	4	1746.00	 264.503	 132.252	 420.884	DARK	0.283227834	.
112L1	 78	4	2385.50	 412.141	 206.071	 655.809	DARK	0.066618825	.
112L1	 79	4	2318.75	1904.830	 952.415	3031.009	DARK	0.329367729	.
112L1	 80	4	1700.00	1644.822	 822.411	2617.279	DARK	0.716444106	.
112L1	 81	4	1397.75	1042.417	 521.208	1658.718	DARK	0.188327954	.
112L1	 82	4	1293.75	1073.623	 536.812	1708.374	DARK	0.369939783	.
112L1	 83	4	 987.75	1429.208	 714.604	2274.188	DARK	0.695447021	.
112L1	 84	4	2126.00	1464.487	 732.244	2330.326	DARK	0.039418736	*
112L1	 85	4	2115.25	2359.380	1179.690	3754.300	DARK	0.577822473	.
112L1	 86	4	1925.00	 893.358	 446.679	1421.531	DARK	0.906175074	.
112L1	 87	4	2165.75	1651.950	 825.975	2628.621	LIGHT	0.252062811	.
112L1	 88	4	2274.25	2972.829	1486.414	4730.434	LIGHT	0.382145082	.
112L1	 89	4	 979.75	1945.525	 972.763	3095.765	LIGHT	0.999359971	.
112L1	 90	4	 743.75	 729.393	 364.697	1160.627	LIGHT	0.005788181	**
112L1	 91	4	1878.00	2213.878	1106.939	3522.774	LIGHT	0.684440720	.
112L1	 92	4	  47.50	  66.940	  33.470	 106.517	LIGHT	0.164967768	.
112L1	 93	4	  36.50	  72.335	  36.167	 115.101	LIGHT	0.413017258	.
112L1	 94	4	 555.25	 617.194	 308.597	 982.093	LIGHT	0.122102366	.
112L1	 95	4	 647.00	 815.981	 407.990	1298.408	LIGHT	0.392921508	.
112L1	 96	4	 455.25	 856.061	 428.031	1362.185	LIGHT	0.424464859	.
112L1	 97	4	1056.25	2016.992	1008.496	3209.484	LIGHT	0.445287509	.
112L1	 98	4	 104.25	 178.547	  89.273	 284.108	LIGHT	0.898973804	.
112L1	 99	4	2285.00	4224.295	2112.147	6721.795	LIGHT	0.441640097	.
112L1	100	4	1064.75	1417.507	 708.753	2255.569	LIGHT	0.238122150	.
112L1	101	4	1206.75	1311.609	 655.805	2087.063	LIGHT	0.288245002	.
112L1	102	4	2004.75	2011.620	1005.810	3200.937	LIGHT	0.151363351	.
112L1	103	4	1071.50	1260.916	 630.458	2006.399	LIGHT	0.654310230	.
112L1	104	4	1761.00	1182.836	 591.418	1882.156	LIGHT	0.033423022	*
112L1	105	4	1300.00	 837.241	 418.620	1332.237	DARK	0.021322992	*
112L1	106	4	3524.75	2749.350	1374.675	4374.829	DARK	0.097090389	.
112L1	107	4	1539.50	 737.205	 368.602	1173.057	DARK	0.183310452	.
112L1	108	4	1912.75	 228.669	 114.335	 363.864	DARK	0.002234067	***
112L1	109	4	1545.25	 761.463	 380.731	1211.657	DARK	0.029003517	*
112L1	110	4	2228.25	 874.303	 437.151	1391.210	DARK	0.187895918	.
112L1	111	4	1806.75	 584.559	 292.280	 930.164	DARK	0.899523004	.
112L2	  1	4	1447.50	1859.841	 929.921	2959.422	DARK	0.074940689	.
112L2	  2	4	1659.25	1293.629	 646.815	2058.453	DARK	0.118784766	.
112L2	  3	4	2302.75	1698.974	 849.487	2703.447	DARK	0.853494196	.
112L2	  4	4	1937.50	 812.551	 406.275	1292.949	DARK	0.572033954	.
112L2	  5	4	2550.75	 362.572	 181.286	 576.933	DARK	0.009104868	**
112L2	  6	4	1745.25	1719.231	 859.616	2735.681	DARK	0.455359789	.
112L2	  7	4	1359.50	1401.804	 700.902	2230.583	DARK	0.634643691	.
112L2	  8	4	1543.50	1203.856	 601.928	1915.604	DARK	0.836059190	.
112L2	  9	4	 801.00	1462.341	 731.170	2326.911	DARK	0.351395652	.
112L2	 10	4	 638.25	 674.517	 337.258	1073.307	DARK	0.012330144	*
112L2	 11	4	2061.50	 822.675	 411.337	1309.059	DARK	0.239118267	.
112L2	 12	4	1716.00	1294.144	 647.072	2059.271	DARK	0.959598416	.
112L2	 13	4	1379.50	1174.101	 587.050	1868.256	LIGHT	0.179367320	.
112L2	 14	4	1686.75	1552.194	 776.097	2469.887	LIGHT	0.441328377	.
112L2	 15	4	1109.50	1355.420	 677.710	2156.775	LIGHT	0.343444230	.
112L2	 16	4	 874.75	1564.029	 782.015	2488.720	LIGHT	0.591740806	.
112L2	 17	4	 966.75	 842.499	 421.250	1340.604	LIGHT	0.401890401	.
112L2	 18	4	 688.50	 787.620	 393.810	1253.280	LIGHT	0.980943869	.
112L2	 19	4	 491.50	 439.362	 219.681	 699.123	LIGHT	0.796435175	.
112L2	 20	4	1462.25	2786.259	1393.130	4433.560	LIGHT	0.505301604	.
112L2	 21	4	 940.00	1091.768	 545.884	1737.246	LIGHT	0.413807618	.
112L2	 22	4	 801.00	1131.373	 565.686	1800.266	LIGHT	0.495226294	.
112L2	 23	4	 236.25	 454.025	 227.013	 722.455	LIGHT	0.482187485	.
112L2	 24	4	 349.75	 497.680	 248.840	 791.919	LIGHT	0.432740952	.
112L2	 25	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.209768981	.
112L2	 26	4	 154.50	 182.312	  91.156	 290.099	LIGHT	0.706714695	.
112L2	 27	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.218445270	.
112L2	 28	4	 152.75	 305.500	 152.750	 486.119	LIGHT	0.243549531	.
112L2	 29	4	 456.00	 534.426	 267.213	 850.390	LIGHT	0.363484068	.
112L2	 30	4	 438.75	 709.018	 354.509	1128.206	LIGHT	0.382570999	.
112L2	 31	4	  43.25	  71.402	  35.701	 113.617	LIGHT	0.116276232	.
112L2	 32	4	1759.75	3519.500	1759.750	5600.310	DARK	0.933510140	.
112L2	 33	4	1763.00	1507.697	 753.848	2399.082	DARK	0.487852336	.
112L2	 34	4	 619.50	 728.064	 364.032	1158.513	DARK	0.058147303	.
112L2	 35	4	 455.50	 340.950	 170.475	 542.528	DARK	0.110559887	.
112L2	 36	4	2010.50	1497.570	 748.785	2382.968	DARK	0.501972940	.
112L2	 37	4	1109.00	2125.691	1062.846	3382.449	DARK	0.966274873	.
112L2	 38	4	1530.50	1221.399	 610.699	1943.518	DARK	0.185322890	.
112L2	 39	4	1451.75	 878.552	 439.276	1397.973	DARK	0.691487806	.
112L2	 40	4	2025.00	 860.651	 430.325	1369.488	DARK	0.012644330	*
112L2	 41	4	2091.50	1553.828	 776.914	2472.487	DARK	0.888209362	.
112L2	 42	4	2237.00	1597.120	 798.560	2541.374	DARK	0.298041981	.
112L2	 43	4	2951.75	1805.744	 902.872	2873.342	DARK	0.113443636	.
112L2	 44	4	1396.50	1247.257	 623.628	1984.664	DARK	0.265448787	.
112L2	 45	4	1427.75	1994.357	 997.179	3173.467	DARK	0.292578401	.
112L2	 46	4	1470.50	1432.428	 716.214	2279.312	DARK	0.800281437	.
112L2	 47	4	1283.50	1473.131	 736.566	2344.080	DARK	0.662440494	.
112L2	 48	4	1292.50	1217.302	 608.651	1937.000	DARK	0.722204789	.
112L2	 49	4	1799.00	 329.774	 164.887	 524.743	DARK	0.221640269	.
112L2	 50	4	1125.00	1300.009	 650.004	2068.604	LIGHT	0.235159866	.
112L2	 51	4	 608.50	1132.522	 566.261	1802.096	LIGHT	0.626835911	.
112L2	 52	4	1736.25	2028.033	1014.017	3227.053	LIGHT	0.243566503	.
112L2	 53	4	2535.00	2363.251	1181.626	3760.460	LIGHT	0.152750573	.
112L2	 54	4	1005.75	 879.109	 439.554	1398.858	LIGHT	0.954433181	.
112L2	 55	4	1505.75	2000.477	1000.238	3183.205	LIGHT	0.425787553	.
112L2	 56	4	 793.75	1494.333	 747.167	2377.818	LIGHT	0.728760097	.
112L2	 57	4	 700.50	1401.000	 700.500	2229.304	LIGHT	0.911552966	.
112L2	 58	4	 244.25	 488.500	 244.250	 777.313	LIGHT	0.759707182	.
112L2	 59	4	 921.00	 633.173	 316.587	1007.520	LIGHT	0.012269695	*
112L2	 60	4	 417.75	 835.500	 417.750	1329.467	LIGHT	0.796792601	.
112L2	 61	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.306321535	.
112L2	 62	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.208046081	.
112L2	 63	4	  59.00	 118.000	  59.000	 187.764	LIGHT	0.516562213	.
112L2	 64	4	 528.00	 957.982	 478.991	1524.362	LIGHT	0.909792693	.
112L2	 65	4	1158.00	1153.806	 576.903	1835.963	LIGHT	0.461939069	.
112L2	 66	4	  27.25	  54.500	  27.250	  86.722	LIGHT	0.120982166	.
112L2	 67	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.100380750	.
112L2	 68	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.136575537	.
112L2	 69	4	 405.75	 709.470	 354.735	1128.926	DARK	0.005435556	**
112L2	 70	4	 868.50	1005.370	 502.685	1599.769	DARK	0.091889375	.
112L2	 71	4	1907.00	1031.350	 515.675	1641.107	DARK	0.843562746	.
112L2	 72	4	 718.50	1074.362	 537.181	1709.550	DARK	0.118109381	.
112L2	 73	4	 627.50	 993.223	 496.611	1580.439	DARK	0.177850255	.
112L2	 74	4	 624.00	 808.066	 404.033	1285.813	DARK	0.405725119	.
112L2	 75	4	1242.00	1665.895	 832.947	2650.810	DARK	0.422139869	.
112L2	 76	4	2192.00	2798.031	1399.015	4452.291	DARK	0.670494967	.
112L2	 77	4	2514.25	1958.589	 979.294	3116.552	DARK	0.283227834	.
112L2	 78	4	2392.25	 646.405	 323.203	1028.575	DARK	0.066618825	.
112L2	 79	4	1089.75	 761.590	 380.795	1211.859	DARK	0.329367729	.
112L2	 80	4	 997.00	 954.190	 477.095	1518.329	DARK	0.716444106	.
112L2	 81	4	1281.50	1002.327	 501.164	1594.927	DARK	0.188327954	.
112L2	 82	4	2124.00	 998.950	 499.475	1589.552	DARK	0.369939783	.
112L2	 83	4	1401.00	1621.431	 810.716	2580.059	DARK	0.695447021	.
112L2	 84	4	 454.75	 543.661	 271.831	 865.086	DARK	0.039418736	*
112L2	 85	4	1374.00	1586.670	 793.335	2524.746	DARK	0.577822473	.
112L2	 86	4	1704.00	1432.379	 716.189	2279.234	DARK	0.906175074	.
112L2	 87	4	 383.00	 381.519	 190.759	 607.082	LIGHT	0.252062811	.
112L2	 88	4	 367.00	 734.000	 367.000	1167.958	LIGHT	0.382145082	.
112L2	 89	4	 956.00	1039.943	 519.971	1654.781	LIGHT	0.999359971	.
112L2	 90	4	3680.50	1963.919	 981.959	3125.033	LIGHT	0.005788181	**
112L2	 91	4	1077.00	1188.253	 594.126	1890.775	LIGHT	0.684440720	.
112L2	 92	4	1566.75	1827.606	 913.803	2908.130	LIGHT	0.164967768	.
112L2	 93	4	 693.00	1148.500	 574.250	1827.520	LIGHT	0.413017258	.
112L2	 94	4	 235.75	 290.607	 145.303	 462.420	LIGHT	0.122102366	.
112L2	 95	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.392921508	.
112L2	 96	4	 868.00	1267.872	 633.936	2017.467	LIGHT	0.424464859	.
112L2	 97	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.445287509	.
112L2	 98	4	  95.00	 190.000	  95.000	 302.332	LIGHT	0.898973804	.
112L2	 99	4	 305.75	 535.729	 267.865	 852.464	LIGHT	0.441640097	.
112L2	100	4	 218.50	 437.000	 218.500	 695.365	LIGHT	0.238122150	.
112L2	101	4	 259.75	 375.404	 187.702	 597.352	LIGHT	0.288245002	.
112L2	102	4	 614.75	 690.570	 345.285	1098.851	LIGHT	0.151363351	.
112L2	103	4	 460.50	 921.000	 460.500	1465.517	LIGHT	0.654310230	.
112L2	104	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.033423022	*
112L2	105	4	  52.00	 104.000	  52.000	 165.487	DARK	0.021322992	*
112L2	106	4	 498.75	 997.500	 498.750	1587.245	DARK	0.097090389	.
112L2	107	4	 740.75	1048.877	 524.438	1668.997	DARK	0.183310452	.
112L2	108	4	 683.50	 503.124	 251.562	 800.582	DARK	0.002234067	***
112L2	109	4	  54.75	 109.500	  54.750	 174.239	DARK	0.029003517	*
112L2	110	4	1180.25	1402.476	 701.238	2231.653	DARK	0.187895918	.
112L2	111	4	2472.25	2967.969	1483.984	4722.701	DARK	0.899523004	.
WT	  1	4	 559.25	 898.707	 449.353	1430.043	DARK	0.074940689	.
WT	  2	4	1965.75	1085.831	 542.915	1727.799	DARK	0.118784766	.
WT	  3	4	2365.75	1645.445	 822.722	2618.270	DARK	0.853494196	.
WT	  4	4	1886.00	1964.003	 982.001	3125.167	DARK	0.572033954	.
WT	  5	4	 854.00	 955.621	 477.810	1520.606	DARK	0.009104868	**
WT	  6	4	 626.75	1002.989	 501.495	1595.980	DARK	0.455359789	.
WT	  7	4	 663.50	 544.329	 272.164	 866.148	DARK	0.634643691	.
WT	  8	4	 980.50	 906.087	 453.044	1441.787	DARK	0.836059190	.
WT	  9	4	 449.75	 899.500	 449.750	1431.305	DARK	0.351395652	.
WT	 10	4	 666.50	 653.833	 326.916	1040.393	DARK	0.012330144	*
WT	 11	4	 454.00	 316.833	 158.417	 504.152	DARK	0.239118267	.
WT	 12	4	1294.00	1331.949	 665.975	2119.428	DARK	0.959598416	.
WT	 13	4	2887.25	 905.118	 452.559	1440.244	LIGHT	0.179367320	.
WT	 14	4	1273.00	1339.232	 669.616	2131.017	LIGHT	0.441328377	.
WT	 15	4	 496.25	 617.702	 308.851	 982.902	LIGHT	0.343444230	.
WT	 16	4	  24.50	  49.000	  24.500	  77.970	LIGHT	0.591740806	.
WT	 17	4	 924.75	1177.983	 588.992	1874.434	LIGHT	0.401890401	.
WT	 18	4	 826.75	1605.859	 802.929	2555.280	LIGHT	0.980943869	.
WT	 19	4	 855.00	1006.688	 503.344	1601.865	LIGHT	0.796435175	.
WT	 20	4	 509.75	 655.208	 327.604	1042.582	LIGHT	0.505301604	.
WT	 21	4	  33.75	  39.903	  19.952	  63.495	LIGHT	0.413807618	.
WT	 22	4	 419.25	 526.822	 263.411	 838.291	LIGHT	0.495226294	.
WT	 23	4	  55.75	  78.258	  39.129	 124.525	LIGHT	0.482187485	.
WT	 24	4	1094.75	1341.631	 670.815	2134.834	LIGHT	0.432740952	.
WT	 25	4	 249.00	 430.245	 215.122	 684.616	LIGHT	0.209768981	.
WT	 26	4	 548.00	 832.373	 416.186	1324.491	LIGHT	0.706714695	.
WT	 27	4	 679.50	 790.917	 395.458	1258.525	LIGHT	0.218445270	.
WT	 28	4	  54.50	 109.000	  54.500	 173.443	LIGHT	0.243549531	.
WT	 29	4	  50.75	 101.500	  50.750	 161.509	LIGHT	0.363484068	.
WT	 30	4	1124.75	 825.082	 412.541	1312.890	LIGHT	0.382570999	.
WT	 31	4	 925.25	 860.812	 430.406	1369.744	LIGHT	0.116276232	.
WT	 32	4	1178.25	1143.809	 571.904	1820.055	DARK	0.933510140	.
WT	 33	4	2495.75	 655.730	 327.865	1043.413	DARK	0.487852336	.
WT	 34	4	1161.75	 560.987	 280.493	 892.655	DARK	0.058147303	.
WT	 35	4	 930.75	 462.347	 231.174	 735.698	DARK	0.110559887	.
WT	 36	4	1109.00	 667.006	 333.503	1061.355	DARK	0.501972940	.
WT	 37	4	1355.25	 725.071	 362.536	1153.750	DARK	0.966274873	.
WT	 38	4	2203.75	1091.804	 545.902	1737.304	DARK	0.185322890	.
WT	 39	4	1779.00	1569.602	 784.801	2497.588	DARK	0.691487806	.
WT	 40	4	 352.00	 378.179	 189.089	 601.767	DARK	0.012644330	*
WT	 41	4	1684.75	1077.277	 538.639	1714.188	DARK	0.888209362	.
WT	 42	4	 805.50	 974.717	 487.358	1550.992	DARK	0.298041981	.
WT	 43	4	 612.50	 470.078	 235.039	 748.000	DARK	0.113443636	.
WT	 44	4	 854.75	1526.673	 763.337	2429.278	DARK	0.265448787	.
WT	 45	4	 705.50	 191.152	  95.576	 304.165	DARK	0.292578401	.
WT	 46	4	1017.75	1049.421	 524.710	1669.863	DARK	0.800281437	.
WT	 47	4	 490.75	 305.426	 152.713	 486.001	DARK	0.662440494	.
WT	 48	4	1178.50	 975.704	 487.852	1552.563	DARK	0.722204789	.
WT	 49	4	2055.50	1085.125	 542.563	1726.676	DARK	0.221640269	.
WT	 50	4	2312.75	1250.883	 625.442	1990.434	LIGHT	0.235159866	.
WT	 51	4	 918.00	1289.703	 644.851	2052.205	LIGHT	0.626835911	.
WT	 52	4	 915.25	 663.152	 331.576	1055.223	LIGHT	0.243566503	.
WT	 53	4	 382.75	 341.770	 170.885	 543.833	LIGHT	0.152750573	.
WT	 54	4	 787.25	 815.582	 407.791	1297.773	LIGHT	0.954433181	.
WT	 55	4	 208.25	 361.447	 180.724	 575.144	LIGHT	0.425787553	.
WT	 56	4	 206.25	 299.754	 149.877	 476.975	LIGHT	0.728760097	.
WT	 57	4	1050.00	1313.409	 656.704	2089.926	LIGHT	0.911552966	.
WT	 58	4	 567.75	 662.956	 331.478	1054.911	LIGHT	0.759707182	.
WT	 59	4	  23.50	  32.542	  16.271	  51.782	LIGHT	0.012269695	*
WT	 60	4	 188.50	 247.000	 123.500	 393.032	LIGHT	0.796792601	.
WT	 61	4	 415.50	 624.703	 312.351	 994.042	LIGHT	0.306321535	.
WT	 62	4	 478.75	 547.076	 273.538	 870.520	LIGHT	0.208046081	.
WT	 63	4	 384.75	 625.633	 312.817	 995.522	LIGHT	0.516562213	.
WT	 64	4	 334.75	 360.198	 180.099	 573.156	LIGHT	0.909792693	.
WT	 65	4	 490.25	 427.949	 213.974	 680.962	LIGHT	0.461939069	.
WT	 66	4	 264.75	 379.912	 189.956	 604.524	LIGHT	0.120982166	.
WT	 67	4	1493.00	1177.942	 588.971	1874.369	LIGHT	0.100380750	.
WT	 68	4	 670.50	 625.794	 312.897	 995.777	LIGHT	0.136575537	.
WT	 69	4	3246.50	 442.937	 221.468	 704.811	DARK	0.005435556	**
WT	 70	4	2503.75	 566.041	 283.020	 900.697	DARK	0.091889375	.
WT	 71	4	1418.75	1097.596	 548.798	1746.521	DARK	0.843562746	.
WT	 72	4	1000.25	1017.609	 508.805	1619.243	DARK	0.118109381	.
WT	 73	4	1865.00	1130.265	 565.132	1798.503	DARK	0.177850255	.
WT	 74	4	2265.75	1837.764	 918.882	2924.292	DARK	0.405725119	.
WT	 75	4	1471.75	1389.420	 694.710	2210.877	DARK	0.422139869	.
WT	 76	4	 920.50	1331.481	 665.740	2118.683	DARK	0.670494967	.
WT	 77	4	 987.25	 947.720	 473.860	1508.034	DARK	0.283227834	.
WT	 78	4	1116.75	1074.496	 537.248	1709.763	DARK	0.066618825	.
WT	 79	4	1086.50	 775.104	 387.552	1233.363	DARK	0.329367729	.
WT	 80	4	1630.50	1259.631	 629.815	2004.354	DARK	0.716444106	.
WT	 81	4	 288.75	 337.682	 168.841	 537.327	DARK	0.188327954	.
WT	 82	4	 923.25	1387.858	 693.929	2208.391	DARK	0.369939783	.
WT	 83	4	 590.75	 731.984	 365.992	1164.750	DARK	0.695447021	.
WT	 84	4	 298.50	 402.861	 201.431	 641.042	DARK	0.039418736	*
WT	 85	4	 826.50	 722.544	 361.272	1149.729	DARK	0.577822473	.
