Genotype	TimePoint	N	CenF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	1132.75	616.639	308.320	 981.211	DARK	0.0718221497	.
112L1	  2	4	1002.75	510.516	255.258	 812.345	DARK	0.1886280242	.
112L1	  3	4	 557.50	701.174	350.587	1115.725	DARK	0.8933264327	.
112L1	  4	4	 350.75	326.200	163.100	 519.057	DARK	0.4800254997	.
112L1	  5	4	 652.25	332.787	166.393	 529.538	DARK	0.0250080774	*
112L1	  6	4	 387.00	240.179	120.090	 382.179	DARK	0.5537761142	.
112L1	  7	4	 547.00	805.946	402.973	1282.440	DARK	0.6235248645	.
112L1	  8	4	 393.00	380.850	190.425	 606.017	DARK	0.5870995864	.
112L1	  9	4	 575.00	480.119	240.059	 763.976	DARK	0.1819472853	.
112L1	 10	4	 764.50	408.965	204.482	 650.755	DARK	0.0322897433	*
112L1	 11	4	 676.50	657.329	328.665	1045.957	DARK	0.1510875968	.
112L1	 12	4	 324.50	649.000	324.500	1032.704	DARK	0.8757419330	.
112L1	 13	4	 384.25	446.435	223.218	 710.378	LIGHT	0.6536914449	.
112L1	 14	4	 235.25	255.653	127.826	 406.800	LIGHT	0.3991205154	.
112L1	 15	4	 439.25	325.457	162.728	 517.875	LIGHT	0.5390968498	.
112L1	 16	4	 310.75	599.048	299.524	 953.219	LIGHT	0.6037387653	.
112L1	 17	4	 155.75	235.653	117.826	 374.976	LIGHT	0.9021243671	.
112L1	 18	4	 262.25	321.292	160.646	 511.247	LIGHT	0.9654153549	.
112L1	 19	4	 191.25	223.546	111.773	 355.712	LIGHT	0.9320251825	.
112L1	 20	4	 124.25	237.302	118.651	 377.600	LIGHT	0.7288559321	.
112L1	 21	4	 417.75	734.571	367.286	1168.867	LIGHT	0.5184388659	.
112L1	 22	4	 130.50	261.000	130.500	 415.309	LIGHT	0.6507003253	.
112L1	 23	4	 324.25	380.864	190.432	 606.040	LIGHT	0.1905411918	.
112L1	 24	4	 612.75	590.810	295.405	 940.110	LIGHT	0.2410390954	.
112L1	 25	4	 305.25	396.163	198.081	 630.383	LIGHT	0.3100115704	.
112L1	 26	4	 217.50	435.000	217.500	 692.182	LIGHT	0.5797268248	.
112L1	 27	4	 141.50	283.000	141.500	 450.316	LIGHT	0.3850362549	.
112L1	 28	4	 320.50	391.388	195.694	 622.785	LIGHT	0.2541392022	.
112L1	 29	4	 223.00	261.109	130.555	 415.483	LIGHT	0.3207416544	.
112L1	 30	4	 544.75	572.757	286.378	 911.384	LIGHT	0.3228273901	.
112L1	 31	4	 525.75	354.896	177.448	 564.718	LIGHT	0.0442969398	*
112L1	 32	4	 568.50	498.581	249.290	 793.354	DARK	0.7649646684	.
112L1	 33	4	 739.50	499.855	249.927	 795.381	DARK	0.5345706988	.
112L1	 34	4	 561.00	249.751	124.875	 397.409	DARK	0.0251072964	*
112L1	 35	4	 662.25	455.643	227.822	 725.030	DARK	0.0659294275	.
112L1	 36	4	 564.00	286.186	143.093	 455.386	DARK	0.4899123996	.
112L1	 37	4	 281.00	 52.928	 26.464	  84.220	DARK	0.9066231847	.
112L1	 38	4	 755.75	238.606	119.303	 379.676	DARK	0.5156498492	.
112L1	 39	4	 715.00	407.227	203.614	 647.989	DARK	0.3828587342	.
112L1	 40	4	 742.50	371.873	185.937	 591.733	DARK	0.0186069276	*
112L1	 41	4	 654.00	483.999	242.000	 770.151	DARK	0.7214221733	.
112L1	 42	4	 755.50	660.871	330.436	1051.594	DARK	0.2823739296	.
112L1	 43	4	 942.00	683.908	341.954	1088.250	DARK	0.1331926985	.
112L1	 44	4	 947.75	725.582	362.791	1154.563	DARK	0.1314399214	.
112L1	 45	4	 919.00	770.355	385.177	1225.807	DARK	0.1762077392	.
112L1	 46	4	 381.25	484.342	242.171	 770.697	DARK	0.9314522036	.
112L1	 47	4	 447.00	647.217	323.609	1029.867	DARK	0.6866742096	.
112L1	 48	4	 563.25	347.916	173.958	 553.612	DARK	0.4937550865	.
112L1	 49	4	 262.00	365.412	182.706	 581.452	DARK	0.6079721743	.
112L1	 50	4	 792.75	458.040	229.020	 728.843	LIGHT	0.4127698343	.
112L1	 51	4	 574.25	625.041	312.520	 994.580	LIGHT	0.5331868089	.
112L1	 52	4	 152.00	127.091	 63.545	 202.229	LIGHT	0.4104055679	.
112L1	 53	4	 321.50	111.273	 55.636	 177.060	LIGHT	0.1710284973	.
112L1	 54	4	 409.50	318.583	159.291	 506.936	LIGHT	0.4591070325	.
112L1	 55	4	 373.00	351.641	175.820	 559.539	LIGHT	0.2930286790	.
112L1	 56	4	 286.25	362.282	181.141	 576.472	LIGHT	0.6837256639	.
112L1	 57	4	 255.75	243.459	121.729	 387.397	LIGHT	0.8727245142	.
112L1	 58	4	 183.25	240.041	120.020	 381.958	LIGHT	0.6341526121	.
112L1	 59	4	  53.75	 44.769	 22.384	  71.237	LIGHT	0.0668426094	.
112L1	 60	4	 133.50	150.790	 75.395	 239.941	LIGHT	0.9634175073	.
112L1	 61	4	  54.50	 51.540	 25.770	  82.011	LIGHT	0.2587085683	.
112L1	 62	4	 254.25	229.995	114.997	 365.973	LIGHT	0.3133950267	.
112L1	 63	4	 151.25	182.149	 91.074	 289.840	LIGHT	0.3442917618	.
112L1	 64	4	 244.50	217.364	108.682	 345.874	LIGHT	0.6354488129	.
112L1	 65	4	 254.25	122.001	 61.001	 194.131	LIGHT	0.9814145655	.
112L1	 66	4	 582.00	567.686	283.843	 903.315	LIGHT	0.1233858318	.
112L1	 67	4	 296.50	390.626	195.313	 621.572	LIGHT	0.1293277038	.
112L1	 68	4	 441.50	297.678	148.839	 473.673	LIGHT	0.0654528379	.
112L1	 69	4	 584.25	390.147	195.074	 620.811	DARK	0.0332953129	*
112L1	 70	4	 656.00	412.717	206.359	 656.725	DARK	0.2272025690	.
112L1	 71	4	 706.75	456.146	228.073	 725.830	DARK	0.4520050468	.
112L1	 72	4	 801.75	210.185	105.092	 334.451	DARK	0.0565793617	.
112L1	 73	4	 924.50	612.860	306.430	 975.197	DARK	0.0858441707	.
112L1	 74	4	 627.00	521.180	260.590	 829.314	DARK	0.5348796486	.
112L1	 75	4	 606.00	124.678	 62.339	 198.391	DARK	0.1933273660	.
112L1	 76	4	 716.25	563.180	281.590	 896.145	DARK	0.2878431045	.
112L1	 77	4	 503.00	113.827	 56.914	 181.125	DARK	0.2935743114	.
112L1	 78	4	 706.00	187.063	 93.532	 297.659	DARK	0.1159636161	.
112L1	 79	4	 663.50	575.088	287.544	 915.094	DARK	0.2380451681	.
112L1	 80	4	 547.75	449.364	224.682	 715.039	DARK	0.4720259038	.
112L1	 81	4	 527.50	349.753	174.876	 556.535	DARK	0.1098961837	.
112L1	 82	4	 381.25	358.424	179.212	 570.332	DARK	0.4099538297	.
112L1	 83	4	 343.75	459.348	229.674	 730.925	DARK	0.5802182584	.
112L1	 84	4	 859.00	318.139	159.070	 506.231	DARK	0.0004922966	****
112L1	 85	4	 664.25	405.847	202.923	 645.793	DARK	0.2313109234	.
112L1	 86	4	 587.00	231.538	115.769	 368.429	DARK	0.8579454811	.
112L1	 87	4	 425.25	352.528	176.264	 560.951	LIGHT	0.3904361301	.
112L1	 88	4	 465.50	591.715	295.857	 941.550	LIGHT	0.7063454188	.
112L1	 89	4	 264.25	412.243	206.121	 655.971	LIGHT	0.9965169620	.
112L1	 90	4	 145.25	144.585	 72.293	 230.068	LIGHT	0.0040275111	***
112L1	 91	4	 483.00	604.841	302.421	 962.437	LIGHT	0.8775344317	.
112L1	 92	4	 126.75	222.653	111.326	 354.290	LIGHT	0.3476518513	.
112L1	 93	4	  84.50	154.049	 77.024	 245.126	LIGHT	0.6990143739	.
112L1	 94	4	 198.25	239.706	119.853	 381.426	LIGHT	0.2272371658	.
112L1	 95	4	 229.00	324.890	162.445	 516.972	LIGHT	0.3915348088	.
112L1	 96	4	 262.50	334.406	167.203	 532.115	LIGHT	0.3560138088	.
112L1	 97	4	 262.00	408.947	204.474	 650.727	LIGHT	0.2992432661	.
112L1	 98	4	 175.00	281.484	140.742	 447.904	LIGHT	0.3794120762	.
112L1	 99	4	 545.50	824.522	412.261	1311.998	LIGHT	0.3225210145	.
112L1	100	4	 256.00	178.215	 89.108	 283.580	LIGHT	0.0250012152	*
