Genotype	TimePoint	N	CenT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	5162.00	3219.649	1609.824	5123.180	DARK	0.0726886381	.
112L1	  2	4	4669.50	1958.946	 979.473	3117.120	DARK	0.1282461554	.
112L1	  3	4	2255.00	2831.437	1415.718	4505.448	DARK	0.8939643523	.
112L1	  4	4	1389.75	1103.422	 551.711	1755.791	DARK	0.5787039751	.
112L1	  5	4	3069.00	 813.212	 406.606	1294.002	DARK	0.0099140558	**
112L1	  6	4	1612.75	 878.836	 439.418	1398.424	DARK	0.4742779552	.
112L1	  7	4	2504.00	3678.165	1839.083	5852.782	DARK	0.6319978445	.
112L1	  8	4	1828.00	2218.507	1109.253	3530.139	DARK	0.7805068280	.
112L1	  9	4	3202.25	3734.042	1867.021	5941.694	DARK	0.3132865803	.
112L1	 10	4	3740.75	1818.262	 909.131	2893.260	DARK	0.0151085794	*
112L1	 11	4	3758.00	4073.826	2036.913	6482.366	DARK	0.2226556022	.
112L1	 12	4	1887.00	3774.000	1887.000	6005.276	DARK	0.9492941658	.
112L1	 13	4	1493.50	2126.125	1063.063	3383.140	LIGHT	0.2309974603	.
112L1	 14	4	 780.25	 688.522	 344.261	1095.593	LIGHT	0.4168721872	.
112L1	 15	4	2122.00	1429.192	 714.596	2274.163	LIGHT	0.3770795960	.
112L1	 16	4	1404.75	2704.539	1352.269	4303.525	LIGHT	0.5945502514	.
112L1	 17	4	 361.25	 417.224	 208.612	 663.896	LIGHT	0.4782664124	.
112L1	 18	4	1129.50	1794.180	 897.090	2854.940	LIGHT	0.9901652924	.
112L1	 19	4	 706.00	1087.208	 543.604	1729.991	LIGHT	0.8163925105	.
112L1	 20	4	 198.75	 321.927	 160.963	 512.258	LIGHT	0.5406133390	.
112L1	 21	4	1770.00	2829.771	1414.886	4502.798	LIGHT	0.4358025587	.
112L1	 22	4	 287.25	 574.500	 287.250	 914.158	LIGHT	0.5374683611	.
112L1	 23	4	1378.75	2315.663	1157.832	3684.737	LIGHT	0.3997073137	.
112L1	 24	4	2832.25	3653.181	1826.591	5813.027	LIGHT	0.3891332972	.
112L1	 25	4	1169.50	1355.818	 677.909	2157.409	LIGHT	0.2085214660	.
112L1	 26	4	 594.50	1189.000	 594.500	1891.964	LIGHT	0.6801968016	.
112L1	 27	4	 351.75	 703.500	 351.750	1119.425	LIGHT	0.2597823150	.
112L1	 28	4	 929.50	1074.729	 537.365	1710.134	LIGHT	0.2277478023	.
112L1	 29	4	 462.50	 609.204	 304.602	 969.379	LIGHT	0.4004917088	.
112L1	 30	4	2102.00	2077.243	1038.621	3305.356	LIGHT	0.3583183983	.
112L1	 31	4	2001.75	1509.001	 754.500	2401.157	LIGHT	0.0824250317	.
112L1	 32	4	2168.25	1824.071	 912.035	2902.504	DARK	0.9249809259	.
112L1	 33	4	3608.25	1941.286	 970.643	3089.019	DARK	0.5076115773	.
112L1	 34	4	2658.25	1121.688	 560.844	1784.855	DARK	0.0441133613	*
112L1	 35	4	3336.25	2746.379	1373.190	4370.102	DARK	0.0948971127	.
112L1	 36	4	2812.50	1960.407	 980.203	3119.445	DARK	0.4819029060	.
112L1	 37	4	1461.50	 791.786	 395.893	1259.909	DARK	0.9572425000	.
