Genotype	TimePoint	N	CumCenA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  4029.25	 2619.665	 1309.833	 4168.472	DARK	0.07494069	.
112L1	  2	4	  7696.00	 2685.810	 1342.905	 4273.724	DARK	0.02613332	*
112L1	  3	4	  9393.50	 4212.427	 2106.214	 6702.911	DARK	0.18825461	.
112L1	  4	4	 10432.50	 3453.608	 1726.804	 5495.461	DARK	0.34603254	.
112L1	  5	4	 12849.25	 3500.933	 1750.467	 5570.766	DARK	0.15886486	.
112L1	  6	4	 14075.00	 3258.760	 1629.380	 5185.414	DARK	0.12860002	.
112L1	  7	4	 16032.00	 4529.051	 2264.525	 7206.731	DARK	0.08527890	.
112L1	  8	4	 17467.00	 5749.688	 2874.844	 9149.037	DARK	0.09813218	.
112L1	  9	4	 20094.25	 7594.425	 3797.213	12084.425	DARK	0.06185317	.
112L1	 10	4	 23070.50	 7007.712	 3503.856	11150.833	DARK	0.02021473	*
112L1	 11	4	 26152.00	 7583.724	 3791.862	12067.397	DARK	0.01144104	*
112L1	 12	4	 27714.50	 8523.946	 4261.973	13563.500	DARK	0.01439331	*
112L1	 13	4	 28823.75	 9466.245	 4733.122	15062.908	LIGHT	0.04208253	*
112L1	 14	4	 29368.75	 9728.255	 4864.128	15479.825	LIGHT	0.07704156	.
112L1	 15	4	 31051.50	 9281.132	 4640.566	14768.352	LIGHT	0.05912551	.
112L1	 16	4	 32145.50	10321.026	 5160.513	16423.055	LIGHT	0.06496211	.
112L1	 17	4	 32351.00	10470.883	 5235.442	16661.512	LIGHT	0.06818988	.
112L1	 18	4	 33218.25	11107.248	 5553.624	17674.111	LIGHT	0.07784887	.
112L1	 19	4	 33733.00	10215.662	 5107.831	16255.398	LIGHT	0.07686662	.
112L1	 20	4	 33807.50	10267.974	 5133.987	16338.638	LIGHT	0.08237356	.
112L1	 21	4	 35159.75	11600.978	 5800.489	18459.745	LIGHT	0.07232809	.
112L1	 22	4	 35316.50	11810.330	 5905.165	18792.871	LIGHT	0.06921478	.
112L1	 23	4	 36371.00	12537.999	 6269.000	19950.754	LIGHT	0.06719685	.
112L1	 24	4	 38590.50	13289.390	 6644.695	21146.385	LIGHT	0.06499568	.
112L1	 25	4	 39454.75	14233.803	 7116.902	22649.157	LIGHT	0.07235603	.
112L1	 26	4	 39831.75	14582.566	 7291.283	23204.116	LIGHT	0.07819475	.
112L1	 27	4	 40042.00	14790.198	 7395.099	23534.505	LIGHT	0.09499713	.
112L1	 28	4	 40651.00	14454.234	 7227.117	22999.912	LIGHT	0.07822436	.
112L1	 29	4	 40890.50	14183.132	 7091.566	22568.528	LIGHT	0.07292324	.
112L1	 30	4	 42447.75	14552.377	 7276.188	23156.079	LIGHT	0.06354064	.
112L1	 31	4	 43923.75	14296.982	 7148.491	22749.689	LIGHT	0.05328107	.
112L1	 32	4	 45523.50	15283.427	 7641.714	24319.343	DARK	0.07229786	.
112L1	 33	4	 48392.25	15827.866	 7913.933	25185.666	DARK	0.07998033	.
112L1	 34	4	 50489.50	16289.254	 8144.627	25919.838	DARK	0.07139850	.
112L1	 35	4	 53163.50	17232.296	 8616.148	27420.428	DARK	0.05881947	.
112L1	 36	4	 55412.00	18278.527	 9139.263	29085.215	DARK	0.06474450	.
112L1	 37	4	 56592.50	18655.125	 9327.563	29684.467	DARK	0.07079110	.
112L1	 38	4	 59525.75	18741.180	 9370.590	29821.399	DARK	0.06484136	.
112L1	 39	4	 61855.50	19698.294	 9849.147	31344.382	DARK	0.06871963	.
112L1	 40	4	 64378.50	20085.794	10042.897	31960.980	DARK	0.05288434	.
112L1	 41	4	 66403.25	21162.138	10581.069	33673.684	DARK	0.06626868	.
112L1	 42	4	 68876.50	21058.544	10529.272	33508.843	DARK	0.06185652	.
112L1	 43	4	 72118.50	22769.468	11384.734	36231.305	DARK	0.05635399	.
112L1	 44	4	 74748.25	24033.095	12016.547	38242.017	DARK	0.05839808	.
112L1	 45	4	 77490.25	25460.262	12730.131	40512.958	DARK	0.05683895	.
112L1	 46	4	 78376.25	26108.093	13054.047	41543.803	DARK	0.06592443	.
112L1	 47	4	 80035.25	27382.275	13691.138	43571.311	DARK	0.07048207	.
112L1	 48	4	 81889.00	28384.884	14192.442	45166.685	DARK	0.07831508	.
112L1	 49	4	 82719.25	29188.117	14594.058	46444.807	DARK	0.09745958	.
112L1	 50	4	 85547.75	30425.899	15212.949	48414.395	LIGHT	0.09896154	.
112L1	 51	4	 87311.75	31004.775	15502.388	49335.516	LIGHT	0.09335110	.
112L1	 52	4	 87459.75	31095.183	15547.591	49479.375	LIGHT	0.11293179	.
112L1	 53	4	 88407.50	30316.659	15158.329	48240.569	LIGHT	0.11353188	.
112L1	 54	4	 89303.75	30671.085	15335.542	48804.540	LIGHT	0.11588455	.
112L1	 55	4	 90520.50	31683.099	15841.549	50414.880	LIGHT	0.10830045	.
112L1	 56	4	 91260.75	32222.141	16111.070	51272.616	LIGHT	0.10712200	.
112L1	 57	4	 92017.00	31326.139	15663.070	49846.878	LIGHT	0.10686476	.
112L1	 58	4	 92611.50	31513.634	15756.817	50145.223	LIGHT	0.10602228	.
112L1	 59	4	 92689.50	31570.971	15785.485	50236.460	LIGHT	0.10411440	.
112L1	 60	4	 92892.00	31741.867	15870.933	50508.393	LIGHT	0.10654706	.
112L1	 61	4	 92996.50	31780.391	15890.196	50569.694	LIGHT	0.11065003	.
112L1	 62	4	 93684.25	31385.133	15692.567	49940.751	LIGHT	0.10473231	.
112L1	 63	4	 93927.75	31542.730	15771.365	50191.522	LIGHT	0.10879568	.
112L1	 64	4	 94389.50	31895.924	15947.962	50753.532	LIGHT	0.10736925	.
112L1	 65	4	 95046.75	31530.413	15765.207	50171.923	LIGHT	0.10618894	.
112L1	 66	4	 96947.50	31939.483	15969.742	50822.845	LIGHT	0.09349359	.
112L1	 67	4	 97573.75	32432.893	16216.446	51607.970	LIGHT	0.10468436	.
112L1	 68	4	 98434.00	32933.453	16466.727	52404.473	LIGHT	0.10754036	.
112L1	 69	4	100266.75	33236.246	16618.123	52886.284	DARK	0.12305913	.
112L1	 70	4	101956.50	32213.740	16106.870	51259.249	DARK	0.12379727	.
112L1	 71	4	103543.25	32987.192	16493.596	52489.984	DARK	0.13022372	.
112L1	 72	4	105750.50	32750.438	16375.219	52113.256	DARK	0.11997451	.
112L1	 73	4	109199.25	30314.885	15157.442	48237.747	DARK	0.08185936	.
112L1	 74	4	111592.25	27588.022	13794.011	43898.699	DARK	0.06036502	.
112L1	 75	4	114080.50	28299.747	14149.874	45031.213	DARK	0.06165617	.
112L1	 76	4	116180.00	28474.347	14237.174	45309.040	DARK	0.06865790	.
112L1	 77	4	117926.00	28302.682	14151.341	45035.882	DARK	0.07547626	.
112L1	 78	4	120311.50	28111.945	14055.973	44732.379	DARK	0.07031922	.
112L1	 79	4	122630.25	29008.962	14504.481	46159.732	DARK	0.06849524	.
112L1	 80	4	124330.25	29823.715	14911.857	47456.185	DARK	0.07569592	.
112L1	 81	4	125728.00	29010.864	14505.432	46162.758	DARK	0.06868293	.
112L1	 82	4	127021.75	29190.280	14595.140	46448.250	DARK	0.07383340	.
112L1	 83	4	128009.50	29892.827	14946.414	47566.159	DARK	0.07734844	.
112L1	 84	4	130135.50	31001.923	15500.961	49330.977	DARK	0.07233675	.
112L1	 85	4	132250.75	32387.354	16193.677	51535.507	DARK	0.07592263	.
112L1	 86	4	134175.75	33015.937	16507.968	52535.723	DARK	0.08013397	.
112L1	 87	4	136341.50	32032.527	16016.263	50970.898	LIGHT	0.07029369	.
112L1	 88	4	138615.75	32447.569	16223.784	51631.323	LIGHT	0.06457258	.
112L1	 89	4	139595.50	32489.552	16244.776	51698.127	LIGHT	0.06527178	.
112L1	 90	4	140339.25	32128.978	16064.489	51124.373	LIGHT	0.07093964	.
112L1	 91	4	142217.25	33877.462	16938.731	53906.601	LIGHT	0.07373144	.
112L1	 92	4	142264.75	33920.268	16960.134	53974.716	LIGHT	0.07413430	.
112L1	 93	4	142301.25	33963.233	16981.616	54043.082	LIGHT	0.07388717	.
112L1	 94	4	142856.50	34237.310	17118.655	54479.201	LIGHT	0.07539642	.
112L1	 95	4	143503.50	34344.084	17172.042	54649.101	LIGHT	0.07517825	.
112L1	 96	4	143958.75	34396.979	17198.489	54733.269	LIGHT	0.07096308	.
112L1	 97	4	145015.00	34589.314	17294.657	55039.317	LIGHT	0.06691146	.
112L1	 98	4	145119.25	34702.024	17351.012	55218.665	LIGHT	0.06695383	.
112L1	 99	4	147404.25	30730.638	15365.319	48899.303	LIGHT	0.04594393	*
112L1	100	4	148469.00	29396.365	14698.183	46776.177	LIGHT	0.03964528	*
112L1	101	4	149675.75	28212.898	14106.449	44893.017	LIGHT	0.03468007	*
