Genotype	TimePoint	N	CumCenF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 1132.75	  616.639	 308.320	  981.211	DARK	0.07182215	.
112L1	  2	4	 2135.50	  852.044	 426.022	 1355.793	DARK	0.04822804	*
112L1	  3	4	 2693.00	 1436.095	 718.048	 2285.148	DARK	0.19631838	.
112L1	  4	4	 3043.75	 1174.410	 587.205	 1868.749	DARK	0.21908715	.
112L1	  5	4	 3696.00	 1430.769	 715.385	 2276.673	DARK	0.10783169	.
112L1	  6	4	 4083.00	 1411.570	 705.785	 2246.122	DARK	0.08794981	.
112L1	  7	4	 4630.00	 1603.776	 801.888	 2551.965	DARK	0.05790376	.
112L1	  8	4	 5023.00	 1696.882	 848.441	 2700.118	DARK	0.03210046	*
112L1	  9	4	 5598.00	 2053.728	1026.864	 3267.940	DARK	0.02856695	*
112L1	 10	4	 6362.50	 2055.804	1027.902	 3271.243	DARK	0.01563512	*
112L1	 11	4	 7039.00	 2406.225	1203.112	 3828.840	DARK	0.01550180	*
112L1	 12	4	 7363.50	 2672.654	1336.327	 4252.790	DARK	0.02338316	*
112L1	 13	4	 7747.75	 3000.038	1500.019	 4773.729	LIGHT	0.05099061	.
112L1	 14	4	 7983.00	 3171.710	1585.855	 5046.898	LIGHT	0.08328479	.
112L1	 15	4	 8422.25	 3228.042	1614.021	 5136.536	LIGHT	0.08505452	.
112L1	 16	4	 8733.00	 3619.157	1809.578	 5758.886	LIGHT	0.09283883	.
112L1	 17	4	 8888.75	 3809.718	1904.859	 6062.112	LIGHT	0.09645817	.
112L1	 18	4	 9151.00	 4006.510	2003.255	 6375.252	LIGHT	0.09698810	.
112L1	 19	4	 9342.25	 4018.732	2009.366	 6394.699	LIGHT	0.11069958	.
112L1	 20	4	 9466.50	 4204.399	2102.199	 6690.137	LIGHT	0.11476688	.
112L1	 21	4	 9884.25	 4813.742	2406.871	 7659.738	LIGHT	0.11114762	.
112L1	 22	4	10014.75	 5034.885	2517.443	 8011.626	LIGHT	0.11720920	.
112L1	 23	4	10339.00	 5296.074	2648.037	 8427.235	LIGHT	0.11805039	.
112L1	 24	4	10951.75	 5333.276	2666.638	 8486.432	LIGHT	0.10585410	.
112L1	 25	4	11257.00	 5709.003	2854.501	 9084.298	LIGHT	0.12189168	.
112L1	 26	4	11474.50	 6071.380	3035.690	 9660.921	LIGHT	0.14196510	.
112L1	 27	4	11616.00	 6312.062	3156.031	10043.898	LIGHT	0.17291932	.
112L1	 28	4	11936.50	 6489.658	3244.829	10326.494	LIGHT	0.16345635	.
112L1	 29	4	12159.50	 6498.923	3249.462	10341.237	LIGHT	0.14975562	.
112L1	 30	4	12704.25	 6927.253	3463.626	11022.805	LIGHT	0.15667352	.
112L1	 31	4	13230.00	 7072.818	3536.409	11254.432	LIGHT	0.14886778	.
112L1	 32	4	13798.50	 7418.046	3709.023	11803.767	DARK	0.15303159	.
112L1	 33	4	14538.00	 7498.340	3749.170	11931.532	DARK	0.14528264	.
112L1	 34	4	15099.00	 7537.243	3768.622	11993.436	DARK	0.12880414	.
112L1	 35	4	15761.25	 7663.153	3831.576	12193.786	DARK	0.11295281	.
112L1	 36	4	16325.25	 7810.658	3905.329	12428.499	DARK	0.11411807	.
112L1	 37	4	16606.25	 7813.442	3906.721	12432.930	DARK	0.11794370	.
112L1	 38	4	17362.00	 8029.996	4014.998	12777.516	DARK	0.12080146	.
112L1	 39	4	18077.00	 8247.252	4123.626	13123.218	DARK	0.11901382	.
112L1	 40	4	18819.50	 8584.354	4292.177	13659.623	DARK	0.10579053	.
112L1	 41	4	19473.50	 9054.032	4527.016	14406.985	DARK	0.11857153	.
112L1	 42	4	20229.00	 9426.216	4713.108	14999.213	DARK	0.11945036	.
112L1	 43	4	21171.00	 9857.387	4928.694	15685.303	DARK	0.10530730	.
112L1	 44	4	22118.75	10212.752	5106.376	16250.768	DARK	0.09563708	.
112L1	 45	4	23037.75	10836.449	5418.225	17243.209	DARK	0.09159888	.
112L1	 46	4	23419.00	11291.235	5645.618	17966.875	DARK	0.10290487	.
112L1	 47	4	23866.00	11858.254	5929.127	18869.129	DARK	0.11172424	.
112L1	 48	4	24429.25	12058.588	6029.294	19187.904	DARK	0.11280172	.
112L1	 49	4	24691.25	12390.708	6195.354	19716.382	DARK	0.12789242	.
112L1	 50	4	25484.00	12654.990	6327.495	20136.913	LIGHT	0.12622946	.
112L1	 51	4	26058.25	12838.301	6419.150	20428.602	LIGHT	0.12204621	.
112L1	 52	4	26210.25	12878.377	6439.189	20492.372	LIGHT	0.13200096	.
112L1	 53	4	26531.75	12776.337	6388.169	20330.003	LIGHT	0.12937503	.
112L1	 54	4	26941.25	12950.447	6475.223	20607.051	LIGHT	0.12769681	.
112L1	 55	4	27314.25	13214.655	6607.327	21027.465	LIGHT	0.12453712	.
112L1	 56	4	27600.50	13299.167	6649.583	21161.942	LIGHT	0.12293585	.
112L1	 57	4	27856.25	13094.052	6547.026	20835.558	LIGHT	0.12063830	.
112L1	 58	4	28039.50	13124.425	6562.212	20883.888	LIGHT	0.12096012	.
112L1	 59	4	28093.25	13168.433	6584.216	20953.915	LIGHT	0.12092501	.
112L1	 60	4	28226.75	13298.320	6649.160	21160.595	LIGHT	0.12496714	.
112L1	 61	4	28281.25	13311.418	6655.709	21181.436	LIGHT	0.12954726	.
112L1	 62	4	28535.50	13166.718	6583.359	20951.187	LIGHT	0.12633443	.
112L1	 63	4	28686.75	13204.165	6602.082	21010.772	LIGHT	0.12902333	.
112L1	 64	4	28931.25	13388.974	6694.487	21304.845	LIGHT	0.12853906	.
112L1	 65	4	29185.50	13282.472	6641.236	21135.377	LIGHT	0.12933043	.
112L1	 66	4	29767.50	13371.636	6685.818	21277.257	LIGHT	0.11924188	.
112L1	 67	4	30064.00	13715.353	6857.677	21824.187	LIGHT	0.13070073	.
112L1	 68	4	30505.50	13959.845	6979.923	22213.229	LIGHT	0.13245291	.
112L1	 69	4	31089.75	14162.038	7081.019	22534.963	DARK	0.13691390	.
112L1	 70	4	31745.75	14134.732	7067.366	22491.512	DARK	0.13258089	.
112L1	 71	4	32452.50	14518.324	7259.162	23101.894	DARK	0.13394854	.
112L1	 72	4	33254.25	14513.761	7256.880	23094.632	DARK	0.12109178	.
112L1	 73	4	34178.75	14149.644	7074.822	22515.242	DARK	0.09903389	.
112L1	 74	4	34805.75	13759.596	6879.798	21894.587	DARK	0.08756068	.
112L1	 75	4	35411.75	13804.636	6902.318	21966.256	DARK	0.08262783	.
112L1	 76	4	36128.00	13644.340	6822.170	21711.190	DARK	0.07423173	.
112L1	 77	4	36631.00	13754.556	6877.278	21886.567	DARK	0.08056515	.
112L1	 78	4	37337.00	13813.279	6906.640	21980.010	DARK	0.07633997	.
112L1	 79	4	38000.50	13873.772	6936.886	22076.267	DARK	0.07061514	.
112L1	 80	4	38548.25	13905.120	6952.560	22126.149	DARK	0.06957125	.
112L1	 81	4	39075.75	13697.986	6848.993	21796.552	DARK	0.06134781	.
112L1	 82	4	39457.00	13789.141	6894.570	21941.600	DARK	0.06243453	.
112L1	 83	4	39800.75	14126.042	7063.021	22477.686	DARK	0.06265099	.
112L1	 84	4	40659.75	14290.877	7145.439	22739.975	DARK	0.05436793	.
112L1	 85	4	41324.00	14598.330	7299.165	23229.201	DARK	0.05409184	.
112L1	 86	4	41911.00	14668.183	7334.092	23340.353	DARK	0.05466333	.
112L1	 87	4	42336.25	14796.431	7398.215	23544.423	LIGHT	0.05580978	.
112L1	 88	4	42801.75	15053.232	7526.616	23953.052	LIGHT	0.05773953	.
112L1	 89	4	43066.00	14961.693	7480.847	23807.393	LIGHT	0.05850302	.
112L1	 90	4	43211.25	14883.655	7441.828	23683.217	LIGHT	0.06212023	.
112L1	 91	4	43694.25	15404.055	7702.028	24511.289	LIGHT	0.06783783	.
112L1	 92	4	43821.00	15595.109	7797.555	24815.299	LIGHT	0.06990837	.
112L1	 93	4	43905.50	15726.914	7863.457	25025.030	LIGHT	0.07110621	.
112L1	 94	4	44103.75	15920.699	7960.349	25333.384	LIGHT	0.07314524	.
112L1	 95	4	44332.75	16129.426	8064.713	25665.516	LIGHT	0.07477864	.
112L1	 96	4	44595.25	16264.641	8132.320	25880.673	LIGHT	0.07239880	.
112L1	 97	4	44857.25	16334.891	8167.446	25992.457	LIGHT	0.07007032	.
112L1	 98	4	45032.25	16583.764	8291.882	26388.470	LIGHT	0.07110432	.
112L1	 99	4	45577.75	16040.618	8020.309	25524.203	LIGHT	0.05941911	.
112L1	100	4	45833.75	16004.908	8002.454	25467.381	LIGHT	0.05650846	.
112L1	101	4	46182.50	16054.605	8027.303	25546.460	LIGHT	0.05510395	.
112L1	102	4	46712.00	15922.503	7961.251	25336.255	LIGHT	0.04978512	*
112L1	103	4	47154.00	15874.443	7937.221	25259.781	LIGHT	0.04550687	*
112L1	104	4	47764.75	15982.929	7991.464	25432.406	LIGHT	0.04381655	*
112L1	105	4	48234.00	16235.833	8117.917	25834.834	DARK	0.04342539	*
112L1	106	4	49111.00	15976.043	7988.022	25421.450	DARK	0.03841346	*
112L1	107	4	49661.75	16154.955	8077.477	25706.138	DARK	0.03962484	*
112L1	108	4	50316.75	16244.086	8122.043	25847.965	DARK	0.03888821	*
112L1	109	4	50786.50	16298.812	8149.406	25935.047	DARK	0.03886196	*
112L1	110	4	51426.75	16210.646	8105.323	25794.756	DARK	0.03644138	*
112L1	111	4	52044.50	16353.926	8176.963	26022.745	DARK	0.03825935	*
112L2	  1	4	  451.75	  611.789	 305.894	  973.493	DARK	0.07182215	.
112L2	  2	4	  999.75	  928.261	 464.130	 1477.070	DARK	0.04822804	*
112L2	  3	4	 1679.50	 1303.831	 651.915	 2074.686	DARK	0.19631838	.
112L2	  4	4	 2286.25	 1543.820	 771.910	 2456.562	DARK	0.21908715	.
112L2	  5	4	 3048.00	 1425.185	 712.593	 2267.788	DARK	0.10783169	.
112L2	  6	4	 3557.75	 1478.858	 739.429	 2353.192	DARK	0.08794981	.
112L2	  7	4	 3912.25	 1371.652	 685.826	 2182.604	DARK	0.05790376	.
112L2	  8	4	 4352.25	 1018.644	 509.322	 1620.890	DARK	0.03210046	*
112L2	  9	4	 4537.50	  732.222	 366.111	 1165.129	DARK	0.02856695	*
112L2	 10	4	 4817.75	  931.771	 465.886	 1482.656	DARK	0.01563512	*
112L2	 11	4	 5458.00	 1219.058	 609.529	 1939.794	DARK	0.01550180	*
112L2	 12	4	 5903.50	 1357.043	 678.522	 2159.359	DARK	0.02338316	*
112L2	 13	4	 6363.25	 1595.359	 797.679	 2538.572	LIGHT	0.05099061	.
112L2	 14	4	 6968.00	 2033.512	1016.756	 3235.771	LIGHT	0.08328479	.
112L2	 15	4	 7251.00	 2290.314	1145.157	 3644.401	LIGHT	0.08505452	.
112L2	 16	4	 7468.75	 2436.517	1218.259	 3877.042	LIGHT	0.09283883	.
112L2	 17	4	 7692.25	 2292.869	1146.434	 3648.466	LIGHT	0.09645817	.
112L2	 18	4	 7967.00	 2077.070	1038.535	 3305.081	LIGHT	0.09698810	.
112L2	 19	4	 8143.75	 2101.060	1050.530	 3343.256	LIGHT	0.11069958	.
112L2	 20	4	 8442.25	 1939.379	 969.690	 3085.985	LIGHT	0.11476688	.
112L2	 21	4	 8802.50	 1471.872	 735.936	 2342.077	LIGHT	0.11114762	.
112L2	 22	4	 9065.50	 1250.709	 625.355	 1990.158	LIGHT	0.11720920	.
112L2	 23	4	 9123.00	 1317.240	 658.620	 2096.023	LIGHT	0.11805039	.
112L2	 24	4	 9206.75	 1211.370	 605.685	 1927.559	LIGHT	0.10585410	.
112L2	 25	4	 9206.75	 1211.370	 605.685	 1927.559	LIGHT	0.12189168	.
112L2	 26	4	 9227.75	 1213.651	 606.826	 1931.190	LIGHT	0.14196510	.
112L2	 27	4	 9227.75	 1213.651	 606.826	 1931.190	LIGHT	0.17291932	.
112L2	 28	4	 9294.75	 1177.923	 588.961	 1874.338	LIGHT	0.16345635	.
112L2	 29	4	 9429.00	 1228.348	 614.174	 1954.576	LIGHT	0.14975562	.
112L2	 30	4	 9557.50	 1111.511	 555.756	 1768.662	LIGHT	0.15667352	.
112L2	 31	4	 9564.75	 1114.911	 557.455	 1774.072	LIGHT	0.14886778	.
112L2	 32	4	 9936.50	 1205.431	 602.716	 1918.110	DARK	0.15303159	.
112L2	 33	4	10389.25	 1322.828	 661.414	 2104.915	DARK	0.14528264	.
112L2	 34	4	10515.00	 1424.380	 712.190	 2266.506	DARK	0.12880414	.
112L2	 35	4	10654.00	 1494.307	 747.153	 2377.775	DARK	0.11295281	.
112L2	 36	4	11218.25	 1824.122	 912.061	 2902.586	DARK	0.11411807	.
112L2	 37	4	11469.75	 2021.240	1010.620	 3216.244	DARK	0.11794370	.
112L2	 38	4	11955.50	 2339.810	1169.905	 3723.160	DARK	0.12080146	.
112L2	 39	4	12351.25	 2356.859	1178.429	 3750.289	DARK	0.11901382	.
112L2	 40	4	12886.00	 2423.103	1211.552	 3855.698	DARK	0.10579053	.
112L2	 41	4	13441.25	 2779.789	1389.895	 4423.265	DARK	0.11857153	.
112L2	 42	4	14141.00	 3235.706	1617.853	 5148.731	DARK	0.11945036	.
112L2	 43	4	14854.00	 3217.038	1608.519	 5119.025	DARK	0.10530730	.
112L2	 44	4	15194.75	 3324.111	1662.056	 5289.403	DARK	0.09563708	.
112L2	 45	4	15535.50	 3159.560	1579.780	 5027.564	DARK	0.09159888	.
112L2	 46	4	15924.50	 3049.236	1524.618	 4852.016	DARK	0.10290487	.
112L2	 47	4	16247.25	 3109.717	1554.859	 4948.254	DARK	0.11172424	.
112L2	 48	4	16642.50	 3427.849	1713.925	 5454.473	DARK	0.11280172	.
112L2	 49	4	17095.25	 3412.704	1706.352	 5430.374	DARK	0.12789242	.
112L2	 50	4	17484.50	 3303.774	1651.887	 5257.041	LIGHT	0.12622946	.
112L2	 51	4	17694.50	 3443.762	1721.881	 5479.793	LIGHT	0.12204621	.
112L2	 52	4	18217.00	 3812.974	1906.487	 6067.292	LIGHT	0.13200096	.
112L2	 53	4	18918.00	 4071.653	2035.826	 6478.908	LIGHT	0.12937503	.
112L2	 54	4	19367.25	 3863.468	1931.734	 6147.639	LIGHT	0.12769681	.
112L2	 55	4	19748.25	 3613.063	1806.531	 5749.189	LIGHT	0.12453712	.
112L2	 56	4	19992.25	 3708.455	1854.228	 5900.980	LIGHT	0.12293585	.
112L2	 57	4	20165.00	 3949.199	1974.599	 6284.057	LIGHT	0.12063830	.
112L2	 58	4	20235.00	 3824.526	1912.263	 6085.674	LIGHT	0.12096012	.
112L2	 59	4	20484.25	 3637.648	1818.824	 5788.309	LIGHT	0.12092501	.
112L2	 60	4	20628.25	 3669.742	1834.871	 5839.379	LIGHT	0.12496714	.
112L2	 61	4	20628.25	 3669.742	1834.871	 5839.379	LIGHT	0.12954726	.
112L2	 62	4	20628.25	 3669.742	1834.871	 5839.379	LIGHT	0.12633443	.
112L2	 63	4	20637.75	 3652.443	1826.222	 5811.853	LIGHT	0.12902333	.
112L2	 64	4	20763.25	 3447.894	1723.947	 5486.369	LIGHT	0.12853906	.
112L2	 65	4	21046.25	 3672.847	1836.423	 5844.319	LIGHT	0.12933043	.
112L2	 66	4	21054.25	 3674.193	1837.097	 5846.462	LIGHT	0.11924188	.
112L2	 67	4	21054.25	 3674.193	1837.097	 5846.462	LIGHT	0.13070073	.
112L2	 68	4	21054.25	 3674.193	1837.097	 5846.462	LIGHT	0.13245291	.
112L2	 69	4	21153.50	 3807.843	1903.921	 6059.127	DARK	0.13691390	.
112L2	 70	4	21416.75	 4063.727	2031.864	 6466.297	DARK	0.13258089	.
112L2	 71	4	22013.00	 3804.772	1902.386	 6054.241	DARK	0.13394854	.
112L2	 72	4	22277.75	 4171.114	2085.557	 6637.173	DARK	0.12109178	.
112L2	 73	4	22435.75	 4207.965	2103.982	 6695.811	DARK	0.09903389	.
112L2	 74	4	22706.00	 4460.994	2230.497	 7098.436	DARK	0.08756068	.
112L2	 75	4	22979.00	 4735.003	2367.501	 7534.446	DARK	0.08262783	.
112L2	 76	4	23451.50	 5207.958	2603.979	 8287.023	DARK	0.07423173	.
112L2	 77	4	24254.75	 5739.536	2869.768	 9132.883	DARK	0.08056515	.
112L2	 78	4	24953.00	 5845.979	2922.990	 9302.257	DARK	0.07633997	.
112L2	 79	4	25276.75	 5998.453	2999.226	 9544.877	DARK	0.07061514	.
112L2	 80	4	25529.50	 6128.996	3064.498	 9752.601	DARK	0.06957125	.
112L2	 81	4	25924.25	 6219.111	3109.556	 9895.993	DARK	0.06134781	.
112L2	 82	4	26434.75	 6179.933	3089.966	 9833.652	DARK	0.06243453	.
112L2	 83	4	26704.50	 6078.322	3039.161	 9671.967	DARK	0.06265099	.
112L2	 84	4	26801.75	 6090.073	3045.036	 9690.665	DARK	0.05436793	.
112L2	 85	4	27178.25	 6355.645	3177.823	10113.250	DARK	0.05409184	.
112L2	 86	4	27658.00	 6392.710	3196.355	10172.229	DARK	0.05466333	.
112L2	 87	4	27813.25	 6384.177	3192.088	10158.650	LIGHT	0.05580978	.
112L2	 88	4	28028.50	 6392.516	3196.258	10171.919	LIGHT	0.05773953	.
112L2	 89	4	28313.75	 6355.623	3177.812	10113.215	LIGHT	0.05850302	.
112L2	 90	4	29250.75	 6735.083	3367.541	10717.020	LIGHT	0.06212023	.
112L2	 91	4	29624.25	 6829.655	3414.827	10867.505	LIGHT	0.06783783	.
112L2	 92	4	30131.50	 6416.715	3208.357	10210.425	LIGHT	0.06990837	.
112L2	 93	4	30363.00	 6043.933	3021.967	 9617.246	LIGHT	0.07110621	.
112L2	 94	4	30418.75	 6023.828	3011.914	 9585.254	LIGHT	0.07314524	.
112L2	 95	4	30418.75	 6023.828	3011.914	 9585.254	LIGHT	0.07477864	.
112L2	 96	4	30593.75	 5821.128	2910.564	 9262.714	LIGHT	0.07239880	.
112L2	 97	4	30593.75	 5821.128	2910.564	 9262.714	LIGHT	0.07007032	.
112L2	 98	4	30613.50	 5784.651	2892.326	 9204.671	LIGHT	0.07110432	.
112L2	 99	4	30686.00	 5875.785	2937.893	 9349.685	LIGHT	0.05941911	.
112L2	100	4	30721.00	 5921.675	2960.837	 9422.706	LIGHT	0.05650846	.
112L2	101	4	30798.75	 5950.331	2975.166	 9468.305	LIGHT	0.05510395	.
112L2	102	4	30982.25	 5991.328	2995.664	 9533.540	LIGHT	0.04978512	*
112L2	103	4	31101.50	 5770.042	2885.021	 9181.424	LIGHT	0.04550687	*
112L2	104	4	31101.50	 5770.042	2885.021	 9181.424	LIGHT	0.04381655	*
112L2	105	4	31110.50	 5770.316	2885.158	 9181.861	DARK	0.04342539	*
112L2	106	4	31249.25	 5949.374	2974.687	 9466.781	DARK	0.03841346	*
112L2	107	4	31496.75	 6197.243	3098.622	 9861.197	DARK	0.03962484	*
112L2	108	4	31648.75	 6302.233	3151.117	10028.260	DARK	0.03888821	*
112L2	109	4	31677.25	 6341.323	3170.661	10090.460	DARK	0.03886196	*
112L2	110	4	31991.50	 6552.224	3276.112	10426.051	DARK	0.03644138	*
112L2	111	4	32452.50	 6651.112	3325.556	10583.404	DARK	0.03825935	*
WT	  1	4	  160.25	  283.775	 141.887	  451.549	DARK	0.07182215	.
WT	  2	4	  609.00	  395.227	 197.614	  628.895	DARK	0.04822804	*
