Genotype	TimePoint	N	CumCenT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  5162.00	 3219.649	 1609.824	 5123.180	DARK	0.07268864	.
112L1	  2	4	  9831.50	 3465.365	 1732.683	 5514.170	DARK	0.02906329	*
112L1	  3	4	 12086.50	 5603.339	 2801.669	 8916.162	DARK	0.18967970	.
112L1	  4	4	 13476.25	 4543.596	 2271.798	 7229.876	DARK	0.31263559	.
112L1	  5	4	 16545.25	 4824.138	 2412.069	 7676.280	DARK	0.13995643	.
112L1	  6	4	 18158.00	 4569.737	 2284.869	 7271.472	DARK	0.11292743	.
112L1	  7	4	 20662.00	 6013.295	 3006.648	 9568.494	DARK	0.07417961	.
112L1	  8	4	 22490.00	 7254.283	 3627.142	11543.183	DARK	0.07090715	.
112L1	  9	4	 25692.25	 9514.711	 4757.356	15140.029	DARK	0.04945509	*
112L1	 10	4	 29433.00	 8928.404	 4464.202	14207.083	DARK	0.01799409	*
112L1	 11	4	 33191.00	 9957.187	 4978.593	15844.106	DARK	0.01215821	*
112L1	 12	4	 35078.00	11193.946	 5596.973	17812.066	DARK	0.01634341	*
112L1	 13	4	 36571.50	12439.292	 6219.646	19793.690	LIGHT	0.04479115	*
112L1	 14	4	 37351.75	12846.898	 6423.449	20442.282	LIGHT	0.07910816	.
112L1	 15	4	 39473.75	12449.573	 6224.786	19810.049	LIGHT	0.06515307	.
112L1	 16	4	 40878.50	13901.990	 6950.995	22121.168	LIGHT	0.07142557	.
112L1	 17	4	 41239.75	14217.666	 7108.833	22623.479	LIGHT	0.07424294	.
112L1	 18	4	 42369.25	15005.643	 7502.821	23877.326	LIGHT	0.08107357	.
112L1	 19	4	 43075.25	14100.306	 7050.153	22436.734	LIGHT	0.08315551	.
112L1	 20	4	 43274.00	14306.487	 7153.243	22764.813	LIGHT	0.08659357	.
112L1	 21	4	 45044.00	16283.516	 8141.758	25910.708	LIGHT	0.07836510	.
112L1	 22	4	 45331.25	16701.154	 8350.577	26575.263	LIGHT	0.07741739	.
112L1	 23	4	 46710.00	17565.215	 8782.607	27950.176	LIGHT	0.07435075	.
112L1	 24	4	 49542.25	18162.874	 9081.437	28901.186	LIGHT	0.06756946	.
112L1	 25	4	 50711.75	19407.706	 9703.853	30881.991	LIGHT	0.07584233	.
112L1	 26	4	 51306.25	20104.121	10052.060	31990.143	LIGHT	0.08433636	.
112L1	 27	4	 51658.00	20537.476	10268.738	32679.707	LIGHT	0.10369182	.
112L1	 28	4	 52587.50	20335.840	10167.920	32358.860	LIGHT	0.08830794	.
112L1	 29	4	 53050.00	20019.025	10009.512	31854.736	LIGHT	0.08081332	.
112L1	 30	4	 55152.00	20848.192	10424.096	33174.126	LIGHT	0.07568878	.
112L1	 31	4	 57153.75	20663.478	10331.739	32880.205	LIGHT	0.06544147	.
112L1	 32	4	 59322.00	21916.656	10958.328	34874.291	DARK	0.08031094	.
112L1	 33	4	 62930.25	22545.148	11272.574	35874.361	DARK	0.08487315	.
112L1	 34	4	 65588.50	22951.333	11475.666	36520.692	DARK	0.07447003	.
112L1	 35	4	 68924.75	23833.909	11916.954	37925.067	DARK	0.06082191	.
112L1	 36	4	 71737.25	24783.576	12391.788	39436.200	DARK	0.06391434	.
112L1	 37	4	 73198.75	25051.858	12525.929	39863.096	DARK	0.06803168	.
112L1	 38	4	 76887.75	25207.410	12603.705	40110.615	DARK	0.06368204	.
112L1	 39	4	 79932.50	26227.362	13113.681	41733.585	DARK	0.06586722	.
112L1	 40	4	 83198.00	26982.924	13491.462	42935.853	DARK	0.05262136	.
112L1	 41	4	 85876.75	28520.337	14260.168	45382.220	DARK	0.06498284	.
112L1	 42	4	 89105.50	28867.082	14433.541	45933.969	DARK	0.06319985	.
112L1	 43	4	 93289.50	30970.041	15485.020	49280.246	DARK	0.05647760	.
112L1	 44	4	 96867.00	32625.237	16312.619	51914.033	DARK	0.05703116	.
112L1	 45	4	100528.00	34731.631	17365.816	55265.776	DARK	0.05539481	.
112L1	 46	4	101795.25	35933.629	17966.814	57178.422	DARK	0.06465009	.
112L1	 47	4	103901.25	38024.049	19012.024	60504.747	DARK	0.07124780	.
112L1	 48	4	106318.25	39199.145	19599.573	62374.587	DARK	0.07742922	.
112L1	 49	4	107410.50	40407.421	20203.710	64297.223	DARK	0.09507283	.
112L1	 50	4	111031.75	41911.523	20955.761	66690.586	LIGHT	0.09635807	.
112L1	 51	4	113370.00	42729.462	21364.731	67992.109	LIGHT	0.09185843	.
112L1	 52	4	113670.00	42893.753	21446.877	68253.534	LIGHT	0.10849981	.
112L1	 53	4	114939.25	42041.726	21020.863	66897.768	LIGHT	0.10811243	.
112L1	 54	4	116245.00	42599.605	21299.802	67785.477	LIGHT	0.10971663	.
112L1	 55	4	117834.75	43902.510	21951.255	69858.691	LIGHT	0.10399743	.
112L1	 56	4	118861.25	44501.905	22250.952	70812.461	LIGHT	0.10291446	.
112L1	 57	4	119873.25	43385.733	21692.866	69036.383	LIGHT	0.10188180	.
112L1	 58	4	120651.00	43597.742	21798.871	69373.736	LIGHT	0.10129506	.
112L1	 59	4	120782.75	43702.264	21851.132	69540.054	LIGHT	0.09997437	.
112L1	 60	4	121118.75	44024.859	22012.430	70053.376	LIGHT	0.10288260	.
112L1	 61	4	121277.75	44076.936	22038.468	70136.241	LIGHT	0.10694034	.
112L1	 62	4	122219.75	43523.352	21761.676	69255.365	LIGHT	0.10179069	.
112L1	 63	4	122614.50	43748.251	21874.126	69613.230	LIGHT	0.10566234	.
112L1	 64	4	123320.75	44297.005	22148.503	70486.420	LIGHT	0.10463440	.
112L1	 65	4	124232.25	43829.406	21914.703	69742.366	LIGHT	0.10412512	.
112L1	 66	4	126715.00	44324.465	22162.233	70530.115	LIGHT	0.09267308	.
112L1	 67	4	127637.75	45185.532	22592.766	71900.265	LIGHT	0.10361967	.
112L1	 68	4	128939.50	45894.947	22947.474	73029.103	LIGHT	0.10608600	.
112L1	 69	4	131356.50	46435.350	23217.675	73889.004	DARK	0.11854802	.
112L1	 70	4	133702.25	45329.766	22664.883	72129.773	DARK	0.11757748	.
112L1	 71	4	135995.75	46546.459	23273.230	74065.803	DARK	0.12292807	.
112L1	 72	4	139004.75	46337.988	23168.994	73734.079	DARK	0.11282837	.
112L1	 73	4	143378.00	43488.660	21744.330	69200.163	DARK	0.08001814	.
112L1	 74	4	146398.00	40373.500	20186.750	64243.248	DARK	0.06156224	.
112L1	 75	4	149492.25	41176.077	20588.038	65520.327	DARK	0.06134451	.
112L1	 76	4	152308.00	41064.421	20532.211	65342.658	DARK	0.06340434	.
112L1	 77	4	154557.00	40984.554	20492.277	65215.571	DARK	0.06961019	.
