Genotype	TimePoint	N	CumPerA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  4004.50	  2664.257	 1332.129	  4239.428	DARK	0.57188486	.
112L1	  2	4	  8158.75	  3516.426	 1758.213	  5595.419	DARK	0.32379934	.
112L1	  3	4	 10146.00	  4143.274	 2071.637	  6592.874	DARK	0.32497551	.
112L1	  4	4	 12888.00	  4905.186	 2452.593	  7805.246	DARK	0.26549092	.
112L1	  5	4	 17031.25	  4979.817	 2489.909	  7924.000	DARK	0.39996179	.
112L1	  6	4	 18854.75	  4874.891	 2437.446	  7757.040	DARK	0.40938032	.
112L1	  7	4	 21154.75	  5569.133	 2784.567	  8861.734	DARK	0.35416915	.
112L1	  8	4	 23624.00	  6573.955	 3286.977	 10460.629	DARK	0.34346414	.
112L1	  9	4	 26728.00	  8694.215	 4347.108	 13834.436	DARK	0.38349142	.
112L1	 10	4	 31291.25	  9258.125	 4629.063	 14731.744	DARK	0.50999642	.
112L1	 11	4	 34651.50	  9338.486	 4669.243	 14859.615	DARK	0.48018418	.
112L1	 12	4	 35905.75	  8809.333	 4404.666	 14017.614	DARK	0.40971506	.
112L1	 13	4	 37487.50	 11024.643	 5512.322	 17542.667	LIGHT	0.43303604	.
112L1	 14	4	 38809.50	 12189.618	 6094.809	 19396.403	LIGHT	0.38584768	.
112L1	 15	4	 41621.50	 11563.459	 5781.729	 18400.043	LIGHT	0.40771364	.
112L1	 16	4	 42598.75	 11018.454	 5509.227	 17532.820	LIGHT	0.40386696	.
112L1	 17	4	 43374.25	 12123.205	 6061.603	 19290.725	LIGHT	0.37939304	.
112L1	 18	4	 44648.75	 14034.277	 7017.138	 22331.666	LIGHT	0.37990708	.
112L1	 19	4	 45937.25	 13174.097	 6587.049	 20962.928	LIGHT	0.33333453	.
112L1	 20	4	 46548.50	 13685.419	 6842.710	 21776.556	LIGHT	0.27257465	.
112L1	 21	4	 48177.75	 14428.351	 7214.176	 22958.727	LIGHT	0.22567349	.
112L1	 22	4	 48930.50	 15479.605	 7739.803	 24631.506	LIGHT	0.14646743	.
112L1	 23	4	 51311.75	 19452.947	 9726.474	 30953.980	LIGHT	0.11037793	.
112L1	 24	4	 53390.25	 21823.876	10911.938	 34726.657	LIGHT	0.13121651	.
112L1	 25	4	 54201.50	 22726.716	11363.358	 36163.277	LIGHT	0.12724422	.
112L1	 26	4	 54762.50	 22647.292	11323.646	 36036.895	LIGHT	0.13181946	.
112L1	 27	4	 54969.50	 22683.377	11341.689	 36094.315	LIGHT	0.11959333	.
112L1	 28	4	 56134.50	 22040.272	11020.136	 35070.991	LIGHT	0.11488046	.
112L1	 29	4	 56635.00	 21916.763	10958.381	 34874.460	LIGHT	0.12421989	.
112L1	 30	4	 58356.75	 21717.633	10858.817	 34557.601	LIGHT	0.11904961	.
112L1	 31	4	 60266.50	 21802.287	10901.144	 34692.304	LIGHT	0.10209850	.
112L1	 32	4	 62674.25	 23813.214	11906.607	 37892.138	DARK	0.10439969	.
112L1	 33	4	 67905.00	 27379.480	13689.740	 43566.862	DARK	0.11837879	.
112L1	 34	4	 73920.75	 34568.881	17284.440	 55006.803	DARK	0.18974830	.
112L1	 35	4	 79151.25	 38633.860	19316.930	 61475.092	DARK	0.24348695	.
112L1	 36	4	 83749.50	 43893.283	21946.641	 69844.008	DARK	0.29474559	.
112L1	 37	4	 86235.75	 44665.649	22332.825	 71073.015	DARK	0.30671292	.
112L1	 38	4	 90716.25	 44148.354	22074.177	 70249.884	DARK	0.33235581	.
112L1	 39	4	 92816.25	 45331.520	22665.760	 72132.565	DARK	0.30596115	.
112L1	 40	4	 95516.25	 45169.860	22584.930	 71875.327	DARK	0.30118947	.
112L1	 41	4	 98270.00	 46096.994	23048.497	 73350.604	DARK	0.31738722	.
112L1	 42	4	101808.75	 45307.253	22653.626	 72093.950	DARK	0.32558077	.
112L1	 43	4	106562.50	 47474.743	23737.372	 75542.911	DARK	0.33406493	.
112L1	 44	4	109395.50	 48334.702	24167.351	 76911.297	DARK	0.33423573	.
112L1	 45	4	111528.50	 49226.992	24613.496	 78331.129	DARK	0.33322720	.
112L1	 46	4	113344.25	 48878.361	24439.181	 77776.380	DARK	0.31877272	.
112L1	 47	4	115127.75	 48048.991	24024.496	 76456.668	DARK	0.30806399	.
112L1	 48	4	117449.25	 48941.024	24470.512	 77876.090	DARK	0.30729120	.
112L1	 49	4	119225.75	 49162.312	24581.156	 78228.209	DARK	0.28421092	.
112L1	 50	4	122524.25	 49539.365	24769.683	 78828.185	LIGHT	0.28604136	.
112L1	 51	4	123848.25	 49855.071	24927.536	 79330.544	LIGHT	0.28709533	.
112L1	 52	4	124006.75	 49927.763	24963.881	 79446.212	LIGHT	0.27489927	.
112L1	 53	4	124965.00	 48935.397	24467.698	 77867.136	LIGHT	0.25969725	.
112L1	 54	4	125304.00	 48705.599	24352.800	 77501.477	LIGHT	0.25635991	.
112L1	 55	4	126881.50	 49775.064	24887.532	 79203.234	LIGHT	0.23945681	.
112L1	 56	4	127671.50	 50849.820	25424.910	 80913.411	LIGHT	0.22820278	.
112L1	 57	4	128657.50	 49948.465	24974.233	 79479.154	LIGHT	0.21860298	.
112L1	 58	4	129283.25	 50247.082	25123.541	 79954.321	LIGHT	0.21720828	.
112L1	 59	4	129613.00	 49962.090	24981.045	 79500.835	LIGHT	0.20603216	.
112L1	 60	4	129832.00	 49788.378	24894.189	 79224.421	LIGHT	0.19730314	.
112L1	 61	4	129933.25	 49854.196	24927.098	 79329.150	LIGHT	0.19254250	.
112L1	 62	4	130774.25	 49685.305	24842.653	 79060.408	LIGHT	0.19080676	.
112L1	 63	4	131056.75	 49837.969	24918.985	 79303.331	LIGHT	0.19354892	.
112L1	 64	4	131549.25	 49874.344	24937.172	 79361.211	LIGHT	0.18394971	.
112L1	 65	4	132397.75	 49827.841	24913.921	 79287.215	LIGHT	0.17163327	.
112L1	 66	4	134524.50	 50194.265	25097.133	 79870.277	LIGHT	0.17944698	.
112L1	 67	4	135003.25	 49900.813	24950.406	 79403.328	LIGHT	0.17675793	.
112L1	 68	4	135963.50	 50726.817	25363.408	 80717.685	LIGHT	0.17843437	.
112L1	 69	4	138627.75	 50149.040	25074.520	 79798.314	DARK	0.17899092	.
112L1	 70	4	141317.75	 50511.038	25255.519	 80374.333	DARK	0.18072257	.
112L1	 71	4	143284.50	 49709.947	24854.974	 79099.619	DARK	0.17243487	.
112L1	 72	4	145493.25	 48753.421	24376.710	 77577.572	DARK	0.17945852	.
112L1	 73	4	147486.00	 49127.095	24563.548	 78172.172	DARK	0.17330396	.
112L1	 74	4	149439.75	 48054.905	24027.453	 76466.078	DARK	0.17478775	.
112L1	 75	4	152494.25	 47906.725	23953.362	 76230.290	DARK	0.18205229	.
112L1	 76	4	154543.75	 48918.052	24459.026	 77839.537	DARK	0.17805400	.
112L1	 77	4	156782.75	 49343.084	24671.542	 78515.857	DARK	0.17108327	.
112L1	 78	4	159833.50	 49833.633	24916.816	 79296.430	DARK	0.16342261	.
112L1	 79	4	162315.50	 51690.677	25845.338	 82251.401	DARK	0.15323816	.
112L1	 80	4	164578.50	 53601.381	26800.690	 85291.758	DARK	0.14781168	.
112L1	 81	4	166801.75	 54663.574	27331.787	 86981.945	DARK	0.14405117	.
112L1	 82	4	168536.00	 54001.247	27000.624	 85928.035	DARK	0.13368440	.
112L1	 83	4	170077.50	 54030.034	27015.017	 85973.841	DARK	0.12458568	.
112L1	 84	4	172104.25	 54995.270	27497.635	 87509.747	DARK	0.11446878	.
112L1	 85	4	174206.75	 54614.115	27307.058	 86903.244	DARK	0.10370552	.
112L1	 86	4	176707.25	 56143.205	28071.603	 89336.368	DARK	0.09778846	.
112L1	 87	4	179600.75	 55036.119	27518.059	 87574.746	LIGHT	0.09188898	.
112L1	 88	4	182016.00	 52763.938	26381.969	 83959.199	LIGHT	0.09217371	.
112L1	 89	4	183599.25	 53871.988	26935.994	 85722.355	LIGHT	0.09045984	.
112L1	 90	4	184660.75	 54062.365	27031.183	 86025.287	LIGHT	0.08101351	.
112L1	 91	4	187507.50	 56163.221	28081.611	 89368.218	LIGHT	0.08125125	.
112L1	 92	4	187630.75	 56291.599	28145.800	 89572.496	LIGHT	0.07379817	.
112L1	 93	4	187716.00	 56370.354	28185.177	 89697.812	LIGHT	0.06611906	.
112L1	 94	4	188474.25	 55751.862	27875.931	 88713.654	LIGHT	0.05864326	.
112L1	 95	4	189695.00	 55680.191	27840.095	 88599.608	LIGHT	0.05403994	.
112L1	 96	4	190457.50	 56345.652	28172.826	 89658.506	LIGHT	0.04807781	*
112L1	 97	4	191464.25	 56896.024	28448.012	 90534.270	LIGHT	0.04299304	*
112L1	 98	4	191686.50	 56977.937	28488.969	 90664.613	LIGHT	0.04093063	*
112L1	 99	4	193528.50	 56197.073	28098.537	 89422.084	LIGHT	0.03457236	*
112L1	100	4	194399.75	 56890.148	28445.074	 90524.921	LIGHT	0.02904120	*
112L1	101	4	195176.75	 56975.876	28487.938	 90661.333	LIGHT	0.02809500	*
112L1	102	4	196277.50	 56559.355	28279.678	 89998.556	LIGHT	0.02843435	*
112L1	103	4	199335.50	 57672.119	28836.059	 91769.210	LIGHT	0.03008913	*
112L1	104	4	200957.75	 58055.033	29027.516	 92378.512	LIGHT	0.03017272	*
112L1	105	4	203445.75	 60880.317	30440.159	 96874.171	DARK	0.03046376	*
112L1	106	4	208517.75	 65730.667	32865.333	104592.159	DARK	0.03411388	*
112L1	107	4	210121.50	 65401.414	32700.707	104068.244	DARK	0.03319451	*
112L1	108	4	211562.00	 65498.793	32749.396	104223.196	DARK	0.03215171	*
112L1	109	4	213458.50	 65621.824	32810.912	104418.965	DARK	0.03005981	*
112L1	110	4	215753.75	 66432.817	33216.408	105709.436	DARK	0.03053829	*
112L1	111	4	216840.00	 66362.126	33181.063	105596.951	DARK	0.03049502	*
112L2	  1	4	  2694.75	  1786.621	  893.311	  2842.913	DARK	0.57188486	.
112L2	  2	4	  5102.50	  3059.837	 1529.919	  4868.884	DARK	0.32379934	.
112L2	  3	4	  8204.75	  4858.657	 2429.329	  7731.208	DARK	0.32497551	.
112L2	  4	4	 10901.50	  4953.456	 2476.728	  7882.055	DARK	0.26549092	.
112L2	  5	4	 15629.75	  3088.003	 1544.002	  4913.702	DARK	0.39996179	.
112L2	  6	4	 25025.00	  6896.992	 3448.496	 10974.654	DARK	0.40938032	.
112L2	  7	4	 32557.50	 15060.839	 7530.420	 23965.156	DARK	0.35416915	.
112L2	  8	4	 35655.75	 14813.433	 7406.717	 23571.478	DARK	0.34346414	.
112L2	  9	4	 38052.75	 14336.047	 7168.024	 22811.851	DARK	0.38349142	.
112L2	 10	4	 40274.50	 14292.626	 7146.313	 22742.757	DARK	0.50999642	.
112L2	 11	4	 43264.50	 14821.379	 7410.689	 23584.121	DARK	0.48018418	.
112L2	 12	4	 46876.50	 14104.834	 7052.417	 22443.938	DARK	0.40971506	.
112L2	 13	4	 49649.25	 12913.039	 6456.520	 20547.527	LIGHT	0.43303604	.
112L2	 14	4	 52514.50	 12467.751	 6233.875	 19838.974	LIGHT	0.38584768	.
112L2	 15	4	 56227.75	 16242.016	 8121.008	 25844.672	LIGHT	0.40771364	.
112L2	 16	4	 58549.50	 19397.739	 9698.870	 30866.131	LIGHT	0.40386696	.
112L2	 17	4	 61511.75	 20047.489	10023.744	 31900.028	LIGHT	0.37939304	.
112L2	 18	4	 65143.75	 24083.234	12041.617	 38321.800	LIGHT	0.37990708	.
112L2	 19	4	 69479.00	 27665.770	13832.885	 44022.414	LIGHT	0.33333453	.
112L2	 20	4	 73651.75	 28244.811	14122.405	 44943.797	LIGHT	0.27257465	.
112L2	 21	4	 78959.25	 30071.609	15035.804	 47850.640	LIGHT	0.22567349	.
112L2	 22	4	 85759.25	 30922.602	15461.301	 49204.760	LIGHT	0.14646743	.
112L2	 23	4	 92002.50	 30054.723	15027.362	 47823.771	LIGHT	0.11037793	.
112L2	 24	4	 95474.25	 31069.985	15534.992	 49439.279	LIGHT	0.13121651	.
112L2	 25	4	100378.25	 34023.769	17011.884	 54139.409	LIGHT	0.12724422	.
112L2	 26	4	104041.75	 36468.002	18234.001	 58028.729	LIGHT	0.13181946	.
112L2	 27	4	106455.50	 36468.500	18234.250	 58029.522	LIGHT	0.11959333	.
112L2	 28	4	109138.75	 36692.408	18346.204	 58385.809	LIGHT	0.11488046	.
112L2	 29	4	113386.25	 39700.574	19850.287	 63172.472	LIGHT	0.12421989	.
112L2	 30	4	117133.00	 39201.691	19600.846	 62378.639	LIGHT	0.11904961	.
112L2	 31	4	121706.00	 38888.051	19444.026	 61879.567	LIGHT	0.10209850	.
112L2	 32	4	125105.75	 38157.993	19078.997	 60717.883	DARK	0.10439969	.
112L2	 33	4	129704.50	 38809.422	19404.711	 61754.452	DARK	0.11837879	.
112L2	 34	4	134548.75	 46578.564	23289.282	 74116.890	DARK	0.18974830	.
112L2	 35	4	136321.25	 47052.424	23526.212	 74870.906	DARK	0.24348695	.
112L2	 36	4	138809.00	 46566.288	23283.144	 74097.356	DARK	0.29474559	.
112L2	 37	4	141600.75	 46003.049	23001.524	 73201.116	DARK	0.30671292	.
112L2	 38	4	144375.50	 45282.187	22641.094	 72054.065	DARK	0.33235581	.
112L2	 39	4	148667.00	 44515.410	22257.705	 70833.950	DARK	0.30596115	.
112L2	 40	4	152808.25	 43628.919	21814.459	 69423.346	DARK	0.30118947	.
112L2	 41	4	155680.00	 45733.995	22866.998	 72772.992	DARK	0.31738722	.
112L2	 42	4	158964.50	 48357.423	24178.712	 76947.452	DARK	0.32558077	.
112L2	 43	4	164898.75	 48813.177	24406.589	 77672.658	DARK	0.33406493	.
112L2	 44	4	168441.50	 51017.896	25508.948	 81180.858	DARK	0.33423573	.
112L2	 45	4	172180.00	 52240.898	26120.449	 83126.926	DARK	0.33322720	.
112L2	 46	4	175742.50	 52336.110	26168.055	 83278.430	DARK	0.31877272	.
112L2	 47	4	179744.75	 55503.241	27751.620	 88318.042	DARK	0.30806399	.
112L2	 48	4	183478.25	 57536.262	28768.131	 91553.032	DARK	0.30729120	.
112L2	 49	4	188465.50	 58178.050	29089.025	 92574.260	DARK	0.28421092	.
112L2	 50	4	191969.00	 59490.330	29745.165	 94662.390	LIGHT	0.28604136	.
112L2	 51	4	194489.00	 60735.818	30367.909	 96644.240	LIGHT	0.28709533	.
112L2	 52	4	199911.00	 68329.380	34164.690	108727.292	LIGHT	0.27489927	.
112L2	 53	4	207573.50	 78153.308	39076.654	124359.353	LIGHT	0.25969725	.
112L2	 54	4	211366.50	 82520.305	41260.152	131308.220	LIGHT	0.25635991	.
112L2	 55	4	217598.50	 85278.679	42639.339	135697.408	LIGHT	0.23945681	.
112L2	 56	4	221534.75	 87295.684	43647.842	138906.914	LIGHT	0.22820278	.
112L2	 57	4	226374.50	 91115.841	45557.921	144985.636	LIGHT	0.21860298	.
112L2	 58	4	229808.50	 95198.001	47599.000	151481.263	LIGHT	0.21720828	.
112L2	 59	4	233193.00	 97179.225	48589.613	154633.833	LIGHT	0.20603216	.
112L2	 60	4	235969.25	 98483.217	49241.608	156708.774	LIGHT	0.19730314	.
112L2	 61	4	238396.25	100480.390	50240.195	159886.724	LIGHT	0.19254250	.
112L2	 62	4	241787.50	102887.645	51443.823	163717.203	LIGHT	0.19080676	.
112L2	 63	4	244298.75	105467.868	52733.934	167822.914	LIGHT	0.19354892	.
112L2	 64	4	248629.50	107089.268	53544.634	170402.923	LIGHT	0.18394971	.
