Genotype	TimePoint	N	CumPerF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  1116.00	  628.385	  314.192	  999.900	DARK	0.61333723	.
112L1	  2	4	  2259.75	  854.732	  427.366	 1360.069	DARK	0.65447887	.
112L1	  3	4	  2932.00	 1224.748	  612.374	 1948.848	DARK	0.71061422	.
112L1	  4	4	  3696.00	 1210.900	  605.450	 1926.813	DARK	0.60629650	.
112L1	  5	4	  4887.25	 1337.735	  668.868	 2128.635	DARK	0.85428467	.
112L1	  6	4	  5575.75	 1296.497	  648.249	 2063.017	DARK	0.76563268	.
112L1	  7	4	  6270.25	 1533.986	  766.993	 2440.914	DARK	0.59424012	.
112L1	  8	4	  6970.75	 1602.999	  801.499	 2550.728	DARK	0.55570228	.
112L1	  9	4	  7455.25	 1554.781	  777.391	 2474.004	DARK	0.48840734	.
112L1	 10	4	  8345.25	 1426.953	  713.477	 2270.601	DARK	0.54336768	.
112L1	 11	4	  9202.50	 1695.968	  847.984	 2698.663	DARK	0.57127924	.
112L1	 12	4	  9641.50	 1729.213	  864.607	 2751.564	DARK	0.51531674	.
112L1	 13	4	 10175.00	 2036.999	 1018.500	 3241.320	LIGHT	0.45587186	.
112L1	 14	4	 10731.25	 2578.109	 1289.054	 4102.346	LIGHT	0.43510112	.
112L1	 15	4	 11553.50	 2640.087	 1320.044	 4200.968	LIGHT	0.43976630	.
112L1	 16	4	 11923.00	 2617.730	 1308.865	 4165.392	LIGHT	0.40920024	.
112L1	 17	4	 12254.25	 2961.079	 1480.539	 4711.737	LIGHT	0.35879060	.
112L1	 18	4	 12714.75	 3504.102	 1752.051	 5575.808	LIGHT	0.35952671	.
112L1	 19	4	 13235.75	 3431.093	 1715.546	 5459.634	LIGHT	0.32704452	.
112L1	 20	4	 13576.75	 3746.708	 1873.354	 5961.848	LIGHT	0.29653030	.
112L1	 21	4	 14052.00	 3951.426	 1975.713	 6287.600	LIGHT	0.26728752	.
112L1	 22	4	 14321.75	 4177.848	 2088.924	 6647.888	LIGHT	0.21729203	.
112L1	 23	4	 15029.75	 4925.220	 2462.610	 7837.124	LIGHT	0.24519264	.
112L1	 24	4	 15624.00	 5326.572	 2663.286	 8475.765	LIGHT	0.27514723	.
112L1	 25	4	 16031.00	 5565.716	 2782.858	 8856.297	LIGHT	0.27269854	.
112L1	 26	4	 16451.00	 5703.998	 2851.999	 9076.333	LIGHT	0.25977709	.
112L1	 27	4	 16648.75	 5868.444	 2934.222	 9338.005	LIGHT	0.23496841	.
112L1	 28	4	 17127.25	 5812.365	 2906.182	 9248.769	LIGHT	0.22537383	.
