Genotype	TimePoint	N	CumPerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  5120.50	  3249.925	 1624.963	  5171.357	DARK	0.57223844	.
112L1	  2	4	 10418.50	  4277.635	 2138.818	  6806.672	DARK	0.37317911	.
112L1	  3	4	 13078.00	  5291.188	 2645.594	  8419.460	DARK	0.38817577	.
112L1	  4	4	 16584.00	  6033.537	 3016.768	  9600.703	DARK	0.31856113	.
112L1	  5	4	 21918.50	  6230.581	 3115.290	  9914.244	DARK	0.49147855	.
112L1	  6	4	 24430.50	  6089.383	 3044.691	  9689.567	DARK	0.42969747	.
112L1	  7	4	 27425.00	  7059.251	 3529.625	 11232.843	DARK	0.33956540	.
112L1	  8	4	 30594.75	  8135.264	 4067.632	 12945.020	DARK	0.32524881	.
112L1	  9	4	 34183.25	 10222.841	 5111.420	 16266.821	DARK	0.35536531	.
112L1	 10	4	 39636.50	 10668.949	 5334.475	 16976.679	DARK	0.47592466	.
112L1	 11	4	 43854.00	 10991.649	 5495.825	 17490.167	DARK	0.45165649	.
112L1	 12	4	 45547.25	 10498.152	 5249.076	 16704.902	DARK	0.38545527	.
112L1	 13	4	 47662.50	 13040.066	 6520.033	 20749.656	LIGHT	0.39874147	.
112L1	 14	4	 49540.75	 14746.810	 7373.405	 23465.465	LIGHT	0.36108712	.
112L1	 15	4	 53175.00	 14163.791	 7081.896	 22537.752	LIGHT	0.38165740	.
112L1	 16	4	 54521.75	 13598.705	 6799.353	 21638.574	LIGHT	0.37674911	.
112L1	 17	4	 55628.50	 15049.681	 7524.841	 23947.402	LIGHT	0.35344174	.
112L1	 18	4	 57363.50	 17503.973	 8751.986	 27852.727	LIGHT	0.35629332	.
112L1	 19	4	 59173.00	 16556.992	 8278.496	 26345.869	LIGHT	0.31216141	.
112L1	 20	4	 60125.25	 17368.826	 8684.413	 27637.678	LIGHT	0.25918271	.
112L1	 21	4	 62229.75	 18322.116	 9161.058	 29154.575	LIGHT	0.21628282	.
112L1	 22	4	 63252.25	 19593.790	 9796.895	 31178.092	LIGHT	0.14350801	.
112L1	 23	4	 66341.50	 24303.044	12151.522	 38671.567	LIGHT	0.11631524	.
112L1	 24	4	 69014.25	 27068.036	13534.018	 43071.286	LIGHT	0.13950386	.
112L1	 25	4	 70232.50	 28206.461	14103.231	 44882.774	LIGHT	0.13659140	.
112L1	 26	4	 71213.50	 28232.598	14116.299	 44924.364	LIGHT	0.13989856	.
112L1	 27	4	 71618.25	 28433.828	14216.914	 45244.565	LIGHT	0.12721479	.
112L1	 28	4	 73261.75	 27702.161	13851.081	 44080.320	LIGHT	0.12151672	.
112L1	 29	4	 74032.50	 27673.241	13836.620	 44034.301	LIGHT	0.12898616	.
112L1	 30	4	 76319.75	 27616.052	13808.026	 43943.302	LIGHT	0.12537414	.
112L1	 31	4	 78934.75	 27931.828	13965.914	 44445.771	LIGHT	0.10928414	.
112L1	 32	4	 82111.50	 30415.633	15207.816	 48398.059	DARK	0.11037732	.
112L1	 33	4	 88323.50	 34041.003	17020.502	 54166.833	DARK	0.12122256	.
112L1	 34	4	 95135.00	 41314.696	20657.348	 65740.901	DARK	0.18395587	.
112L1	 35	4	101387.00	 45336.376	22668.188	 72140.292	DARK	0.23276393	.
112L1	 36	4	107059.50	 51164.611	25582.305	 81414.313	DARK	0.28116929	.
112L1	 37	4	110303.50	 52139.767	26069.883	 82966.004	DARK	0.29512719	.
112L1	 38	4	115759.00	 51480.947	25740.474	 81917.675	DARK	0.31968582	.
112L1	 39	4	118568.00	 53068.949	26534.474	 84444.540	DARK	0.29606421	.
112L1	 40	4	122152.75	 52923.533	26461.767	 84213.152	DARK	0.29425444	.
112L1	 41	4	125879.75	 54098.328	27049.164	 86082.513	DARK	0.31134754	.
112L1	 42	4	130547.25	 53358.481	26679.240	 84905.250	DARK	0.32120686	.
112L1	 43	4	136608.50	 56151.483	28075.742	 89349.541	DARK	0.33387716	.
112L1	 44	4	140439.00	 57211.324	28605.662	 91035.984	DARK	0.33534085	.
112L1	 45	4	143281.75	 58469.850	29234.925	 93038.580	DARK	0.33672217	.
112L1	 46	4	145703.75	 58147.755	29073.877	 92526.053	DARK	0.32214864	.
112L1	 47	4	148050.75	 57152.549	28576.274	 90942.459	DARK	0.30979394	.
112L1	 48	4	151119.75	 58243.918	29121.959	 92679.071	DARK	0.30688186	.
112L1	 49	4	153400.50	 58672.557	29336.279	 93361.132	DARK	0.28254163	.
112L1	 50	4	157598.00	 59230.940	29615.470	 94249.644	LIGHT	0.28414678	.
112L1	 51	4	159304.50	 59740.147	29870.074	 95059.906	LIGHT	0.28387011	.
