Genotype	TimePoint	N	CumXA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  4361.25	 2146.234	 1073.117	  3415.137	DARK	0.040386465	*
112L1	  2	4	  8872.50	 2291.517	 1145.759	  3646.316	DARK	0.009557518	**
112L1	  3	4	 10407.25	 3078.448	 1539.224	  4898.497	DARK	0.122088137	.
112L1	  4	4	 11998.50	 2332.196	 1166.098	  3711.044	DARK	0.142416870	.
112L1	  5	4	 15255.25	 1689.075	  844.538	  2687.696	DARK	0.139596239	.
112L1	  6	4	 16848.75	 1093.552	  546.776	  1740.084	DARK	0.869463047	.
112L1	  7	4	 19179.50	 2929.922	 1464.961	  4662.159	DARK	0.716612785	.
112L1	  8	4	 21054.00	 5130.815	 2565.408	  8164.272	DARK	0.702780815	.
112L1	  9	4	 25611.00	 8138.810	 4069.405	 12950.663	DARK	0.650944137	.
112L1	 10	4	 29587.75	 8144.806	 4072.403	 12960.204	DARK	0.575243382	.
112L1	 11	4	 33934.75	 9431.227	 4715.613	 15007.186	DARK	0.424670636	.
112L1	 12	4	 36313.00	11878.328	 5939.164	 18901.071	DARK	0.416195848	.
112L1	 13	4	 37656.75	13083.285	 6541.643	 20818.426	LIGHT	0.607143664	.
112L1	 14	4	 38411.25	13149.548	 6574.774	 20923.865	LIGHT	0.669982192	.
112L1	 15	4	 40973.25	12233.994	 6116.997	 19467.015	LIGHT	0.631148277	.
112L1	 16	4	 42402.00	13882.441	 6941.221	 22090.062	LIGHT	0.612558736	.
112L1	 17	4	 42777.50	14140.351	 7070.175	 22500.453	LIGHT	0.653693439	.
112L1	 18	4	 43761.25	14877.115	 7438.558	 23672.810	LIGHT	0.672494784	.
112L1	 19	4	 44564.00	13632.123	 6816.061	 21691.749	LIGHT	0.699784779	.
112L1	 20	4	 44689.50	13635.961	 6817.981	 21697.857	LIGHT	0.723105518	.
112L1	 21	4	 46356.00	15274.060	 7637.030	 24304.437	LIGHT	0.659511405	.
