Genotype	TimePoint	N	CumXF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 1208.75	 497.830	 248.915	  792.158	DARK	0.01764708	*
112L1	  2	4	 2371.75	 711.288	 355.644	 1131.818	DARK	0.02126626	*
112L1	  3	4	 2900.00	1216.727	 608.364	 1936.084	DARK	0.34153025	.
112L1	  4	4	 3402.50	 888.861	 444.430	 1414.376	DARK	0.48617885	.
112L1	  5	4	 4280.00	 967.367	 483.684	 1539.297	DARK	0.26185723	.
112L1	  6	4	 4775.25	 846.390	 423.195	 1346.796	DARK	0.22698915	.
112L1	  7	4	 5415.00	1104.577	 552.289	 1757.629	DARK	0.16411229	.
112L1	  8	4	 5918.75	1260.968	 630.484	 2006.482	DARK	0.16174364	.
112L1	  9	4	 6516.50	1382.891	 691.446	 2200.489	DARK	0.09911906	.
112L1	 10	4	 7352.00	1141.271	 570.635	 1816.016	DARK	0.04568029	*
112L1	 11	4	 8277.00	1655.227	 827.614	 2633.836	DARK	0.03748746	*
112L1	 12	4	 8813.75	2208.986	1104.493	 3514.989	DARK	0.05297345	.
112L1	 13	4	 9220.25	2394.390	1197.195	 3810.010	LIGHT	0.12899950	.
112L1	 14	4	 9548.75	2465.167	1232.584	 3922.631	LIGHT	0.18469705	.
112L1	 15	4	10209.75	2368.986	1184.493	 3769.585	LIGHT	0.14287284	.
112L1	 16	4	10567.00	2747.990	1373.995	 4372.665	LIGHT	0.15919121	.
112L1	 17	4	10717.75	2845.471	1422.735	 4527.779	LIGHT	0.18416066	.
112L1	 18	4	11012.00	2976.250	1488.125	 4735.879	LIGHT	0.21166895	.
112L1	 19	4	11246.25	2716.405	1358.203	 4322.407	LIGHT	0.25602012	.
112L1	 20	4	11378.00	2744.274	1372.137	 4366.753	LIGHT	0.29707848	.
112L1	 21	4	11785.50	3224.683	1612.341	 5131.190	LIGHT	0.27390703	.
112L1	 22	4	11906.50	3329.916	1664.958	 5298.640	LIGHT	0.31444149	.
112L1	 23	4	12221.00	3424.854	1712.427	 5449.706	LIGHT	0.31549239	.
112L1	 24	4	13032.25	3593.543	1796.772	 5718.129	LIGHT	0.29348158	.
112L1	 25	4	13462.25	3884.852	1942.426	 6181.667	LIGHT	0.28109111	.
112L1	 26	4	13749.00	3971.319	1985.660	 6319.255	LIGHT	0.30759886	.
112L1	 27	4	13836.00	4000.061	2000.031	 6364.990	LIGHT	0.38429174	.
112L1	 28	4	14162.00	3836.485	1918.242	 6104.703	LIGHT	0.32039456	.
112L1	 29	4	14412.75	3654.279	1827.139	 5814.773	LIGHT	0.29206905	.
112L1	 30	4	15037.75	3782.588	1891.294	 6018.942	LIGHT	0.27809197	.
112L1	 31	4	15688.50	3823.769	1911.884	 6084.469	LIGHT	0.23948788	.
112L1	 32	4	16399.25	4104.928	2052.464	 6531.857	DARK	0.24562828	.
112L1	 33	4	17466.25	4244.216	2122.108	 6753.494	DARK	0.21627721	.
112L1	 34	4	18273.25	4292.208	2146.104	 6829.861	DARK	0.18666624	.
112L1	 35	4	19152.50	4456.295	2228.148	 7090.960	DARK	0.14806167	.
112L1	 36	4	20028.25	4688.951	2344.475	 7461.167	DARK	0.13823503	.
112L1	 37	4	20567.50	4552.816	2276.408	 7244.546	DARK	0.11719712	.
112L1	 38	4	21590.75	4308.625	2154.313	 6855.985	DARK	0.07835660	.
112L1	 39	4	22380.50	4409.361	2204.680	 7016.277	DARK	0.08354658	.
112L1	 40	4	23372.50	4462.864	2231.432	 7101.413	DARK	0.05869547	.
112L1	 41	4	24295.50	4675.112	2337.556	 7439.146	DARK	0.05594219	.
