Genotype	TimePoint	N	CumXT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 10282.50	  6451.089	 3225.545	 10265.123	DARK	0.15411408	.
112L1	  2	4	 20250.00	  7667.393	 3833.696	 12200.533	DARK	0.14267795	.
112L1	  3	4	 25164.50	 10714.656	 5357.328	 17049.409	DARK	0.57440658	.
112L1	  4	4	 30060.25	 10213.579	 5106.789	 16252.083	DARK	0.63455626	.
112L1	  5	4	 38463.75	 10716.881	 5358.440	 17052.949	DARK	0.76000643	.
112L1	  6	4	 42588.50	 10197.689	 5098.844	 16226.799	DARK	0.51013258	.
112L1	  7	4	 48087.00	 12464.445	 6232.222	 19833.713	DARK	0.43204322	.
112L1	  8	4	 53084.75	 14950.204	 7475.102	 23789.110	DARK	0.40577690	.
112L1	  9	4	 59875.50	 19419.804	 9709.902	 30901.242	DARK	0.41011804	.
112L1	 10	4	 69069.50	 18944.704	 9472.352	 30145.251	DARK	0.32839849	.
112L1	 11	4	 77045.00	 19809.347	 9904.674	 31521.092	DARK	0.17910211	.
112L1	 12	4	 80625.25	 19900.682	 9950.341	 31666.426	DARK	0.20658566	.
112L1	 13	4	 84234.00	 23476.568	11738.284	 37356.459	LIGHT	0.47671867	.
112L1	 14	4	 86892.50	 25215.022	12607.511	 40122.727	LIGHT	0.52234001	.
112L1	 15	4	 92648.75	 23490.599	11745.300	 37378.786	LIGHT	0.47085906	.
112L1	 16	4	 95400.25	 23701.563	11850.782	 37714.476	LIGHT	0.45775217	.
112L1	 17	4	 96868.25	 25105.217	12552.608	 39948.002	LIGHT	0.48207889	.
112L1	 18	4	 99732.75	 28378.633	14189.317	 45156.738	LIGHT	0.50075798	.
112L1	 19	4	102248.25	 25653.369	12826.684	 40820.235	LIGHT	0.44839214	.
112L1	 20	4	103399.25	 26289.052	13144.526	 41831.749	LIGHT	0.35135256	.
112L1	 21	4	107273.75	 27871.104	13935.552	 44349.147	LIGHT	0.27518107	.
112L1	 22	4	108583.50	 29038.632	14519.316	 46206.943	LIGHT	0.17747942	.
112L1	 23	4	113051.50	 34732.530	17366.265	 55267.206	LIGHT	0.15384769	.
112L1	 24	4	118556.50	 39091.060	19545.530	 62202.600	LIGHT	0.21410099	.
112L1	 25	4	120944.25	 41274.512	20637.256	 65676.959	LIGHT	0.22193179	.
112L1	 26	4	122519.75	 41190.956	20595.478	 65544.004	LIGHT	0.23710153	.
112L1	 27	4	123276.25	 41319.523	20659.761	 65748.582	LIGHT	0.23003214	.
112L1	 28	4	125849.25	 39208.997	19604.498	 62390.264	LIGHT	0.21501778	.
112L1	 29	4	127082.50	 38394.282	19197.141	 61093.870	LIGHT	0.22674860	.
112L1	 30	4	131471.75	 37744.791	18872.395	 60060.385	LIGHT	0.23575585	.
112L1	 31	4	136088.50	 37272.208	18636.104	 59308.401	LIGHT	0.21881749	.
112L1	 32	4	141433.50	 40873.109	20436.555	 65038.238	DARK	0.22598878	.
112L1	 33	4	151253.75	 44874.844	22437.422	 71405.891	DARK	0.25792084	.
112L1	 34	4	160723.50	 52532.770	26266.385	 83591.360	DARK	0.37098868	.
112L1	 35	4	170311.75	 57493.836	28746.918	 91485.523	DARK	0.47235585	.
112L1	 36	4	178796.75	 64897.118	32448.559	103265.796	DARK	0.54018087	.
112L1	 37	4	183502.25	 65947.099	32973.550	104936.551	DARK	0.57555113	.
