Genotype	TimePoint	N	CumXT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  5570.00	 2608.561	 1304.281	  4150.803	DARK	0.03353105	*
112L1	  2	4	 11244.25	 2883.711	 1441.856	  4588.628	DARK	0.01042485	*
112L1	  3	4	 13307.25	 4226.311	 2113.155	  6725.004	DARK	0.16632289	.
112L1	  4	4	 15401.00	 3062.582	 1531.291	  4873.252	DARK	0.20212223	.
112L1	  5	4	 19535.25	 2420.056	 1210.028	  3850.849	DARK	0.18569487	.
112L1	  6	4	 21624.00	 1759.118	  879.559	  2799.149	DARK	0.79125885	.
112L1	  7	4	 24594.50	 3882.192	 1941.096	  6177.434	DARK	0.68190102	.
112L1	  8	4	 26972.75	 6254.749	 3127.374	  9952.701	DARK	0.65965176	.
112L1	  9	4	 32127.50	 9501.760	 4750.880	 15119.421	DARK	0.58020296	.
112L1	 10	4	 36939.75	 9219.709	 4609.854	 14670.614	DARK	0.48864120	.
112L1	 11	4	 42211.75	10994.731	 5497.366	 17495.071	DARK	0.34281026	.
112L1	 12	4	 45126.75	14019.517	 7009.758	 22308.179	DARK	0.33924978	.
112L1	 13	4	 46877.00	15423.679	 7711.840	 24542.515	LIGHT	0.52690004	.
112L1	 14	4	 47960.00	15557.753	 7778.876	 24755.857	LIGHT	0.59486793	.
112L1	 15	4	 51183.00	14524.623	 7262.312	 23111.917	LIGHT	0.55552895	.
112L1	 16	4	 52969.00	16563.179	 8281.590	 26355.715	LIGHT	0.54212733	.
112L1	 17	4	 53495.25	16924.748	 8462.374	 26931.051	LIGHT	0.58415494	.
112L1	 18	4	 54773.25	17795.221	 8897.611	 28316.168	LIGHT	0.60481054	.
112L1	 19	4	 55810.25	16283.034	 8141.517	 25909.940	LIGHT	0.63938095	.
112L1	 20	4	 56067.50	16305.252	 8152.626	 25945.294	LIGHT	0.66786412	.
112L1	 21	4	 58141.50	18434.093	 9217.047	 29332.756	LIGHT	0.60036073	.
112L1	 22	4	 58475.75	18821.241	 9410.621	 29948.795	LIGHT	0.61298858	.
112L1	 23	4	 60104.00	19849.435	 9924.717	 31584.880	LIGHT	0.59221241	.
112L1	 24	4	 64185.00	22335.121	11167.560	 35540.161	LIGHT	0.61451266	.
