Genotype	TimePoint	N	CumYA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  3672.50	  3157.191	 1578.596	  5023.796	DARK	0.578177585	.
112L1	  2	4	  6982.25	  3977.968	 1988.984	  6329.834	DARK	0.717503296	.
112L1	  3	4	  9132.25	  5194.508	 2597.254	  8265.621	DARK	0.931095883	.
112L1	  4	4	 11322.00	  6040.952	 3020.476	  9612.503	DARK	0.935142914	.
112L1	  5	4	 14625.25	  6862.458	 3431.229	 10919.701	DARK	0.995605474	.
112L1	  6	4	 16081.00	  6927.770	 3463.885	 11023.629	DARK	0.728782016	.
112L1	  7	4	 18007.25	  7664.778	 3832.389	 12196.372	DARK	0.706812321	.
112L1	  8	4	 20037.00	  8188.917	 4094.459	 13030.395	DARK	0.697818948	.
112L1	  9	4	 21211.25	  8192.948	 4096.474	 13036.809	DARK	0.628283986	.
112L1	 10	4	 24774.00	  9305.448	 4652.724	 14807.044	DARK	0.734893434	.
112L1	 11	4	 26868.75	 10079.408	 5039.704	 16038.587	DARK	0.629950207	.
112L1	 12	4	 27307.25	 10078.683	 5039.342	 16037.434	DARK	0.615709304	.
112L1	 13	4	 28654.50	 11429.473	 5714.736	 18186.842	LIGHT	0.614259201	.
112L1	 14	4	 29767.00	 12589.214	 6294.607	 20032.248	LIGHT	0.556722359	.
112L1	 15	4	 31699.75	 12837.823	 6418.912	 20427.841	LIGHT	0.563843475	.
112L1	 16	4	 32342.25	 12328.574	 6164.287	 19617.513	LIGHT	0.470550489	.
112L1	 17	4	 32947.75	 12976.389	 6488.194	 20648.330	LIGHT	0.407840858	.
112L1	 18	4	 34105.75	 14347.542	 7173.771	 22830.141	LIGHT	0.333684799	.
112L1	 19	4	 35106.25	 14015.815	 7007.907	 22302.289	LIGHT	0.238335579	.
112L1	 20	4	 35666.50	 14572.880	 7286.440	 23188.703	LIGHT	0.151488647	.
112L1	 21	4	 36981.50	 15252.722	 7626.361	 24270.485	LIGHT	0.100553027	.
112L1	 22	4	 37677.75	 16150.828	 8075.414	 25699.571	LIGHT	0.047258609	*
112L1	 23	4	 39799.75	 19306.084	 9653.042	 30720.287	LIGHT	0.037090259	*
112L1	 24	4	 40828.00	 19510.027	 9755.014	 31044.807	LIGHT	0.035037051	*
112L1	 25	4	 41239.75	 19694.231	 9847.116	 31337.916	LIGHT	0.033663376	*
112L1	 26	4	 41632.25	 19741.991	 9870.996	 31413.913	LIGHT	0.037338326	*
112L1	 27	4	 41974.75	 19629.095	 9814.548	 31234.271	LIGHT	0.036579039	*
112L1	 28	4	 42943.25	 19347.188	 9673.594	 30785.693	LIGHT	0.037368928	*
112L1	 29	4	 43292.50	 19369.635	 9684.818	 30821.412	LIGHT	0.047556636	*
112L1	 30	4	 44481.75	 19563.868	 9781.934	 31130.480	LIGHT	0.050620270	.
112L1	 31	4	 45716.00	 19422.391	 9711.195	 30905.358	LIGHT	0.043341550	*
112L1	 32	4	 47212.25	 20459.124	10229.562	 32555.032	DARK	0.046126623	*
112L1	 33	4	 49120.25	 20208.924	10104.462	 32156.908	DARK	0.042054318	*
112L1	 34	4	 50741.00	 20908.459	10454.230	 33270.025	DARK	0.047224705	*
112L1	 35	4	 53214.50	 20817.636	10408.818	 33125.504	DARK	0.052995530	.
112L1	 36	4	 55205.50	 22341.461	11170.730	 35550.249	DARK	0.059843432	.
112L1	 37	4	 56814.00	 23287.085	11643.542	 37054.948	DARK	0.066867619	.
112L1	 38	4	 59394.00	 23108.560	11554.280	 36770.876	DARK	0.076790334	.
112L1	 39	4	 61294.75	 24494.778	12247.389	 38976.659	DARK	0.070231018	.
112L1	 40	4	 63046.50	 24644.825	12322.413	 39215.417	DARK	0.073799742	.
112L1	 41	4	 65166.50	 25143.042	12571.521	 40008.191	DARK	0.078062964	.
112L1	 42	4	 67883.50	 25189.664	12594.832	 40082.376	DARK	0.075719896	.
112L1	 43	4	 71880.25	 27023.607	13511.804	 43000.589	DARK	0.075496060	.
112L1	 44	4	 74533.00	 27932.522	13966.261	 44446.876	DARK	0.073734606	.
112L1	 45	4	 76606.00	 29426.018	14713.009	 46823.361	DARK	0.074829163	.
112L1	 46	4	 78015.25	 30159.874	15079.937	 47991.090	DARK	0.070481290	.
112L1	 47	4	 79166.50	 30001.873	15000.937	 47739.675	DARK	0.065180005	.
112L1	 48	4	 81273.00	 31007.529	15503.765	 49339.898	DARK	0.068181549	.
112L1	 49	4	 82784.75	 32186.630	16093.315	 51216.111	DARK	0.065957398	.
112L1	 50	4	 85585.75	 34041.565	17020.782	 54167.726	LIGHT	0.066863613	.
112L1	 51	4	 86583.00	 35176.713	17588.357	 55974.000	LIGHT	0.068646128	.
112L1	 52	4	 86761.50	 35410.518	17705.259	 56346.036	LIGHT	0.068736350	.
112L1	 53	4	 87491.25	 34818.161	17409.080	 55403.463	LIGHT	0.064844382	.
112L1	 54	4	 87740.50	 34648.042	17324.021	 55132.767	LIGHT	0.065283293	.
112L1	 55	4	 88796.50	 35000.787	17500.393	 55694.062	LIGHT	0.056618331	.
112L1	 56	4	 89213.00	 35295.335	17647.668	 56162.754	LIGHT	0.051989256	.
112L1	 57	4	 89931.50	 34693.807	17346.903	 55205.588	LIGHT	0.049171738	*
112L1	 58	4	 90322.00	 35153.213	17576.606	 55936.606	LIGHT	0.047509917	*
112L1	 59	4	 90602.00	 34908.407	17454.204	 55547.066	LIGHT	0.042545971	*
112L1	 60	4	 90659.50	 34870.128	17435.064	 55486.154	LIGHT	0.039744418	*
112L1	 61	4	 90680.75	 34895.614	17447.807	 55526.709	LIGHT	0.038217198	*
112L1	 62	4	 91335.75	 34925.128	17462.564	 55573.672	LIGHT	0.038435804	*
112L1	 63	4	 91549.50	 35195.542	17597.771	 56003.961	LIGHT	0.041789730	*
112L1	 64	4	 91854.25	 35244.946	17622.473	 56082.574	LIGHT	0.038808942	*
112L1	 65	4	 92594.50	 35305.122	17652.561	 56178.328	LIGHT	0.035097209	*
112L1	 66	4	 93993.75	 36132.855	18066.427	 57495.435	LIGHT	0.037036834	*
112L1	 67	4	 94193.00	 36018.506	18009.253	 57313.481	LIGHT	0.036720701	*
112L1	 68	4	 94772.25	 36587.222	18293.611	 58218.435	LIGHT	0.038464162	*
112L1	 69	4	 97078.25	 36350.978	18175.489	 57842.518	DARK	0.039969466	*
112L1	 70	4	 99505.25	 36408.665	18204.332	 57934.310	DARK	0.040316766	*
