Genotype	TimePoint	N	CumYF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 1040.00	  730.157	  365.078	 1161.842	DARK	0.59994187	.
112L1	  2	4	 2023.50	 1001.038	  500.519	 1592.875	DARK	0.74181260	.
112L1	  3	4	 2725.00	 1455.133	  727.567	 2315.442	DARK	0.96950494	.
112L1	  4	4	 3337.25	 1473.362	  736.681	 2344.447	DARK	0.99317702	.
112L1	  5	4	 4303.25	 1753.938	  876.969	 2790.906	DARK	0.84517655	.
112L1	  6	4	 4883.50	 1767.908	  883.954	 2813.136	DARK	0.60645716	.
112L1	  7	4	 5485.25	 1969.342	  984.671	 3133.663	DARK	0.58940851	.
112L1	  8	4	 6075.00	 1996.493	  998.246	 3176.866	DARK	0.53081213	.
112L1	  9	4	 6536.75	 2107.633	 1053.816	 3353.714	DARK	0.52866135	.
112L1	 10	4	 7355.75	 2188.985	 1094.493	 3483.164	DARK	0.52458638	.
112L1	 11	4	 7964.50	 2536.956	 1268.478	 4036.863	DARK	0.41227284	.
112L1	 12	4	 8191.25	 2622.865	 1311.433	 4173.564	DARK	0.47587625	.
112L1	 13	4	 8702.50	 2851.341	 1425.671	 4537.120	LIGHT	0.50058841	.
112L1	 14	4	 9165.50	 3207.117	 1603.558	 5103.239	LIGHT	0.47905966	.
112L1	 15	4	 9766.00	 3261.812	 1630.906	 5190.270	LIGHT	0.49053228	.
112L1	 16	4	10089.00	 3274.642	 1637.321	 5210.687	LIGHT	0.44088344	.
112L1	 17	4	10425.25	 3501.148	 1750.574	 5571.108	LIGHT	0.40462904	.
112L1	 18	4	10853.75	 3894.504	 1947.252	 6197.026	LIGHT	0.38398555	.
112L1	 19	4	11331.75	 3773.225	 1886.613	 6004.043	LIGHT	0.32377097	.
112L1	 20	4	11665.25	 3974.774	 1987.387	 6324.752	LIGHT	0.27042402	.
112L1	 21	4	12150.75	 4196.011	 2098.005	 6676.789	LIGHT	0.22059086	.
112L1	 22	4	12430.00	 4401.848	 2200.924	 7004.323	LIGHT	0.15914000	.
112L1	 23	4	13147.75	 4930.703	 2465.352	 7845.849	LIGHT	0.16710538	.
112L1	 24	4	13543.50	 4816.349	 2408.174	 7663.886	LIGHT	0.16963754	.
112L1	 25	4	13825.75	 4951.999	 2476.000	 7879.736	LIGHT	0.17076688	.
112L1	 26	4	14176.50	 5048.767	 2524.383	 8033.714	LIGHT	0.17370673	.
112L1	 27	4	14428.75	 5158.602	 2579.301	 8208.487	LIGHT	0.17902580	.
