Genotype	TimePoint	N	CumYT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  4712.50	  3862.270	 1931.135	  6145.734	DARK	0.579821219	.
112L1	  2	4	  9005.75	  4909.947	 2454.974	  7812.821	DARK	0.721061241	.
112L1	  3	4	 11857.25	  6587.799	 3293.899	 10482.658	DARK	0.947940354	.
112L1	  4	4	 14659.25	  7423.666	 3711.833	 11812.709	DARK	0.962231200	.
112L1	  5	4	 18928.50	  8495.528	 4247.764	 13518.280	DARK	0.981932722	.
112L1	  6	4	 20964.50	  8546.171	 4273.085	 13598.865	DARK	0.707872813	.
112L1	  7	4	 23492.50	  9505.301	 4752.651	 15125.055	DARK	0.689804005	.
112L1	  8	4	 26112.00	 10014.587	 5007.293	 15935.442	DARK	0.670422696	.
112L1	  9	4	 27748.00	 10080.518	 5040.259	 16040.353	DARK	0.610963026	.
112L1	 10	4	 32129.75	 11237.579	 5618.790	 17881.496	DARK	0.694727954	.
112L1	 11	4	 34833.25	 12388.908	 6194.454	 19713.518	DARK	0.582390687	.
112L1	 12	4	 35498.50	 12459.285	 6229.642	 19825.503	DARK	0.587100096	.
112L1	 13	4	 37357.00	 14043.807	 7021.903	 22346.830	LIGHT	0.592669954	.
112L1	 14	4	 38932.50	 15535.959	 7767.980	 24721.178	LIGHT	0.539306307	.
112L1	 15	4	 41465.75	 15787.037	 7893.518	 25120.699	LIGHT	0.545419355	.
112L1	 16	4	 42431.25	 15235.713	 7617.857	 24243.419	LIGHT	0.458077086	.
112L1	 17	4	 43373.00	 16079.014	 8039.507	 25585.299	LIGHT	0.399868016	.
112L1	 18	4	 44959.50	 17843.391	 8921.695	 28392.816	LIGHT	0.336465526	.
112L1	 19	4	 46438.00	 17313.333	 8656.667	 27549.377	LIGHT	0.246591215	.
112L1	 20	4	 47331.75	 18033.320	 9016.660	 28695.036	LIGHT	0.164440648	.
112L1	 21	4	 49132.25	 18900.350	 9450.175	 30074.674	LIGHT	0.113006335	.
112L1	 22	4	 50107.75	 19973.983	 9986.992	 31783.065	LIGHT	0.056638700	.
112L1	 23	4	 52947.50	 23693.582	11846.791	 37701.777	LIGHT	0.045956804	*
112L1	 24	4	 54371.50	 23724.490	11862.245	 37750.958	LIGHT	0.044028308	*
112L1	 25	4	 55065.50	 23994.258	11997.129	 38180.219	LIGHT	0.042840096	*
112L1	 26	4	 55808.75	 24066.715	12033.358	 38295.515	LIGHT	0.046612055	*
112L1	 27	4	 56403.50	 24008.447	12004.224	 38202.797	LIGHT	0.046313633	*
112L1	 28	4	 57845.00	 23442.570	11721.285	 37302.361	LIGHT	0.046457763	*
112L1	 29	4	 58436.75	 23441.668	11720.834	 37300.925	LIGHT	0.056770914	.
112L1	 30	4	 60111.25	 23734.309	11867.155	 37766.583	LIGHT	0.061085106	.
112L1	 31	4	 61925.75	 23439.126	11719.563	 37296.880	LIGHT	0.052897693	.
112L1	 32	4	 64048.75	 24763.109	12381.555	 39403.633	DARK	0.055361850	.
112L1	 33	4	 66610.50	 24516.101	12258.051	 39010.588	DARK	0.050384907	.
112L1	 34	4	 68781.00	 25374.489	12687.244	 40376.474	DARK	0.055894827	.
112L1	 35	4	 72059.00	 25042.567	12521.284	 39848.312	DARK	0.062678557	.
112L1	 36	4	 74812.50	 27021.113	13510.557	 42996.621	DARK	0.070683967	.
112L1	 37	4	 76920.50	 28170.834	14085.417	 44826.084	DARK	0.078815984	.
112L1	 38	4	 80208.00	 27556.798	13778.399	 43849.014	DARK	0.089397595	.
112L1	 39	4	 82743.00	 29238.633	14619.316	 46525.189	DARK	0.082401294	.
112L1	 40	4	 85130.00	 29321.323	14660.662	 46656.768	DARK	0.086148221	.
112L1	 41	4	 87954.25	 29903.026	14951.513	 47582.387	DARK	0.090431914	.
112L1	 42	4	 91597.00	 29857.033	14928.516	 47509.202	DARK	0.087280972	.
112L1	 43	4	 96709.00	 32302.517	16151.259	 51400.513	DARK	0.087201518	.
112L1	 44	4	100346.00	 33639.948	16819.974	 53528.665	DARK	0.085450399	.
112L1	 45	4	103173.00	 35669.560	17834.780	 56758.230	DARK	0.087766545	.
112L1	 46	4	105086.50	 36665.331	18332.665	 58342.724	DARK	0.082967136	.
112L1	 47	4	106599.75	 36635.457	18317.729	 58295.188	DARK	0.076596168	.
112L1	 48	4	109346.75	 37950.051	18975.026	 60387.000	DARK	0.079950475	.
112L1	 49	4	111242.75	 39496.997	19748.499	 62848.537	DARK	0.077441272	.
112L1	 50	4	114861.00	 41897.044	20948.522	 66667.546	LIGHT	0.078394549	.
112L1	 51	4	116215.25	 43454.936	21727.468	 69146.501	LIGHT	0.080521404	.
112L1	 52	4	116525.75	 43834.510	21917.255	 69750.487	LIGHT	0.080099390	.
112L1	 53	4	117621.50	 43027.752	21513.876	 68466.755	LIGHT	0.075118617	.
112L1	 54	4	118138.00	 42931.546	21465.773	 68313.670	LIGHT	0.075908792	.
112L1	 55	4	119491.50	 43411.901	21705.950	 69078.021	LIGHT	0.066775176	.
112L1	 56	4	120053.00	 43770.689	21885.344	 69648.933	LIGHT	0.061368267	.
112L1	 57	4	120965.75	 42829.618	21414.809	 68151.479	LIGHT	0.057103460	.
112L1	 58	4	121469.00	 43390.242	21695.121	 69043.557	LIGHT	0.055032244	.
112L1	 59	4	121875.25	 43004.297	21502.149	 68429.434	LIGHT	0.049031457	*
112L1	 60	4	122028.50	 43007.951	21503.976	 68435.248	LIGHT	0.045777854	*
112L1	 61	4	122082.75	 43079.198	21539.599	 68548.617	LIGHT	0.043815399	*
112L1	 62	4	122982.00	 43074.390	21537.195	 68540.966	LIGHT	0.044006813	*
112L1	 63	4	123341.50	 43510.867	21755.433	 69235.499	LIGHT	0.047162649	*
112L1	 64	4	123781.25	 43610.268	21805.134	 69393.669	LIGHT	0.043831074	*
112L1	 65	4	124806.25	 43662.819	21831.409	 69477.288	LIGHT	0.039649654	*
112L1	 66	4	126704.75	 44743.740	22371.870	 71197.275	LIGHT	0.041741617	*
112L1	 67	4	127096.50	 44587.378	22293.689	 70948.468	LIGHT	0.041242612	*
112L1	 68	4	127982.75	 45301.843	22650.922	 72085.342	LIGHT	0.042955917	*
112L1	 69	4	131054.50	 44851.643	22425.822	 71368.973	DARK	0.044655163	*
112L1	 70	4	134277.00	 44459.530	22229.765	 70745.033	DARK	0.044914354	*
112L1	 71	4	136637.50	 43916.981	21958.490	 69881.717	DARK	0.042815492	*
112L1	 72	4	138622.25	 43024.027	21512.013	 68460.827	DARK	0.045914643	*
112L1	 73	4	140436.00	 42655.712	21327.856	 67874.757	DARK	0.044536082	*
112L1	 74	4	142355.25	 41919.185	20959.592	 66702.777	DARK	0.045341367	*
112L1	 75	4	144946.50	 41303.480	20651.740	 65723.054	DARK	0.046008493	*
112L1	 76	4	147334.25	 41836.750	20918.375	 66571.605	DARK	0.042375758	*
112L1	 77	4	150189.75	 41533.847	20766.923	 66089.618	DARK	0.038498485	*
112L1	 78	4	152999.00	 41803.361	20901.680	 66518.475	DARK	0.035512782	*
112L1	 79	4	155638.75	 44075.699	22037.850	 70134.273	DARK	0.032911410	*
112L1	 80	4	158027.25	 46149.459	23074.730	 73434.088	DARK	0.031708818	*
112L1	 81	4	160743.75	 47912.103	23956.052	 76238.848	DARK	0.031456358	*
112L1	 82	4	162496.25	 48088.519	24044.260	 76519.566	DARK	0.028263215	*
112L1	 83	4	163948.25	 47997.917	23998.958	 76375.396	DARK	0.026679043	*
112L1	 84	4	166343.25	 49045.220	24522.610	 78041.889	DARK	0.024166206	*
112L1	 85	4	168361.00	 48377.211	24188.605	 76978.938	DARK	0.021255900	*
112L1	 86	4	170694.25	 49730.427	24865.214	 79132.207	DARK	0.020067857	*
112L1	 87	4	173980.50	 48524.123	24262.062	 77212.708	LIGHT	0.018740855	*
112L1	 88	4	175596.50	 47203.769	23601.885	 75111.730	LIGHT	0.018757529	*
112L1	 89	4	177078.75	 49000.756	24500.378	 77971.137	LIGHT	0.018775946	*
112L1	 90	4	177900.75	 49138.609	24569.304	 78190.492	LIGHT	0.016720574	*
112L1	 91	4	180535.75	 50315.040	25157.520	 80062.456	LIGHT	0.016726983	*
112L1	 92	4	180916.00	 50340.333	25170.166	 80102.703	LIGHT	0.014990663	*
112L1	 93	4	181210.25	 50301.674	25150.837	 80041.188	LIGHT	0.013372459	*
112L1	 94	4	182042.00	 50150.661	25075.331	 79800.893	LIGHT	0.012278430	*
112L1	 95	4	183389.25	 50157.185	25078.593	 79811.275	LIGHT	0.011584263	*
112L1	 96	4	184212.50	 50841.349	25420.675	 80899.932	LIGHT	0.010420528	*
112L1	 97	4	185274.75	 52039.930	26019.965	 82807.142	LIGHT	0.009670556	**
112L1	 98	4	185755.00	 52305.267	26152.633	 83229.351	LIGHT	0.009289439	**
112L1	 99	4	188582.25	 50962.220	25481.110	 81092.265	LIGHT	0.008004671	**
112L1	100	4	189736.25	 51919.507	25959.753	 82615.521	LIGHT	0.007295845	**
112L1	101	4	190612.00	 52639.813	26319.906	 83761.689	LIGHT	0.007219297	**
112L1	102	4	192255.50	 52541.290	26270.645	 83604.917	LIGHT	0.007672033	**
112L1	103	4	195707.00	 53450.409	26725.204	 85051.528	LIGHT	0.008449423	**
112L1	104	4	197895.00	 54288.109	27144.054	 86384.495	LIGHT	0.008582373	**
112L1	105	4	200235.00	 56237.856	28118.928	 89486.978	DARK	0.008785548	**
112L1	106	4	202825.75	 56605.319	28302.659	 90071.693	DARK	0.008746585	**
112L1	107	4	204241.25	 56222.078	28111.039	 89461.873	DARK	0.008351644	**
112L1	108	4	205779.50	 56003.290	28001.645	 89113.732	DARK	0.008070471	**
112L1	109	4	207023.00	 56141.499	28070.750	 89333.654	DARK	0.007346148	**
112L1	110	4	208941.75	 55601.234	27800.617	 88473.970	DARK	0.007508738	**
112L1	111	4	210145.75	 55428.085	27714.043	 88198.453	DARK	0.006704092	**
112L2	  1	4	  3526.75	  1935.650	  967.825	  3080.051	DARK	0.579821219	.
112L2	  2	4	  6621.50	  3794.625	 1897.313	  6038.096	DARK	0.721061241	.
112L2	  3	4	 10663.25	  5631.357	 2815.678	  8960.745	DARK	0.947940354	.
112L2	  4	4	 14288.75	  5823.221	 2911.611	  9266.045	DARK	0.962231200	.
112L2	  5	4	 19265.00	  5836.786	 2918.393	  9287.629	DARK	0.981932722	.
112L2	  6	4	 25019.50	  6071.043	 3035.522	  9660.385	DARK	0.707872813	.
112L2	  7	4	 28959.00	  6306.237	 3153.119	 10034.630	DARK	0.689804005	.
112L2	  8	4	 32253.25	  7678.068	 3839.034	 12217.520	DARK	0.670422696	.
112L2	  9	4	 34993.25	  9894.601	 4947.300	 15744.518	DARK	0.610963026	.
112L2	 10	4	 37753.00	 11243.425	 5621.712	 17890.797	DARK	0.694727954	.
112L2	 11	4	 41239.00	 11832.116	 5916.058	 18827.537	DARK	0.582390687	.
112L2	 12	4	 44962.50	 13941.167	 6970.583	 22183.508	DARK	0.587100096	.
112L2	 13	4	 48195.75	 13909.102	 6954.551	 22132.485	LIGHT	0.592669954	.
112L2	 14	4	 51485.50	 13072.628	 6536.314	 20801.468	LIGHT	0.539306307	.
112L2	 15	4	 54048.25	 12109.052	 6054.526	 19268.203	LIGHT	0.545419355	.
112L2	 16	4	 56590.00	 10185.088	 5092.544	 16206.748	LIGHT	0.458077086	.
112L2	 17	4	 60433.00	 10487.374	 5243.687	 16687.752	LIGHT	0.399868016	.
