Genotype	TimePoint	N	CumZ	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	  101.25	  125.074	  62.537	  199.021	DARK	0.6069475	.
112L1	  2	4	  189.50	  179.119	  89.560	  285.019	DARK	0.6147651	.
112L1	  3	4	  205.25	  173.173	  86.587	  275.557	DARK	0.5684391	.
112L1	  4	4	  292.25	  267.205	 133.602	  425.182	DARK	0.5320518	.
112L1	  5	4	  500.75	  506.909	 253.454	  806.605	DARK	0.5272520	.
112L1	  6	4	  596.50	  485.806	 242.903	  773.025	DARK	0.4979659	.
112L1	  7	4	  698.50	  401.732	 200.866	  639.245	DARK	0.5003484	.
112L1	  8	4	  724.25	  383.203	 191.601	  609.761	DARK	0.5099500	.
112L1	  9	4	  794.75	  522.855	 261.427	  831.978	DARK	0.5162108	.
112L1	 10	4	  978.75	  603.709	 301.855	  960.636	DARK	0.5545901	.
112L1	 11	4	 1124.25	  690.599	 345.300	 1098.898	DARK	0.5285590	.
112L1	 12	4	 1136.50	  714.045	 357.022	 1136.204	DARK	0.4748853	.
112L1	 13	4	 1162.00	  712.555	 356.278	 1133.834	LIGHT	0.5058162	.
112L1	 14	4	 1175.25	  698.403	 349.202	 1111.315	LIGHT	0.4893413	.
112L1	 15	4	 1305.75	  724.186	 362.093	 1152.341	LIGHT	0.4990816	.
112L1	 16	4	 1328.50	  767.091	 383.545	 1220.613	LIGHT	0.4929301	.
112L1	 17	4	 1328.50	  767.091	 383.545	 1220.613	LIGHT	0.4907332	.
112L1	 18	4	 1329.25	  766.884	 383.442	 1220.284	LIGHT	0.4947749	.
112L1	 19	4	 1366.00	  746.675	 373.337	 1188.126	LIGHT	0.5007021	.
112L1	 20	4	 1366.00	  746.675	 373.337	 1188.126	LIGHT	0.4970171	.
112L1	 21	4	 1374.75	  755.207	 377.604	 1201.704	LIGHT	0.4982286	.
112L1	 22	4	 1374.75	  755.207	 377.604	 1201.704	LIGHT	0.4940696	.
112L1	 23	4	 1382.50	  752.588	 376.294	 1197.535	LIGHT	0.4933528	.
112L1	 24	4	 1386.50	  751.037	 375.519	 1195.068	LIGHT	0.4958385	.
112L1	 25	4	 1388.50	  754.333	 377.166	 1200.311	LIGHT	0.4961264	.
112L1	 26	4	 1388.50	  754.333	 377.166	 1200.311	LIGHT	0.4972602	.
112L1	 27	4	 1388.50	  754.333	 377.166	 1200.311	LIGHT	0.4998583	.
112L1	 28	4	 1396.25	  750.750	 375.375	 1194.612	LIGHT	0.5002518	.
112L1	 29	4	 1396.25	  750.750	 375.375	 1194.612	LIGHT	0.4949677	.
112L1	 30	4	 1488.75	  840.410	 420.205	 1337.280	LIGHT	0.5165608	.
112L1	 31	4	 1518.00	  826.212	 413.106	 1314.687	LIGHT	0.5264202	.
112L1	 32	4	 1548.25	  798.883	 399.441	 1271.201	DARK	0.5386524	.
112L1	 33	4	 1703.50	 1063.487	 531.743	 1692.244	DARK	0.5638038	.
112L1	 34	4	 1750.00	 1125.316	 562.658	 1790.629	DARK	0.5859029	.
112L1	 35	4	 1908.50	 1222.172	 611.086	 1944.748	DARK	0.6104805	.
112L1	 36	4	 1924.25	 1207.762	 603.881	 1921.819	DARK	0.6060742	.
112L1	 37	4	 1960.50	 1185.379	 592.690	 1886.203	DARK	0.6194964	.
112L1	 38	4	 2095.75	 1188.338	 594.169	 1890.912	DARK	0.6377841	.
112L1	 39	4	 2143.50	 1159.143	 579.571	 1844.455	DARK	0.6144874	.
112L1	 40	4	 2271.00	 1286.439	 643.219	 2047.011	DARK	0.6160256	.
112L1	 41	4	 2343.50	 1337.141	 668.570	 2127.689	DARK	0.6096146	.
112L1	 42	4	 2497.75	 1401.576	 700.788	 2230.220	DARK	0.6051966	.
112L1	 43	4	 2553.00	 1460.763	 730.382	 2324.401	DARK	0.5866128	.
112L1	 44	4	 2653.25	 1496.633	 748.316	 2381.476	DARK	0.5910151	.
112L1	 45	4	 2697.75	 1512.861	 756.430	 2407.299	DARK	0.5970157	.
112L1	 46	4	 2804.75	 1725.535	 862.767	 2745.711	DARK	0.6114043	.
112L1	 47	4	 2809.25	 1734.486	 867.243	 2759.955	DARK	0.6040963	.
112L1	 48	4	 2848.50	 1711.745	 855.873	 2723.769	DARK	0.5918482	.
112L1	 49	4	 2916.00	 1790.204	 895.102	 2848.613	DARK	0.5877468	.
112L1	 50	4	 3111.25	 2013.256	1006.628	 3203.540	LIGHT	0.6249679	.
112L1	 51	4	 3126.25	 2001.312	1000.656	 3184.534	LIGHT	0.6277783	.
112L1	 52	4	 3126.25	 2001.312	1000.656	 3184.534	LIGHT	0.6148837	.
112L1	 53	4	 3145.00	 1990.702	 995.351	 3167.651	LIGHT	0.5997542	.
112L1	 54	4	 3148.25	 1988.110	 994.055	 3163.526	LIGHT	0.5937401	.
112L1	 55	4	 3172.75	 2034.333	1017.166	 3237.077	LIGHT	0.5948403	.
