Genotype	TimePoint	N	DistD	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 8446.75	 7493.083	 3746.542	11923.168	DARK	0.4411287065	.
112L1	  2	4	 6610.00	 3021.444	 1510.722	 4807.792	DARK	0.8151238645	.
112L1	  3	4	 3358.50	 2528.585	 1264.292	 4023.542	DARK	0.1705191174	.
112L1	  4	4	 3335.75	  837.714	  418.857	 1332.990	DARK	0.6034202157	.
112L1	  5	4	 5168.25	  872.059	  436.030	 1387.640	DARK	0.0089975272	**
112L1	  6	4	 2871.75	  607.425	  303.712	  966.548	DARK	0.1220373571	.
112L1	  7	4	 3644.75	 3303.616	 1651.808	 5256.790	DARK	0.3520642649	.
112L1	  8	4	 3690.00	 3437.901	 1718.950	 5470.467	DARK	0.4703043802	.
112L1	  9	4	16695.00	27633.031	13816.516	43970.319	DARK	0.4812471389	.
112L1	 10	4	 6448.75	 2003.677	 1001.839	 3188.298	DARK	0.0522070895	.
112L1	 11	4	 4010.75	 2837.794	 1418.897	 4515.563	DARK	0.1197314286	.
112L1	 12	4	 2188.75	  876.637	  438.318	 1394.925	DARK	0.0648907377	.
112L1	 13	4	 2856.50	 2527.972	 1263.986	 4022.567	LIGHT	0.0788112886	.
112L1	 14	4	 2452.75	 1755.310	  877.655	 2793.091	LIGHT	0.1678975910	.
112L1	 15	4	 3793.25	 1604.272	  802.136	 2552.754	LIGHT	0.8318878578	.
112L1	 16	4	 2516.00	 1797.381	  898.690	 2860.033	LIGHT	0.5983815695	.
112L1	 17	4	 1749.75	 1684.337	  842.169	 2680.156	LIGHT	0.3565185299	.
112L1	 18	4	 2217.00	 3314.812	 1657.406	 5274.606	LIGHT	0.5761706701	.
112L1	 19	4	 2609.50	 2074.218	 1037.109	 3300.544	LIGHT	0.1755580398	.
112L1	 20	4	 3404.25	 3577.407	 1788.704	 5692.453	LIGHT	0.5923769084	.
112L1	 21	4	 3672.75	 2281.188	 1140.594	 3629.880	LIGHT	0.6855686393	.
112L1	 22	4	 1715.50	 2275.578	 1137.789	 3620.952	LIGHT	0.3537108450	.
112L1	 23	4	 3425.25	 3856.430	 1928.215	 6136.440	LIGHT	0.3860340977	.
112L1	 24	4	 3782.00	 3861.581	 1930.791	 6144.638	LIGHT	0.7437294232	.
112L1	 25	4	 2934.75	 1650.344	  825.172	 2626.066	LIGHT	0.4732884122	.
112L1	 26	4	 3178.50	 2514.130	 1257.065	 4000.542	LIGHT	0.1439619584	.
112L1	 27	4	 2563.25	 2501.259	 1250.630	 3980.062	LIGHT	0.3073019294	.
112L1	 28	4	 2764.25	 1540.216	  770.108	 2450.827	LIGHT	0.6557300162	.
112L1	 29	4	17163.50	30869.657	15434.828	49120.512	LIGHT	0.5697564928	.
112L1	 30	4	25767.75	43865.788	21932.894	69800.258	LIGHT	0.4589430006	.
112L1	 31	4	17702.00	27993.729	13996.865	44544.270	LIGHT	0.5162136973	.
112L1	 32	4	 5935.50	 4120.377	 2060.189	 6556.439	DARK	0.9624670164	.
112L1	 33	4	15816.75	20010.008	10005.004	31840.389	DARK	0.4483592040	.
112L1	 34	4	14759.75	21928.769	10964.384	34893.564	DARK	0.5967023463	.
112L1	 35	4	 9089.00	 9865.732	 4932.866	15698.581	DARK	0.4363077507	.
112L1	 36	4	 9185.75	 9187.026	 4593.513	14618.609	DARK	0.5495162336	.
112L1	 37	4	 6349.75	 4560.219	 2280.109	 7256.325	DARK	0.6201864779	.
112L1	 38	4	 6294.25	 2478.895	 1239.447	 3944.474	DARK	0.6080060639	.
112L1	 39	4	 4168.50	 1938.023	  969.012	 3083.827	DARK	0.3681906833	.
112L1	 40	4	 5535.50	 2691.924	 1345.962	 4283.451	DARK	0.1931504020	.
112L1	 41	4	 4738.00	 2055.451	 1027.725	 3270.681	DARK	0.2557062447	.
112L1	 42	4	 4990.00	 1878.116	  939.058	 2988.502	DARK	0.1641637261	.
112L1	 43	4	 5664.50	 3316.034	 1658.017	 5276.550	DARK	0.1287721914	.
112L1	 44	4	 4860.25	 1938.240	  969.120	 3084.173	DARK	0.0308642493	*
112L1	 45	4	 4662.75	 2657.147	 1328.574	 4228.114	DARK	0.7593440850	.
112L1	 46	4	 4065.00	 2032.966	 1016.483	 3234.903	DARK	0.0487442250	*
112L1	 47	4	 3570.25	 2195.966	 1097.983	 3494.272	DARK	0.1855311424	.
112L1	 48	4	 4056.00	  761.049	  380.524	 1210.999	DARK	0.4367718053	.
112L1	 49	4	 3746.50	 2530.710	 1265.355	 4026.924	DARK	0.1199471613	.
112L1	 50	4	 4864.25	 2050.701	 1025.350	 3263.122	LIGHT	0.3724842366	.
112L1	 51	4	 2777.00	 2650.280	 1325.140	 4217.187	LIGHT	0.3975040787	.
112L1	 52	4	 2132.00	 1746.723	  873.362	 2779.426	LIGHT	0.2535320578	.
112L1	 53	4	 3156.00	  245.415	  122.708	  390.510	LIGHT	0.1412644390	.
112L1	 54	4	 3277.00	 1502.425	  751.212	 2390.693	LIGHT	0.6722050688	.
112L1	 55	4	 2523.50	 2005.795	 1002.898	 3191.668	LIGHT	0.1497590205	.
112L1	 56	4	 1801.50	 2073.306	 1036.653	 3299.092	LIGHT	0.1961827519	.
112L1	 57	4	 1961.75	 2171.332	 1085.666	 3455.074	LIGHT	0.0941425245	.
112L1	 58	4	 1662.50	 1459.523	  729.761	 2322.426	LIGHT	0.2388936015	.
112L1	 59	4	 1555.50	 1531.416	  765.708	 2436.824	LIGHT	0.1465296198	.
112L1	 60	4	 1058.50	  640.246	  320.123	 1018.774	LIGHT	0.0005307836	****
112L1	 61	4	 1142.25	 1377.401	  688.700	 2191.752	LIGHT	0.1073244586	.
112L1	 62	4	 2133.75	 2226.277	 1113.138	 3542.503	LIGHT	0.4493967595	.
112L1	 63	4	 1411.50	 1088.856	  544.428	 1732.613	LIGHT	0.3092968731	.
112L1	 64	4	 2012.75	 2026.331	 1013.166	 3224.345	LIGHT	0.2091098439	.
112L1	 65	4	 2511.25	 1596.498	  798.249	 2540.385	LIGHT	0.2272489791	.
