Genotype	TimePoint	N	PerA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	4004.50	2664.257	1332.129	 4239.428	DARK	0.5718848645	.
112L1	  2	4	4154.25	1196.263	 598.131	 1903.521	DARK	0.1412943107	.
112L1	  3	4	1987.25	1512.582	 756.291	 2406.855	DARK	0.1756129449	.
112L1	  4	4	2742.00	 938.707	 469.353	 1493.692	DARK	0.6464045529	.
112L1	  5	4	4143.25	 845.299	 422.650	 1345.060	DARK	0.1942557379	.
112L1	  6	4	1823.50	 283.439	 141.719	  451.015	DARK	0.1292441617	.
112L1	  7	4	2300.00	2631.920	1315.960	 4187.971	DARK	0.4153480754	.
112L1	  8	4	2469.25	2823.283	1411.642	 4492.474	DARK	0.8933541842	.
112L1	  9	4	3104.00	3643.983	1821.992	 5798.390	DARK	0.7884159089	.
112L1	 10	4	4563.25	 628.026	 314.013	  999.329	DARK	0.0396863097	*
112L1	 11	4	3360.25	2533.521	1266.760	 4031.397	DARK	0.1291195644	.
112L1	 12	4	1254.25	1718.687	 859.343	 2734.814	DARK	0.1927252284	.
112L1	 13	4	1581.75	2705.687	1352.844	 4305.352	LIGHT	0.1555356352	.
112L1	 14	4	1322.00	1541.369	 770.684	 2452.662	LIGHT	0.5447448056	.
112L1	 15	4	2812.00	2108.193	1054.096	 3354.605	LIGHT	0.7550901901	.
112L1	 16	4	 977.25	1199.818	 599.909	 1909.179	LIGHT	0.6025812086	.
112L1	 17	4	 775.50	1399.534	 699.767	 2226.971	LIGHT	0.3481876920	.
112L1	 18	4	1274.50	2240.904	1120.452	 3565.779	LIGHT	0.5666994850	.
112L1	 19	4	1288.50	1785.108	 892.554	 2840.505	LIGHT	0.3333281037	.
112L1	 20	4	 611.25	 764.861	 382.431	 1217.065	LIGHT	0.1605692332	.
112L1	 21	4	1629.25	1054.164	 527.082	 1677.410	LIGHT	0.0408307167	*
112L1	 22	4	 752.75	1202.105	 601.053	 1912.818	LIGHT	0.0783389453	.
