Genotype	TimePoint	N	PerF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	1116.00	 628.385	314.192	 999.900	DARK	0.6133372252	.
112L1	  2	4	1143.75	 324.250	162.125	 515.955	DARK	0.4473671815	.
112L1	  3	4	 672.25	 442.139	221.070	 703.542	DARK	0.2680810609	.
112L1	  4	4	 764.00	 278.526	139.263	 443.197	DARK	0.7367277420	.
112L1	  5	4	1191.25	 250.960	125.480	 399.333	DARK	0.1370239266	.
112L1	  6	4	 688.50	  82.254	 41.127	 130.884	DARK	0.1162467239	.
112L1	  7	4	 694.50	 667.475	333.738	1062.102	DARK	0.5074489829	.
112L1	  8	4	 700.50	 493.244	246.622	 784.861	DARK	0.6005753770	.
112L1	  9	4	 484.50	 297.775	148.887	 473.826	DARK	0.8256314598	.
112L1	 10	4	 890.00	 132.678	 66.339	 211.120	DARK	0.7700619045	.
112L1	 11	4	 857.25	 586.536	293.268	 933.310	DARK	0.1972068210	.
112L1	 12	4	 439.00	 284.922	142.461	 453.375	DARK	0.1283890952	.
112L1	 13	4	 533.50	 536.973	268.487	 854.444	LIGHT	0.1696848503	.
112L1	 14	4	 556.25	 586.767	293.384	 933.677	LIGHT	0.6044916424	.
112L1	 15	4	 822.25	 574.855	287.427	 914.723	LIGHT	0.9219232640	.
112L1	 16	4	 369.50	 220.766	110.383	 351.288	LIGHT	0.6795492637	.
112L1	 17	4	 331.25	 428.617	214.308	 682.025	LIGHT	0.2913916283	.
112L1	 18	4	 460.50	 636.583	318.291	1012.945	LIGHT	0.6147888140	.
112L1	 19	4	 521.00	 413.193	206.597	 657.483	LIGHT	0.4696673233	.
112L1	 20	4	 341.00	 385.638	192.819	 613.636	LIGHT	0.3513851933	.
112L1	 21	4	 475.25	 260.739	130.370	 414.894	LIGHT	0.1176205579	.
112L1	 22	4	 269.75	 266.290	133.145	 423.726	LIGHT	0.1092561340	.
112L1	 23	4	 708.00	 922.278	461.139	1467.550	LIGHT	0.5593373799	.
112L1	 24	4	 594.25	 608.535	304.268	 968.315	LIGHT	0.7733329956	.
112L1	 25	4	 407.00	 246.454	123.227	 392.163	LIGHT	0.5419670527	.
112L1	 26	4	 420.00	 373.585	186.793	 594.458	LIGHT	0.3264367675	.
112L1	 27	4	 197.75	 171.921	 85.961	 273.565	LIGHT	0.0340618585	*
112L1	 28	4	 478.50	 438.174	219.087	 697.232	LIGHT	0.5113849361	.
112L1	 29	4	 270.25	 220.582	110.291	 350.995	LIGHT	0.2008076392	.
112L1	 30	4	 565.50	 576.063	288.031	 916.644	LIGHT	0.4530758278	.
112L1	 31	4	 705.25	 420.914	210.457	 669.767	LIGHT	0.5114665070	.
112L1	 32	4	 769.00	 509.176	254.588	 810.212	DARK	0.2113965879	.
112L1	 33	4	 981.25	 381.107	190.554	 606.427	DARK	0.1202793293	.
112L1	 34	4	 795.75	 506.312	253.156	 805.655	DARK	0.7865137651	.
112L1	 35	4	1021.50	 276.481	138.240	 439.943	DARK	0.2749246086	.
112L1	 36	4	1074.25	 634.235	317.118	1009.210	DARK	0.7400836348	.
112L1	 37	4	 757.75	 564.374	282.187	 898.044	DARK	0.5332455309	.
112L1	 38	4	 975.00	 635.202	317.601	1010.749	DARK	0.5045231131	.
112L1	 39	4	 709.00	 431.959	215.980	 687.343	DARK	0.5547629291	.
112L1	 40	4	 884.75	 401.913	200.957	 639.534	DARK	0.6856819251	.
112L1	 41	4	 973.25	 258.224	129.112	 410.892	DARK	0.7280849110	.
112L1	 42	4	1128.75	 456.321	228.161	 726.109	DARK	0.2606480275	.
112L1	 43	4	1307.50	 810.936	405.468	1290.381	DARK	0.1547564335	.
112L1	 44	4	 997.50	 270.590	135.295	 430.569	DARK	0.2167617464	.
112L1	 45	4	 709.75	 510.161	255.081	 811.780	DARK	0.8224098906	.
112L1	 46	4	 606.25	 549.225	274.613	 873.940	DARK	0.4745867836	.
112L1	 47	4	 563.50	 381.387	190.694	 606.872	DARK	0.0984123593	.
112L1	 48	4	 747.50	 243.619	121.810	 387.653	DARK	0.3011533120	.
112L1	 49	4	 504.25	 535.455	267.728	 852.029	DARK	0.0804772613	.
112L1	 50	4	 899.00	 303.636	151.818	 483.152	LIGHT	0.7723008726	.
112L1	 51	4	 382.50	 407.011	203.505	 647.645	LIGHT	0.4587067223	.
112L1	 52	4	 151.00	 152.484	 76.242	 242.636	LIGHT	0.0377155237	*
112L1	 53	4	 361.25	 323.927	161.964	 515.441	LIGHT	0.1055732715	.
