Genotype	TimePoint	N	PerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 5120.50	 3249.925	1624.963	 5171.357	DARK	0.5722384387	.
112L1	  2	4	 5298.00	 1474.168	 737.084	 2345.731	DARK	0.1752427696	.
112L1	  3	4	 2659.50	 1951.363	 975.681	 3105.053	DARK	0.1876430510	.
112L1	  4	4	 3506.00	 1108.090	 554.045	 1763.219	DARK	0.6674815175	.
112L1	  5	4	 5334.50	 1070.955	 535.478	 1704.129	DARK	0.1721460726	.
112L1	  6	4	 2512.00	  308.354	 154.177	  490.660	DARK	0.1199576301	.
112L1	  7	4	 2994.50	 3293.079	1646.540	 5240.024	DARK	0.4079106072	.
112L1	  8	4	 3169.75	 3303.991	1651.996	 5257.387	DARK	0.8483806907	.
112L1	  9	4	 3588.50	 3769.610	1884.805	 5998.291	DARK	0.8571365831	.
112L1	 10	4	 5453.25	  515.881	 257.940	  820.881	DARK	0.0902112954	.
112L1	 11	4	 4217.50	 3092.862	1546.431	 4921.434	DARK	0.1348839186	.
112L1	 12	4	 1693.25	 1990.647	 995.323	 3167.563	DARK	0.1792196063	.
112L1	 13	4	 2115.25	 3231.034	1615.517	 5141.296	LIGHT	0.1563352394	.
112L1	 14	4	 1878.25	 2114.550	1057.275	 3364.721	LIGHT	0.5532492584	.
112L1	 15	4	 3634.25	 2667.117	1333.558	 4243.978	LIGHT	0.7847840103	.
112L1	 16	4	 1346.75	 1401.844	 700.922	 2230.647	LIGHT	0.6176663864	.
112L1	 17	4	 1106.75	 1822.002	 911.001	 2899.212	LIGHT	0.3326706781	.
112L1	 18	4	 1735.00	 2871.293	1435.646	 4568.867	LIGHT	0.5678733534	.
112L1	 19	4	 1809.50	 2171.667	1085.834	 3455.607	LIGHT	0.3355508865	.
112L1	 20	4	  952.25	 1150.122	 575.061	 1830.101	LIGHT	0.1775977127	.
112L1	 21	4	 2104.50	 1307.914	 653.957	 2081.183	LIGHT	0.0443676104	*
112L1	 22	4	 1022.50	 1466.045	 733.022	 2332.804	LIGHT	0.0772399317	.
112L1	 23	4	 3089.25	 5329.310	2664.655	 8480.121	LIGHT	0.2526823175	.
112L1	 24	4	 2672.75	 3492.312	1746.156	 5557.048	LIGHT	0.6224295679	.
112L1	 25	4	 1218.25	 1181.386	 590.693	 1879.848	LIGHT	0.2898533024	.
112L1	 26	4	  981.00	 1051.298	 525.649	 1672.850	LIGHT	0.2414380824	.
112L1	 27	4	  404.75	  416.020	 208.010	  661.981	LIGHT	0.1058002472	.
112L1	 28	4	 1643.50	 1708.051	 854.026	 2717.890	LIGHT	0.5212829178	.
112L1	 29	4	  770.75	  668.095	 334.047	 1063.088	LIGHT	0.1780942950	.
112L1	 30	4	 2287.25	 2643.554	1321.777	 4206.484	LIGHT	0.4111118346	.
112L1	 31	4	 2615.00	 1926.488	 963.244	 3065.473	LIGHT	0.3782287464	.
112L1	 32	4	 3176.75	 2695.936	1347.968	 4289.836	DARK	0.1577772501	.
112L1	 33	4	 6212.00	 3872.650	1936.325	 6162.250	DARK	0.6534319310	.
112L1	 34	4	 6811.50	 7452.328	3726.164	11858.317	DARK	0.9659943515	.
112L1	 35	4	 6252.00	 4821.871	2410.936	 7672.673	DARK	0.2415623169	.
112L1	 36	4	 5672.50	 5854.559	2927.279	 9315.909	DARK	0.6806341124	.
112L1	 37	4	 3244.00	 2335.561	1167.781	 3716.399	DARK	0.5908163062	.
112L1	 38	4	 5455.50	 3435.873	1717.937	 5467.241	DARK	0.4170006229	.
112L1	 39	4	 2809.00	 1738.693	 869.346	 2766.648	DARK	0.2427978591	.
112L1	 40	4	 3584.75	 1857.029	 928.514	 2954.947	DARK	0.6882283735	.
