Genotype	TimePoint	N	Speed	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 3.50	 3.317	1.658	 5.277	DARK	6.024293e-01	.
112L1	  2	4	 2.75	 1.258	0.629	 2.002	DARK	8.445759e-01	.
112L1	  3	4	 1.50	 1.000	0.500	 1.591	DARK	1.645487e-01	.
112L1	  4	4	 1.75	 0.500	0.250	 0.796	DARK	8.668675e-01	.
112L1	  5	4	 2.25	 0.500	0.250	 0.796	DARK	1.784467e-01	.
112L1	  6	4	 1.25	 0.500	0.250	 0.796	DARK	1.682633e-01	.
112L1	  7	4	 1.50	 1.291	0.645	 2.054	DARK	2.740159e-01	.
112L1	  8	4	 1.75	 1.500	0.750	 2.387	DARK	7.059294e-01	.
112L1	  9	4	 7.25	11.871	5.935	18.889	DARK	4.750028e-01	.
112L1	 10	4	 2.75	 0.957	0.479	 1.523	DARK	3.325775e-02	*
112L1	 11	4	 1.75	 1.500	0.750	 2.387	DARK	7.762015e-02	.
112L1	 12	4	 1.00	 0.000	0.000	 0.000	DARK	5.391256e-02	.
112L1	 13	4	 1.25	 1.500	0.750	 2.387	LIGHT	9.769492e-02	.
112L1	 14	4	 1.25	 0.957	0.479	 1.523	LIGHT	4.621153e-01	.
112L1	 15	4	 1.50	 0.577	0.289	 0.919	LIGHT	8.410550e-01	.
112L1	 16	4	 1.25	 0.957	0.479	 1.523	LIGHT	6.432838e-01	.
112L1	 17	4	 0.75	 0.957	0.479	 1.523	LIGHT	3.543903e-01	.
112L1	 18	4	 0.75	 1.500	0.750	 2.387	LIGHT	5.072745e-01	.
112L1	 19	4	 1.25	 0.957	0.479	 1.523	LIGHT	2.801427e-01	.
112L1	 20	4	 1.25	 1.500	0.750	 2.387	LIGHT	5.483227e-01	.
112L1	 21	4	 1.75	 0.957	0.479	 1.523	LIGHT	7.242044e-01	.
112L1	 22	4	 0.50	 1.000	0.500	 1.591	LIGHT	4.140033e-01	.
112L1	 23	4	 1.25	 1.893	0.946	 3.012	LIGHT	4.124005e-01	.
112L1	 24	4	 1.50	 1.915	0.957	 3.047	LIGHT	8.111194e-01	.
112L1	 25	4	 1.25	 0.500	0.250	 0.796	LIGHT	5.121185e-01	.
112L1	 26	4	 1.50	 1.000	0.500	 1.591	LIGHT	1.405615e-01	.
112L1	 27	4	 1.25	 1.258	0.629	 2.002	LIGHT	4.598949e-01	.
112L1	 28	4	 1.50	 0.577	0.289	 0.919	LIGHT	1.000000e+00	.
112L1	 29	4	 7.25	13.175	6.588	20.965	LIGHT	5.757166e-01	.
112L1	 30	4	11.00	18.673	9.336	29.712	LIGHT	4.543461e-01	.
112L1	 31	4	 7.75	11.587	5.793	18.437	LIGHT	4.772997e-01	.
112L1	 32	4	 2.50	 1.732	0.866	 2.756	DARK	8.628157e-01	.
112L1	 33	4	 7.00	 8.679	4.340	13.811	DARK	4.201485e-01	.
112L1	 34	4	 6.25	 9.215	4.608	14.663	DARK	6.151540e-01	.
112L1	 35	4	 3.75	 4.272	2.136	 6.798	DARK	4.876141e-01	.
112L1	 36	4	 4.25	 3.862	1.931	 6.146	DARK	4.207681e-01	.
112L1	 37	4	 2.75	 2.217	1.109	 3.528	DARK	7.000369e-01	.
112L1	 38	4	 2.75	 0.957	0.479	 1.523	DARK	5.413358e-01	.
112L1	 39	4	 1.75	 0.957	0.479	 1.523	DARK	3.874205e-01	.
112L1	 40	4	 2.25	 1.258	0.629	 2.002	DARK	3.874205e-01	.
112L1	 41	4	 2.00	 0.816	0.408	 1.299	DARK	2.183097e-01	.
112L1	 42	4	 2.25	 0.957	0.479	 1.523	DARK	2.301168e-01	.
112L1	 43	4	 2.50	 1.291	0.645	 2.054	DARK	1.083617e-01	.
112L1	 44	4	 2.00	 0.816	0.408	 1.299	DARK	1.536074e-02	*
112L1	 45	4	 2.00	 1.155	0.577	 1.837	DARK	6.395875e-01	.
112L1	 46	4	 2.00	 0.816	0.408	 1.299	DARK	9.457909e-02	.
112L1	 47	4	 1.50	 0.577	0.289	 0.919	DARK	8.059884e-02	.
112L1	 48	4	 1.75	 0.500	0.250	 0.796	DARK	3.532485e-01	.
112L1	 49	4	 2.00	 1.155	0.577	 1.837	DARK	1.324295e-01	.
112L1	 50	4	 2.00	 0.816	0.408	 1.299	LIGHT	5.483227e-01	.
112L1	 51	4	 1.25	 1.258	0.629	 2.002	LIGHT	4.121823e-01	.
112L1	 52	4	 0.75	 0.957	0.479	 1.523	LIGHT	2.079575e-01	.
112L1	 53	4	 1.00	 0.000	0.000	 0.000	LIGHT	1.073237e-01	.
112L1	 54	4	 1.25	 0.500	0.250	 0.796	LIGHT	5.628106e-01	.
112L1	 55	4	 1.00	 0.816	0.408	 1.299	LIGHT	1.003877e-01	.
112L1	 56	4	 0.50	 1.000	0.500	 1.591	LIGHT	1.851218e-01	.
112L1	 57	4	 0.75	 0.957	0.479	 1.523	LIGHT	6.028365e-02	.
112L1	 58	4	 0.75	 0.957	0.479	 1.523	LIGHT	2.847137e-01	.
112L1	 59	4	 0.50	 1.000	0.500	 1.591	LIGHT	1.206313e-01	.
112L1	 60	4	 0.25	 0.500	0.250	 0.796	LIGHT	4.552394e-05	****
