Genotype	TimePoint	N	TareDistK	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	     0.00	     0.000	     0.000	     0.000	DARK	1.0000000	.
112L1	  2	4	  6610.25	  3021.375	  1510.687	  4807.682	DARK	0.8151512	.
112L1	  3	4	  9968.75	  3930.275	  1965.137	  6253.944	DARK	0.6626562	.
112L1	  4	4	 13304.50	  4229.503	  2114.751	  6730.083	DARK	0.4834880	.
112L1	  5	4	 18472.50	  4858.519	  2429.259	  7730.988	DARK	0.5215784	.
112L1	  6	4	 21344.25	  4506.020	  2253.010	  7170.083	DARK	0.1149338	.
112L1	  7	4	 24988.75	  6291.265	  3145.632	 10010.806	DARK	0.1256174	.
112L1	  8	4	 28678.50	  7934.467	  3967.234	 12625.508	DARK	0.1311580	.
112L1	  9	4	 45373.50	 31195.890	 15597.945	 49639.622	DARK	0.5399731	.
112L1	 10	4	 51822.25	 32940.176	 16470.088	 52415.171	DARK	0.5013720	.
112L1	 11	4	 55833.00	 32799.962	 16399.981	 52192.058	DARK	0.4162103	.
112L1	 12	4	 58021.75	 32748.959	 16374.479	 52110.901	DARK	0.3924326	.
112L1	 13	4	 60878.25	 34567.494	 17283.747	 55004.597	LIGHT	0.5000564	.
112L1	 14	4	 63331.25	 35810.958	 17905.479	 56983.225	LIGHT	0.4903104	.
112L1	 15	4	 67124.25	 35703.782	 17851.891	 56812.685	LIGHT	0.4928870	.
112L1	 16	4	 69640.25	 36091.513	 18045.756	 57429.651	LIGHT	0.4641357	.
112L1	 17	4	 71389.75	 37424.779	 18712.389	 59551.175	LIGHT	0.4630017	.
112L1	 18	4	 73607.00	 40696.214	 20348.107	 64756.757	LIGHT	0.4937449	.
112L1	 19	4	 76216.25	 41996.470	 20998.235	 66825.755	LIGHT	0.4861045	.
112L1	 20	4	 79620.25	 45388.045	 22694.023	 72222.509	LIGHT	0.5137901	.
112L1	 21	4	 83292.75	 47280.924	 23640.462	 75234.501	LIGHT	0.5550965	.
112L1	 22	4	 85008.25	 49507.190	 24753.595	 78776.987	LIGHT	0.4800143	.
112L1	 23	4	 88433.50	 52913.391	 26456.695	 84197.012	LIGHT	0.4606722	.
112L1	 24	4	 92215.50	 55950.591	 27975.295	 89029.875	LIGHT	0.4931274	.
112L1	 25	4	 95150.00	 57510.435	 28755.218	 91511.936	LIGHT	0.5104017	.
112L1	 26	4	 98328.75	 60007.047	 30003.523	 95484.602	LIGHT	0.5388882	.
112L1	 27	4	100892.00	 62455.186	 31227.593	 99380.138	LIGHT	0.5216387	.
112L1	 28	4	103656.25	 61670.280	 30835.140	 98131.177	LIGHT	0.5140924	.
