Genotype	TimePoint	N	XA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	4361.25	 2146.234	1073.117	 3415.137	DARK	0.040386465	*
112L1	  2	4	4511.25	 1203.853	 601.927	 1915.599	DARK	0.042552314	*
112L1	  3	4	1534.75	 1732.266	 866.133	 2756.422	DARK	0.278518057	.
112L1	  4	4	1591.25	 1093.807	 546.904	 1740.491	DARK	0.542781444	.
112L1	  5	4	3256.75	  667.493	 333.746	 1062.130	DARK	0.194135929	.
112L1	  6	4	1593.50	  884.403	 442.201	 1407.282	DARK	0.377584429	.
112L1	  7	4	2330.75	 3247.800	1623.900	 5167.974	DARK	0.519702580	.
112L1	  8	4	1874.50	 2412.231	1206.115	 3838.398	DARK	0.925157663	.
112L1	  9	4	4557.00	 6897.657	3448.829	10975.712	DARK	0.407524223	.
112L1	 10	4	3976.75	 2960.029	1480.014	 4710.066	DARK	0.080665876	.
112L1	 11	4	4347.00	 4895.078	2447.539	 7789.162	DARK	0.264577368	.
112L1	 12	4	2378.25	 4661.205	2330.603	 7417.018	DARK	0.962898047	.
112L1	 13	4	1343.75	 2175.693	1087.846	 3462.013	LIGHT	0.057683358	.
112L1	 14	4	 754.50	  865.769	 432.884	 1377.631	LIGHT	0.492466029	.
112L1	 15	4	2562.00	 1732.423	 866.211	 2756.671	LIGHT	0.523566124	.
112L1	 16	4	1428.75	 2562.890	1281.445	 4078.130	LIGHT	0.578718889	.
112L1	 17	4	 375.50	  616.306	 308.153	  980.680	LIGHT	0.450273119	.
112L1	 18	4	 983.75	 1773.772	 886.886	 2822.467	LIGHT	0.926671511	.
112L1	 19	4	 802.75	 1521.849	 760.924	 2421.601	LIGHT	0.716293767	.
112L1	 20	4	 125.50	  160.785	  80.392	  255.844	LIGHT	0.514293194	.
112L1	 21	4	1666.50	 2425.451	1212.726	 3859.434	LIGHT	0.420738107	.
112L1	 22	4	 213.25	  358.509	 179.255	  570.468	LIGHT	0.523841980	.
112L1	 23	4	1313.75	 2516.267	1258.133	 4003.942	LIGHT	0.542847277	.
112L1	 24	4	3269.75	 5301.226	2650.613	 8435.434	LIGHT	0.442757997	.
112L1	 25	4	1263.75	 1698.587	 849.294	 2702.831	LIGHT	0.310354270	.
112L1	 26	4	 545.50	  783.186	 391.593	 1246.223	LIGHT	0.567072888	.
112L1	 27	4	  74.75	   99.590	  49.795	  158.471	LIGHT	0.150461786	.
112L1	 28	4	 805.50	  934.231	 467.116	 1486.570	LIGHT	0.401976747	.
112L1	 29	4	 390.75	  564.490	 282.245	  898.229	LIGHT	0.401697697	.
112L1	 30	4	2089.75	 1862.655	 931.327	 2963.900	LIGHT	0.807835026	.
112L1	 31	4	2151.50	 1838.549	 919.275	 2925.542	LIGHT	0.191055286	.
112L1	 32	4	2511.25	 2527.388	1263.694	 4021.638	DARK	0.422546481	.
112L1	 33	4	6191.50	 4449.554	2224.777	 7080.233	DARK	0.166492838	.
112L1	 34	4	6492.25	 8297.834	4148.917	13203.706	DARK	0.290479003	.
112L1	 35	4	5431.00	 6838.062	3419.031	10880.883	DARK	0.236516473	.
112L1	 36	4	4855.75	 5636.485	2818.242	 8968.905	DARK	0.366265979	.
112L1	 37	4	2058.25	 1369.121	 684.561	 2178.578	DARK	0.081172735	.
112L1	 38	4	4833.75	 1416.649	 708.325	 2254.205	DARK	0.076720194	.
112L1	 39	4	2529.00	 1484.996	 742.498	 2362.960	DARK	0.462959317	.
112L1	 40	4	3471.25	 2048.379	1024.190	 3259.429	DARK	0.097689846	.
112L1	 41	4	2658.50	  930.532	 465.266	 1480.684	DARK	0.402206255	.
112L1	 42	4	3295.00	 1901.166	 950.583	 3025.179	DARK	0.270056757	.
112L1	 43	4	3999.00	 2928.803	1464.402	 4660.380	DARK	0.197367284	.
112L1	 44	4	2810.00	 1456.383	 728.192	 2317.431	DARK	0.344526046	.
112L1	 45	4	2802.00	 2278.538	1139.269	 3625.663	DARK	0.333328776	.
112L1	 46	4	1292.50	 1907.537	 953.768	 3035.317	DARK	0.909251167	.
