Genotype	TimePoint	N	XF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	1208.75	 497.830	248.915	 792.158	DARK	0.017647076	*
112L1	  2	4	1163.00	 350.521	175.260	 557.756	DARK	0.149361853	.
112L1	  3	4	 528.25	 584.361	292.180	 929.848	DARK	0.598795762	.
112L1	  4	4	 502.50	 348.511	174.255	 554.558	DARK	0.752594767	.
112L1	  5	4	 877.50	 122.083	 61.042	 194.262	DARK	0.035614094	*
112L1	  6	4	 495.25	 190.748	 95.374	 303.523	DARK	0.310805446	.
112L1	  7	4	 639.75	 793.182	396.591	1262.129	DARK	0.739977255	.
112L1	  8	4	 503.75	 390.408	195.204	 621.226	DARK	0.633122034	.
112L1	  9	4	 597.75	 532.401	266.201	 847.169	DARK	0.525958266	.
112L1	 10	4	 835.50	 602.279	301.140	 958.361	DARK	0.276373454	.
112L1	 11	4	 925.00	 873.293	436.647	1389.604	DARK	0.240172319	.
112L1	 12	4	 536.75	 849.750	424.875	1352.142	DARK	0.910344125	.
112L1	 13	4	 406.50	 453.307	226.653	 721.312	LIGHT	0.178543760	.
112L1	 14	4	 328.50	 260.601	130.301	 414.675	LIGHT	0.462501241	.
112L1	 15	4	 661.00	 400.902	200.451	 637.925	LIGHT	0.420971130	.
112L1	 16	4	 357.25	 529.193	264.596	 842.064	LIGHT	0.583478626	.
112L1	 17	4	 150.75	 176.874	 88.437	 281.445	LIGHT	0.431592706	.
112L1	 18	4	 294.25	 391.291	195.646	 622.632	LIGHT	0.913911674	.
112L1	 19	4	 234.25	 296.063	148.032	 471.103	LIGHT	0.335755544	.
112L1	 20	4	 131.75	  90.857	 45.428	 144.573	LIGHT	0.333587640	.
112L1	 21	4	 407.50	 603.694	301.847	 960.613	LIGHT	0.666585067	.
112L1	 22	4	 121.00	 131.268	 65.634	 208.877	LIGHT	0.570306263	.
112L1	 23	4	 314.50	 467.950	233.975	 744.613	LIGHT	0.602203529	.
112L1	 24	4	 811.25	1108.419	554.209	1763.742	LIGHT	0.404447566	.
112L1	 25	4	 430.00	 337.373	168.687	 536.836	LIGHT	0.114474069	.
112L1	 26	4	 286.75	 204.943	102.471	 326.110	LIGHT	0.778349101	.
112L1	 27	4	  87.00	  32.332	 16.166	  51.447	LIGHT	0.223127898	.
112L1	 28	4	 326.00	 260.720	130.360	 414.863	LIGHT	0.361631334	.
112L1	 29	4	 250.75	 221.739	110.870	 352.836	LIGHT	0.505831024	.
112L1	 30	4	 625.00	 469.388	234.694	 746.900	LIGHT	0.261631052	.
112L1	 31	4	 650.75	 410.086	205.043	 652.539	LIGHT	0.223738390	.
112L1	 32	4	 710.75	 472.821	236.410	 752.364	DARK	0.566013549	.
112L1	 33	4	1067.00	 417.194	208.597	 663.848	DARK	0.277279642	.
112L1	 34	4	 807.00	 402.872	201.436	 641.060	DARK	0.131153555	.
112L1	 35	4	 879.25	 545.903	272.952	 868.654	DARK	0.076278079	.
112L1	 36	4	 875.75	 399.716	199.858	 636.037	DARK	0.386955349	.
112L1	 37	4	 539.25	 180.609	 90.304	 287.389	DARK	0.030893977	*
112L1	 38	4	1023.25	 247.079	123.540	 393.159	DARK	0.177083410	.
112L1	 39	4	 789.75	 371.628	185.814	 591.344	DARK	0.602100717	.
112L1	 40	4	 992.00	 393.426	196.713	 626.029	DARK	0.023149280	*
112L1	 41	4	 923.00	 246.613	123.307	 392.416	DARK	0.266047525	.
112L1	 42	4	 958.50	 509.598	254.799	 810.883	DARK	0.282765046	.
112L1	 43	4	1134.25	 743.550	371.775	1183.154	DARK	0.179973507	.
112L1	 44	4	 961.00	 372.855	186.427	 593.295	DARK	0.088062345	.
112L1	 45	4	 874.75	 539.483	269.741	 858.437	DARK	0.111581344	.
112L1	 46	4	 483.25	 463.762	231.881	 737.948	DARK	0.992932447	.
112L1	 47	4	 648.50	 797.733	398.866	1269.371	DARK	0.596803693	.
112L1	 48	4	 670.25	 205.806	102.903	 327.484	DARK	0.674666722	.
112L1	 49	4	 382.00	 352.579	176.290	 561.032	DARK	0.068680069	.
112L1	 50	4	 874.50	 321.958	160.979	 512.307	LIGHT	0.172583835	.
112L1	 51	4	 599.75	 575.938	287.969	 916.445	LIGHT	0.803332963	.
112L1	 52	4	 171.00	  99.099	 49.550	 157.689	LIGHT	0.144306372	.
112L1	 53	4	 316.75	 245.896	122.948	 391.276	LIGHT	0.126396095	.
112L1	 54	4	 405.75	 350.287	175.143	 557.385	LIGHT	0.723899259	.
112L1	 55	4	 535.25	 428.272	214.136	 681.476	LIGHT	0.249556837	.
112L1	 56	4	 406.50	 487.493	243.747	 775.711	LIGHT	0.740169150	.
112L1	 57	4	 373.75	 378.581	189.291	 602.407	LIGHT	0.970224468	.
112L1	 58	4	 314.25	 292.363	146.182	 465.215	LIGHT	0.989866854	.
112L1	 59	4	 138.50	  51.501	 25.750	  81.949	LIGHT	0.105237845	.
112L1	 60	4	 236.50	 216.725	108.362	 344.858	LIGHT	0.719726025	.
112L1	 61	4	 143.00	 116.353	 58.176	 185.143	LIGHT	0.710864681	.
112L1	 62	4	 347.75	 275.168	137.584	 437.854	LIGHT	0.450273088	.
112L1	 63	4	 223.25	 210.452	105.226	 334.877	LIGHT	0.857812014	.
112L1	 64	4	 321.25	 236.243	118.122	 375.916	LIGHT	0.726457549	.
112L1	 65	4	 308.25	 181.096	 90.548	 288.163	LIGHT	0.972888934	.
112L1	 66	4	 746.00	 629.308	314.654	1001.369	LIGHT	0.060528985	.
112L1	 67	4	 334.25	 354.206	177.103	 563.620	LIGHT	0.357214105	.
112L1	 68	4	 476.00	 311.523	155.762	 495.703	LIGHT	0.406673124	.
112L1	 69	4	 698.75	 454.613	227.306	 723.391	DARK	0.063440132	.
112L1	 70	4	 719.25	 349.950	174.975	 556.848	DARK	0.089574525	.
112L1	 71	4	 649.50	 471.378	235.689	 750.068	DARK	0.926105941	.
112L1	 72	4	 914.75	 252.240	126.120	 401.370	DARK	0.023525957	*
112L1	 73	4	1018.00	 565.097	282.549	 899.195	DARK	0.095013626	.
112L1	 74	4	 686.50	 532.687	266.344	 847.624	DARK	0.259441068	.
112L1	 75	4	 801.75	 207.296	103.648	 329.854	DARK	0.019983024	*
112L1	 76	4	 758.75	 486.856	243.428	 774.697	DARK	0.230922616	.
112L1	 77	4	 594.25	 215.517	107.759	 342.936	DARK	0.565372122	.
112L1	 78	4	 907.75	 196.753	 98.376	 313.077	DARK	0.012556289	*
112L1	 79	4	 778.50	 608.019	304.009	 967.494	DARK	0.524432809	.
112L1	 80	4	 699.75	 559.170	279.585	 889.764	DARK	0.879019477	.
112L1	 81	4	 633.25	 266.801	133.401	 424.540	DARK	0.052113491	.
112L1	 82	4	 507.00	 368.378	184.189	 586.171	DARK	0.556109780	.
112L1	 83	4	 483.50	 383.601	191.800	 610.395	DARK	0.884842128	.
112L1	 84	4	 806.50	 414.483	207.242	 659.535	DARK	0.021454047	*
112L1	 85	4	 761.75	 397.053	198.526	 631.800	DARK	0.468840975	.
112L1	 86	4	 706.50	 290.072	145.036	 461.569	DARK	0.885366343	.
112L1	 87	4	 577.75	 379.540	189.770	 603.932	LIGHT	0.530422389	.
112L1	 88	4	 670.75	 702.662	351.331	1118.092	LIGHT	0.629054144	.
112L1	 89	4	 430.50	 678.661	339.330	1079.901	LIGHT	0.988031375	.
112L1	 90	4	 350.00	 176.477	 88.238	 280.814	LIGHT	0.008337092	**
112L1	 91	4	 620.50	 719.606	359.803	1145.053	LIGHT	0.867081300	.
112L1	 92	4	  36.25	  40.161	 20.081	  63.905	LIGHT	0.086499356	.
112L1	 93	4	  46.00	  45.306	 22.653	  72.093	LIGHT	0.175642699	.
112L1	 94	4	 278.00	 312.182	156.091	 496.751	LIGHT	0.485195892	.
112L1	 95	4	 318.50	 270.772	135.386	 430.859	LIGHT	0.745612313	.
112L1	 96	4	 360.25	 391.138	195.569	 622.388	LIGHT	0.394424761	.
112L1	 97	4	 436.25	 463.765	231.883	 737.954	LIGHT	0.393952824	.
112L1	 98	4	 175.00	  89.420	 44.710	 142.288	LIGHT	0.733444406	.
112L1	 99	4	 476.25	 677.840	338.920	1078.595	LIGHT	0.567644563	.
112L1	100	4	 247.50	 162.508	 81.254	 258.587	LIGHT	0.576195421	.
112L1	101	4	 392.00	 231.733	115.866	 368.738	LIGHT	0.687743771	.
112L1	102	4	 459.50	 396.525	198.263	 630.960	LIGHT	0.535643103	.
112L1	103	4	 378.50	 302.264	151.132	 480.970	LIGHT	0.990498890	.
112L1	104	4	 577.75	 370.180	185.090	 589.038	LIGHT	0.100023323	.
112L1	105	4	 414.75	 140.072	 70.036	 222.886	DARK	0.042745088	*
112L1	106	4	1206.25	 797.813	398.907	1269.499	DARK	0.140512768	.
112L1	107	4	 729.25	 284.648	142.324	 452.938	DARK	0.180179706	.
112L1	108	4	 680.25	 130.926	 65.463	 208.332	DARK	0.002884600	***
112L1	109	4	 727.00	 165.531	 82.766	 263.398	DARK	0.006862928	**
112L1	110	4	 796.75	 133.802	 66.901	 212.908	DARK	0.105971114	.
112L1	111	4	 642.50	 181.234	 90.617	 288.383	DARK	0.169317851	.
112L2	  1	4	 539.50	 299.121	149.561	 475.969	DARK	0.017647076	*
112L2	  2	4	 626.00	 411.510	205.755	 654.805	DARK	0.149361853	.
112L2	  3	4	 741.00	 533.115	266.557	 848.305	DARK	0.598795762	.
112L2	  4	4	 650.00	 141.402	 70.701	 225.003	DARK	0.752594767	.
112L2	  5	4	 897.50	 286.670	143.335	 456.156	DARK	0.035614094	*
112L2	  6	4	 789.00	 603.121	301.561	 959.701	DARK	0.310805446	.
112L2	  7	4	 571.00	 446.553	223.277	 710.566	DARK	0.739977255	.
112L2	  8	4	 638.75	 375.415	187.707	 597.369	DARK	0.633122034	.
112L2	  9	4	 327.00	 355.915	177.957	 566.340	DARK	0.525958266	.
112L2	 10	4	 445.25	 307.299	153.650	 488.982	DARK	0.276373454	.
112L2	 11	4	 712.50	 325.257	162.629	 517.557	DARK	0.240172319	.
112L2	 12	4	 604.50	 319.344	159.672	 508.147	DARK	0.910344125	.
112L2	 13	4	 588.50	 378.864	189.432	 602.857	LIGHT	0.178543760	.
112L2	 14	4	 672.25	 393.014	196.507	 625.373	LIGHT	0.462501241	.
112L2	 15	4	 575.00	 598.371	299.185	 952.141	LIGHT	0.420971130	.
112L2	 16	4	 257.25	 330.767	165.384	 526.324	LIGHT	0.583478626	.
112L2	 17	4	 367.25	 171.084	 85.542	 272.232	LIGHT	0.431592706	.
112L2	 18	4	 372.75	 384.461	192.230	 611.763	LIGHT	0.913911674	.
112L2	 19	4	 229.75	 117.636	 58.818	 187.185	LIGHT	0.335755544	.
112L2	 20	4	 246.50	 306.436	153.218	 487.608	LIGHT	0.333587640	.
112L2	 21	4	 367.50	 395.115	197.557	 628.716	LIGHT	0.666585067	.
112L2	 22	4	 271.25	 310.502	155.251	 494.078	LIGHT	0.570306263	.
112L2	 23	4	 111.25	 159.569	 79.784	 253.910	LIGHT	0.602203529	.
112L2	 24	4	 144.25	 115.569	 57.785	 183.896	LIGHT	0.404447566	.
112L2	 25	4	  91.75	 140.015	 70.008	 222.795	LIGHT	0.114474069	.
112L2	 26	4	 208.25	 194.675	 97.337	 309.771	LIGHT	0.778349101	.
112L2	 27	4	  89.75	 136.216	 68.108	 216.751	LIGHT	0.223127898	.
112L2	 28	4	 167.75	 219.135	109.568	 348.693	LIGHT	0.361631334	.
112L2	 29	4	 279.00	 355.470	177.735	 565.632	LIGHT	0.505831024	.
112L2	 30	4	 231.00	 229.774	114.887	 365.621	LIGHT	0.261631052	.
112L2	 31	4	 207.00	 122.303	 61.151	 194.611	LIGHT	0.223738390	.
112L2	 32	4	 375.75	 387.059	193.530	 615.898	DARK	0.566013549	.
112L2	 33	4	 650.75	 272.674	136.337	 433.885	DARK	0.277279642	.
112L2	 34	4	 280.00	 295.965	147.983	 470.947	DARK	0.131153555	.
112L2	 35	4	 200.25	  89.515	 44.757	 142.438	DARK	0.076278079	.
112L2	 36	4	 522.00	 400.256	200.128	 636.896	DARK	0.386955349	.
112L2	 37	4	 163.25	 248.756	124.378	 395.826	DARK	0.030893977	*
112L2	 38	4	 493.75	 398.056	199.028	 633.395	DARK	0.177083410	.
112L2	 39	4	 525.00	 204.380	102.190	 325.215	DARK	0.602100717	.
112L2	 40	4	 626.75	 374.741	187.371	 596.297	DARK	0.023149280	*
112L2	 41	4	 551.50	 356.470	178.235	 567.224	DARK	0.266047525	.
112L2	 42	4	 610.75	 424.188	212.094	 674.978	DARK	0.282765046	.
112L2	 43	4	 723.75	 474.605	237.302	 755.202	DARK	0.179973507	.
112L2	 44	4	 401.50	 327.986	163.993	 521.899	DARK	0.088062345	.
112L2	 45	4	 327.25	 235.531	117.766	 374.783	DARK	0.111581344	.
112L2	 46	4	 480.75	  90.216	 45.108	 143.554	DARK	0.992932447	.
112L2	 47	4	 487.50	 158.964	 79.482	 252.948	DARK	0.596803693	.
112L2	 48	4	 701.00	 319.809	159.905	 508.888	DARK	0.674666722	.
112L2	 49	4	 945.25	 125.805	 62.903	 200.184	DARK	0.068680069	.
112L2	 50	4	 413.50	 403.239	201.619	 641.643	LIGHT	0.172583835	.
112L2	 51	4	 377.75	 363.778	181.889	 578.852	LIGHT	0.803332963	.
112L2	 52	4	 787.25	 644.111	322.055	1024.924	LIGHT	0.144306372	.
