Genotype	TimePoint	N	XT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	10282.50	 6451.089	3225.545	10265.123	DARK	0.1541140844	.
112L1	  2	4	 9967.50	 3052.554	1526.277	 4857.295	DARK	0.2461450209	.
112L1	  3	4	 4914.50	 4764.135	2382.068	 7580.802	DARK	0.4576621400	.
112L1	  4	4	 4895.75	 1045.733	 522.867	 1663.995	DARK	0.6900619095	.
112L1	  5	4	 8403.50	 1118.863	 559.432	 1780.361	DARK	0.0218499574	*
112L1	  6	4	 4124.75	 1178.024	 589.012	 1874.499	DARK	0.1135306797	.
112L1	  7	4	 5498.50	 6923.140	3461.570	11016.260	DARK	0.5909501385	.
112L1	  8	4	 4997.75	 5506.011	2753.005	 8761.292	DARK	0.8464592374	.
112L1	  9	4	 6790.75	 7501.723	3750.861	11936.915	DARK	0.5964762116	.
112L1	 10	4	 9194.00	 1772.358	 886.179	 2820.216	DARK	0.0119492304	*
112L1	 11	4	 7975.50	 6894.040	3447.020	10969.956	DARK	0.1525075751	.
112L1	 12	4	 3580.25	 5750.567	2875.283	 9150.435	DARK	0.5143014778	.
112L1	 13	4	 3608.75	 5279.477	2639.738	 8400.825	LIGHT	0.1421668165	.
112L1	 14	4	 2658.50	 2544.953	1272.477	 4049.589	LIGHT	0.5017367218	.
112L1	 15	4	 5756.25	 3838.347	1919.174	 6107.667	LIGHT	0.7223528022	.
112L1	 16	4	 2751.50	 4097.142	2048.571	 6519.467	LIGHT	0.7207461970	.
112L1	 17	4	 1468.00	 2080.892	1040.446	 3311.163	LIGHT	0.3395674988	.
112L1	 18	4	 2864.50	 4631.556	2315.778	 7369.839	LIGHT	0.7331898098	.
112L1	 19	4	 2515.50	 3182.799	1591.399	 5064.543	LIGHT	0.4216640098	.
112L1	 20	4	 1151.00	 1061.633	 530.817	 1689.296	LIGHT	0.1297040809	.
112L1	 21	4	 3874.50	 3444.831	1722.415	 5481.495	LIGHT	0.0539850246	.
112L1	 22	4	 1309.75	 1415.910	 707.955	 2253.028	LIGHT	0.0475328240	*
112L1	 23	4	 4468.00	 7617.424	3808.712	12121.021	LIGHT	0.3610119230	.
112L1	 24	4	 5505.00	 7138.581	3569.290	11359.075	LIGHT	0.8937463417	.
112L1	 25	4	 2387.75	 2342.681	1171.340	 3727.728	LIGHT	0.4946879634	.
112L1	 26	4	 1575.50	 1409.916	 704.958	 2243.491	LIGHT	0.3325796394	.
112L1	 27	4	  756.50	  630.932	 315.466	 1003.954	LIGHT	0.0645501935	.
112L1	 28	4	 2573.00	 2163.890	1081.945	 3443.231	LIGHT	0.7903951622	.
112L1	 29	4	 1233.25	  921.184	 460.592	 1465.810	LIGHT	0.2213630757	.
112L1	 30	4	 4389.25	 4166.414	2083.207	 6629.695	LIGHT	0.7402897344	.
112L1	 31	4	 4616.75	 3321.223	1660.611	 5284.806	LIGHT	0.8862079927	.
112L1	 32	4	 5345.00	 4122.783	2061.392	 6560.268	DARK	0.5899410345	.
112L1	 33	4	 9820.25	 4389.504	2194.752	 6984.680	DARK	0.5077252894	.
112L1	 34	4	 9469.75	 8274.683	4137.341	13166.867	DARK	0.8406676963	.
112L1	 35	4	 9588.25	 7313.398	3656.699	11637.247	DARK	0.1509970522	.
112L1	 36	4	 8485.00	 7714.169	3857.084	12274.964	DARK	0.7528270870	.
112L1	 37	4	 4705.50	 2658.904	1329.452	 4230.910	DARK	0.6293054118	.
112L1	 38	4	 9144.50	 3354.334	1677.167	 5337.493	DARK	0.2457374116	.
112L1	 39	4	 5853.75	 3491.645	1745.822	 5555.986	DARK	0.8374438162	.
112L1	 40	4	 6850.25	 2887.309	1443.654	 4594.352	DARK	0.3354005187	.
112L1	 41	4	 6405.75	 2154.048	1077.024	 3427.570	DARK	0.9949121997	.
112L1	 42	4	 7896.25	 3623.886	1811.943	 5766.412	DARK	0.3410324477	.
112L1	 43	4	10245.25	 6367.250	3183.625	10131.716	DARK	0.1220151338	.
112L1	 44	4	 7408.00	 3184.561	1592.280	 5067.347	DARK	0.2696950292	.
112L1	 45	4	 6503.75	 5288.165	2644.082	 8414.650	DARK	0.7909040560	.
112L1	 46	4	 3689.25	 3719.937	1859.968	 5919.249	DARK	0.5507169261	.
112L1	 47	4	 4453.00	 5236.622	2618.311	 8332.635	DARK	0.3039382476	.
112L1	 48	4	 5486.00	 2593.465	1296.732	 4126.781	DARK	0.7432644618	.
112L1	 49	4	 3373.00	 2999.694	1499.847	 4773.182	DARK	0.0691316635	.
112L1	 50	4	 7818.75	 3179.472	1589.736	 5059.250	LIGHT	0.5801544889	.
