Genotype	TimePoint	N	XT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	5570.00	 2608.561	1304.281	 4150.803	DARK	0.033531047	*
112L1	  2	4	5674.25	 1459.886	 729.943	 2323.005	DARK	0.051196125	.
112L1	  3	4	2063.00	 2311.936	1155.968	 3678.807	DARK	0.323564366	.
112L1	  4	4	2093.75	 1427.864	 713.932	 2272.051	DARK	0.583642160	.
112L1	  5	4	4134.25	  662.983	 331.492	 1054.954	DARK	0.142617909	.
112L1	  6	4	2088.75	 1061.552	 530.776	 1689.166	DARK	0.365617425	.
112L1	  7	4	2970.50	 4037.624	2018.812	 6424.760	DARK	0.538532358	.
112L1	  8	4	2378.25	 2785.329	1392.665	 4432.081	DARK	0.887217354	.
112L1	  9	4	5154.75	 7349.964	3674.982	11695.433	DARK	0.407072565	.
112L1	 10	4	4812.25	 3482.352	1741.176	 5541.199	DARK	0.095214748	.
112L1	 11	4	5272.00	 5759.274	2879.637	 9164.290	DARK	0.261860490	.
112L1	 12	4	2915.00	 5510.708	2755.354	 8768.767	DARK	0.958013108	.
112L1	 13	4	1750.25	 2621.721	1310.860	 4171.743	LIGHT	0.070036792	.
112L1	 14	4	1083.00	 1123.610	 561.805	 1787.914	LIGHT	0.485653780	.
112L1	 15	4	3223.00	 2130.792	1065.396	 3390.566	LIGHT	0.511468876	.
112L1	 16	4	1786.00	 3091.883	1545.941	 4919.875	LIGHT	0.580453025	.
112L1	 17	4	 526.25	  780.520	 390.260	 1241.982	LIGHT	0.458401022	.
112L1	 18	4	1278.00	 2161.573	1080.786	 3439.545	LIGHT	0.934350041	.
112L1	 19	4	1037.00	 1817.610	 908.805	 2892.223	LIGHT	0.639374912	.
112L1	 20	4	 257.25	  251.220	 125.610	  399.747	LIGHT	0.435639183	.
112L1	 21	4	2074.00	 3024.707	1512.353	 4812.983	LIGHT	0.465271251	.
112L1	 22	4	 334.25	  489.108	 244.554	  778.280	LIGHT	0.534355286	.
112L1	 23	4	1628.25	 2983.901	1491.950	 4748.052	LIGHT	0.559477824	.
112L1	 24	4	4081.00	 6403.029	3201.515	10188.648	LIGHT	0.436672000	.
112L1	 25	4	1693.75	 2014.231	1007.116	 3205.091	LIGHT	0.267772719	.
112L1	 26	4	 832.25	  984.137	 492.068	 1565.982	LIGHT	0.597817847	.
112L1	 27	4	 161.75	  129.618	  64.809	  206.252	LIGHT	0.163379714	.
112L1	 28	4	1131.50	 1189.309	 594.655	 1892.457	LIGHT	0.392172037	.
112L1	 29	4	 641.50	  784.646	 392.323	 1248.547	LIGHT	0.429101390	.
112L1	 30	4	2714.75	 2308.382	1154.191	 3673.151	LIGHT	0.703717503	.
112L1	 31	4	2802.25	 2230.264	1115.132	 3548.848	LIGHT	0.192372754	.
112L1	 32	4	3222.00	 2993.365	1496.683	 4763.112	DARK	0.443196386	.
112L1	 33	4	7258.50	 4630.251	2315.126	 7367.763	DARK	0.154800664	.
112L1	 34	4	7299.25	 8414.296	4207.148	13389.022	DARK	0.253528353	.
112L1	 35	4	6310.25	 7329.662	3664.831	11663.128	DARK	0.209946659	.
112L1	 36	4	5731.50	 5963.096	2981.548	 9488.617	DARK	0.350015208	.
112L1	 37	4	2597.50	 1390.612	 695.306	 2212.774	DARK	0.048693195	*
112L1	 38	4	5857.00	 1556.712	 778.356	 2477.076	DARK	0.078061853	.
112L1	 39	4	3318.75	 1856.421	 928.210	 2953.980	DARK	0.545302674	.
112L1	 40	4	4463.25	 2439.983	1219.992	 3882.558	DARK	0.072895977	.
112L1	 41	4	3581.50	 1161.296	 580.648	 1847.881	DARK	0.396056847	.
112L1	 42	4	4253.50	 2398.514	1199.257	 3816.570	DARK	0.283334615	.
112L1	 43	4	5133.25	 3650.862	1825.431	 5809.336	DARK	0.189734002	.
112L1	 44	4	3771.00	 1820.051	 910.026	 2896.108	DARK	0.268267901	.
112L1	 45	4	3676.75	 2815.123	1407.561	 4479.489	DARK	0.275801153	.
112L1	 46	4	1775.75	 2371.019	1185.510	 3772.821	DARK	0.929280308	.
112L1	 47	4	2939.75	 4424.248	2212.124	 7039.966	DARK	0.632274040	.
112L1	 48	4	2739.00	 1455.251	 727.625	 2315.629	DARK	0.932607901	.
112L1	 49	4	1477.00	 1868.665	 934.332	 2973.463	DARK	0.105111916	.
112L1	 50	4	4200.50	 1690.210	 845.105	 2689.501	LIGHT	0.072896931	.
112L1	 51	4	2690.50	 3193.530	1596.765	 5081.619	LIGHT	0.751248956	.
112L1	 52	4	 299.00	  144.681	  72.341	  230.220	LIGHT	0.310516942	.
112L1	 53	4	1493.00	 1470.841	 735.420	 2340.436	LIGHT	0.256161499	.
112L1	 54	4	1391.75	 1676.333	 838.167	 2667.420	LIGHT	0.629113607	.
112L1	 55	4	2273.50	 2361.016	1180.508	 3756.904	LIGHT	0.271667763	.
112L1	 56	4	1520.25	 2360.607	1180.303	 3756.252	LIGHT	0.479862508	.
112L1	 57	4	1397.50	 1668.128	 834.064	 2654.363	LIGHT	0.853263230	.
112L1	 58	4	1144.00	 1541.842	 770.921	 2453.415	LIGHT	0.999745309	.
112L1	 59	4	 266.25	  128.718	  64.359	  204.819	LIGHT	0.045197911	*
112L1	 60	4	 600.50	  757.367	 378.683	 1205.139	LIGHT	0.714521049	.
112L1	 61	4	 327.50	  407.006	 203.503	  647.637	LIGHT	0.422170814	.
112L1	 62	4	1221.50	 1161.092	 580.546	 1847.557	LIGHT	0.300635739	.
112L1	 63	4	 535.50	  592.426	 296.213	  942.682	LIGHT	0.596578889	.
112L1	 64	4	 970.75	  816.286	 408.143	 1298.893	LIGHT	0.763547779	.
112L1	 65	4	1073.75	  800.720	 400.360	 1274.124	LIGHT	0.710354418	.
112L1	 66	4	3374.25	 3512.181	1756.090	 5588.663	LIGHT	0.092311348	.
112L1	 67	4	1240.00	 1649.933	 824.966	 2625.411	LIGHT	0.155454058	.
112L1	 68	4	1717.25	 1634.194	 817.097	 2600.368	LIGHT	0.254570560	.
112L1	 69	4	2889.75	 2468.204	1234.102	 3927.463	DARK	0.009580875	**
112L1	 70	4	2672.00	 1403.886	 701.943	 2233.896	DARK	0.010372466	*
112L1	 71	4	2422.50	 2249.895	1124.948	 3580.085	DARK	0.817747328	.
112L1	 72	4	3895.25	 1328.755	 664.377	 2114.345	DARK	0.036927616	*
112L1	 73	4	5187.50	 3857.548	1928.774	 6138.219	DARK	0.146247807	.
112L1	 74	4	3609.00	 3858.683	1929.341	 6140.025	DARK	0.235606796	.
112L1	 75	4	4374.75	 1008.881	 504.441	 1605.355	DARK	0.026793910	*
112L1	 76	4	3101.50	 2637.308	1318.654	 4196.546	DARK	0.483045446	.
112L1	 77	4	2230.50	 1095.252	 547.626	 1742.790	DARK	0.842407748	.
112L1	 78	4	4204.25	  325.796	 162.898	  518.414	DARK	0.008776302	**
112L1	 79	4	3570.50	 2518.314	1259.157	 4007.200	DARK	0.527264449	.
112L1	 80	4	2907.25	 2745.888	1372.944	 4369.321	DARK	0.571542348	.
112L1	 81	4	2261.25	 1330.541	 665.270	 2117.187	DARK	0.120878934	.
112L1	 82	4	2217.75	 1549.545	 774.772	 2465.671	DARK	0.550554076	.
112L1	 83	4	1950.00	 2208.058	1104.029	 3513.512	DARK	0.823453721	.
112L1	 84	4	3273.00	 1963.896	 981.948	 3124.996	DARK	0.050775427	.
112L1	 85	4	3500.50	 2830.720	1415.360	 4504.308	DARK	0.603933234	.
112L1	 86	4	3399.00	 1650.871	 825.436	 2626.905	DARK	0.912019432	.
112L1	 87	4	2932.50	 2243.409	1121.704	 3569.764	LIGHT	0.328391900	.
112L1	 88	4	4094.50	 5009.709	2504.854	 7971.565	LIGHT	0.356519637	.
112L1	 89	4	1872.25	 3545.236	1772.618	 5641.261	LIGHT	0.990883210	.
112L1	 90	4	1556.75	 1259.476	 629.738	 2004.108	LIGHT	0.033169598	*
112L1	 91	4	3289.25	 3811.507	1905.753	 6064.958	LIGHT	0.646089931	.
112L1	 92	4	  80.25	  105.393	  52.696	  167.703	LIGHT	0.111107111	.
112L1	 93	4	  90.00	  117.935	  58.968	  187.661	LIGHT	0.314609609	.
112L1	 94	4	1073.25	 1314.072	 657.036	 2090.982	LIGHT	0.264232339	.
112L1	 95	4	1286.75	 1311.795	 655.898	 2087.359	LIGHT	0.476350580	.
112L1	 96	4	1045.75	 1635.753	 817.876	 2602.848	LIGHT	0.464467415	.
112L1	 97	4	1750.50	 2884.246	1442.123	 4589.478	LIGHT	0.496136016	.
112L1	 98	4	 352.75	  339.778	 169.889	  540.662	LIGHT	0.723373770	.
112L1	 99	4	2479.25	 4221.849	2110.925	 6717.904	LIGHT	0.515775092	.
112L1	100	4	1391.25	 1582.789	 791.395	 2518.571	LIGHT	0.357241435	.
112L1	101	4	1782.00	 1649.236	 824.618	 2624.302	LIGHT	0.550906269	.
112L1	102	4	2319.75	 2145.507	1072.753	 3413.980	LIGHT	0.285692998	.
112L1	103	4	1734.50	 1835.514	 917.757	 2920.712	LIGHT	0.930185801	.
112L1	104	4	2309.75	 1558.423	 779.212	 2479.799	LIGHT	0.068778702	.
112L1	105	4	2398.75	 1370.067	 685.034	 2180.083	DARK	0.033633229	*
112L1	106	4	7855.75	 8564.094	4282.047	13627.384	DARK	0.236924650	.
112L1	107	4	2851.50	 1263.550	 631.775	 2010.589	DARK	0.104655892	.
112L1	108	4	2968.25	  832.593	 416.296	 1324.841	DARK	0.012058508	*
112L1	109	4	3275.75	 1423.386	 711.693	 2264.925	DARK	0.020462978	*
112L1	110	4	3923.00	 1732.762	 866.381	 2757.211	DARK	0.356655822	.
112L1	111	4	2685.25	 1157.293	 578.646	 1841.511	DARK	0.136741780	.
112L2	  1	4	1922.75	 1501.256	 750.628	 2388.834	DARK	0.033531047	*
112L2	  2	4	2418.25	 1652.009	 826.004	 2628.714	DARK	0.051196125	.
112L2	  3	4	3056.75	 2536.206	1268.103	 4035.669	DARK	0.323564366	.
112L2	  4	4	2528.00	  846.317	 423.158	 1346.679	DARK	0.583642160	.
112L2	  5	4	4334.50	 2052.899	1026.449	 3266.620	DARK	0.142617909	.
112L2	  6	4	7237.00	10602.352	5301.176	16870.708	DARK	0.365617425	.
112L2	  7	4	6443.00	10288.162	5144.081	16370.762	DARK	0.538532358	.
112L2	  8	4	2772.25	 1782.610	 891.305	 2836.531	DARK	0.887217354	.
112L2	  9	4	1316.00	 2011.574	1005.787	 3200.863	DARK	0.407072565	.
112L2	 10	4	1217.25	 1169.962	 584.981	 1861.671	DARK	0.095214748	.
112L2	 11	4	3077.50	 1769.586	 884.793	 2815.806	DARK	0.261860490	.
112L2	 12	4	2918.00	 1865.468	 932.734	 2968.376	DARK	0.958013108	.
112L2	 13	4	2287.75	 1868.887	 934.444	 2973.817	LIGHT	0.070036792	.
112L2	 14	4	2742.25	 1987.446	 993.723	 3162.470	LIGHT	0.485653780	.
112L2	 15	4	3432.50	 4686.673	2343.337	 7457.543	LIGHT	0.511468876	.
112L2	 16	4	1484.50	 2477.814	1238.907	 3942.755	LIGHT	0.580453025	.
112L2	 17	4	1267.00	  998.812	 499.406	 1589.333	LIGHT	0.458401022	.
112L2	 18	4	1179.75	 1292.252	 646.126	 2056.262	LIGHT	0.934350041	.
112L2	 19	4	 820.75	  737.602	 368.801	 1173.689	LIGHT	0.639374912	.
112L2	 20	4	 856.25	 1322.744	 661.372	 2104.780	LIGHT	0.435639183	.
112L2	 21	4	1353.25	 1619.821	 809.911	 2577.497	LIGHT	0.465271251	.
112L2	 22	4	1204.25	 1578.317	 789.159	 2511.455	LIGHT	0.534355286	.
112L2	 23	4	 498.25	  843.470	 421.735	 1342.149	LIGHT	0.559477824	.
112L2	 24	4	 578.75	  416.594	 208.297	  662.893	LIGHT	0.436672000	.
112L2	 25	4	 458.50	  829.399	 414.699	 1319.759	LIGHT	0.267772719	.
112L2	 26	4	 552.75	  404.642	 202.321	  643.875	LIGHT	0.597817847	.
112L2	 27	4	 214.75	  357.271	 178.635	  568.497	LIGHT	0.163379714	.
112L2	 28	4	 818.00	  969.091	 484.545	 1542.039	LIGHT	0.392172037	.
112L2	 29	4	1618.50	 2460.272	1230.136	 3914.842	LIGHT	0.429101390	.
112L2	 30	4	1579.50	 2173.347	1086.673	 3458.280	LIGHT	0.703717503	.
112L2	 31	4	 425.50	  244.391	 122.196	  388.881	LIGHT	0.192372754	.
112L2	 32	4	1000.25	 1550.647	 775.323	 2467.425	DARK	0.443196386	.
112L2	 33	4	2545.75	 1746.740	 873.370	 2779.454	DARK	0.154800664	.
112L2	 34	4	1185.00	 1620.503	 810.252	 2578.582	DARK	0.253528353	.
112L2	 35	4	 689.00	  513.627	 256.813	  817.295	DARK	0.209946659	.
112L2	 36	4	2056.00	 1811.522	 905.761	 2882.535	DARK	0.350015208	.
112L2	 37	4	 525.50	  852.762	 426.381	 1356.935	DARK	0.048693195	*
112L2	 38	4	2507.25	 1949.812	 974.906	 3102.585	DARK	0.078061853	.
112L2	 39	4	2616.25	  455.318	 227.659	  724.513	DARK	0.545302674	.
112L2	 40	4	3608.25	 2137.328	1068.664	 3400.966	DARK	0.072895977	.
112L2	 41	4	2107.75	 1510.336	 755.168	 2403.282	DARK	0.396056847	.
