Genotype	TimePoint	N	YA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	3672.50	3157.191	1578.596	 5023.796	DARK	0.5781775853	.
112L1	  2	4	3309.75	1520.441	 760.221	 2419.362	DARK	0.5283656051	.
112L1	  3	4	2150.00	1934.758	 967.379	 3078.631	DARK	0.6114507270	.
112L1	  4	4	2189.75	 942.659	 471.330	 1499.982	DARK	0.8322872567	.
112L1	  5	4	3303.25	1049.948	 524.974	 1670.701	DARK	0.0967382494	.
112L1	  6	4	1455.75	 220.939	 110.470	  351.564	DARK	0.2920685035	.
112L1	  7	4	1926.25	2238.968	1119.484	 3562.697	DARK	0.6807982577	.
112L1	  8	4	2029.75	2299.244	1149.622	 3658.610	DARK	0.8613595660	.
112L1	  9	4	1174.25	 869.857	 434.929	 1384.137	DARK	0.6550311677	.
112L1	 10	4	3562.75	2285.233	1142.616	 3636.316	DARK	0.2880271845	.
112L1	 11	4	2094.75	1507.713	 753.856	 2399.108	DARK	0.0769861592	.
112L1	 12	4	 438.50	 239.163	 119.582	  380.562	DARK	0.1122416890	.
112L1	 13	4	1347.25	2271.072	1135.536	 3613.783	LIGHT	0.3693673665	.
112L1	 14	4	1112.50	1210.576	 605.288	 1926.296	LIGHT	0.5415418163	.
112L1	 15	4	1932.75	1530.295	 765.148	 2435.041	LIGHT	0.9775736842	.
112L1	 16	4	 642.50	 741.814	 370.907	 1180.392	LIGHT	0.5282972475	.
112L1	 17	4	 605.50	1044.652	 522.326	 1662.274	LIGHT	0.2410409331	.
112L1	 18	4	1158.00	1965.518	 982.759	 3127.578	LIGHT	0.4879501275	.
112L1	 19	4	1000.50	1230.624	 615.312	 1958.198	LIGHT	0.2182469371	.
112L1	 20	4	 560.25	 649.836	 324.918	 1034.034	LIGHT	0.0698360742	.
112L1	 21	4	1315.00	 983.289	 491.644	 1564.632	LIGHT	0.0237448108	*
112L1	 22	4	 696.25	1198.331	 599.165	 1906.812	LIGHT	0.0789645825	.
112L1	 23	4	2122.00	3917.715	1958.858	 6233.959	LIGHT	0.2200815806	.
112L1	 24	4	1028.25	1099.346	 549.673	 1749.305	LIGHT	0.3136989332	.
112L1	 25	4	 411.75	 286.257	 143.128	  455.498	LIGHT	0.1971061469	.
112L1	 26	4	 392.50	 494.917	 247.459	  787.524	LIGHT	0.2075353952	.
112L1	 27	4	 342.50	 353.065	 176.533	  561.805	LIGHT	0.2640636660	.
112L1	 28	4	 968.50	1001.927	 500.963	 1594.289	LIGHT	0.6067226885	.
112L1	 29	4	 349.25	 337.802	 168.901	  537.519	LIGHT	0.1402398404	.
112L1	 30	4	1189.25	1589.853	 794.927	 2529.811	LIGHT	0.3760439027	.
112L1	 31	4	1234.25	1026.632	 513.316	 1633.601	LIGHT	0.2093154601	.
112L1	 32	4	1496.25	1302.635	 651.318	 2072.784	DARK	0.2647592713	.
112L1	 33	4	1908.00	1494.303	 747.151	 2377.769	DARK	0.0308954455	*
112L1	 34	4	1620.75	1477.501	 738.750	 2351.033	DARK	0.6581533885	.
112L1	 35	4	2473.50	 965.783	 482.892	 1536.777	DARK	0.6980310926	.
112L1	 36	4	1991.00	1551.382	 775.691	 2468.594	DARK	0.6528685369	.
112L1	 37	4	1608.50	1570.657	 785.329	 2499.266	DARK	0.4258018551	.
112L1	 38	4	2580.00	2034.264	1017.132	 3236.967	DARK	0.4279598783	.
112L1	 39	4	1900.75	1511.734	 755.867	 2405.505	DARK	0.2597195333	.
112L1	 40	4	1751.75	 435.563	 217.781	  693.078	DARK	0.6226275437	.
112L1	 41	4	2120.00	 907.164	 453.582	 1443.500	DARK	0.6412465076	.
112L1	 42	4	2717.00	1173.662	 586.831	 1867.558	DARK	0.1994412810	.
112L1	 43	4	3996.75	2181.963	1090.981	 3471.990	DARK	0.0797693391	.
112L1	 44	4	2652.75	1047.706	 523.853	 1667.134	DARK	0.0870198810	.
112L1	 45	4	2073.00	2055.405	1027.703	 3270.608	DARK	0.3306144201	.
112L1	 46	4	1409.25	1792.776	 896.388	 2852.707	DARK	0.1921596572	.
112L1	 47	4	1151.25	 953.269	 476.634	 1516.863	DARK	0.0095806649	**
112L1	 48	4	2106.50	1239.534	 619.767	 1972.376	DARK	0.6277640757	.
112L1	 49	4	1511.75	1952.919	 976.459	 3107.530	DARK	0.1511884836	.
112L1	 50	4	2801.00	1899.763	 949.881	 3022.946	LIGHT	0.4611613368	.
112L1	 51	4	 997.25	1683.164	 841.582	 2678.289	LIGHT	0.6706755560	.
112L1	 52	4	 178.50	 257.544	 128.772	  409.810	LIGHT	0.0782459851	.
112L1	 53	4	 729.75	1019.656	 509.828	 1622.501	LIGHT	0.1097165770	.
112L1	 54	4	 249.25	 346.015	 173.007	  550.587	LIGHT	0.4014298093	.
112L1	 55	4	1056.00	1550.086	 775.043	 2466.532	LIGHT	0.2511304562	.
112L1	 56	4	 416.50	 757.986	 378.993	 1206.125	LIGHT	0.0720549130	.
112L1	 57	4	 718.50	1351.986	 675.993	 2151.311	LIGHT	0.1883446941	.
112L1	 58	4	 390.50	 674.885	 337.443	 1073.893	LIGHT	0.1751160702	.
112L1	 59	4	 280.00	 515.061	 257.531	  819.577	LIGHT	0.0173058988	*
112L1	 60	4	  57.50	  95.277	  47.638	  151.607	LIGHT	0.0088148090	**
112L1	 61	4	  21.25	  29.409	  14.705	   46.797	LIGHT	0.0975423801	.
112L1	 62	4	 655.00	 786.185	 393.092	 1250.996	LIGHT	0.2087013504	.
112L1	 63	4	 213.75	 330.424	 165.212	  525.779	LIGHT	0.3459440525	.
112L1	 64	4	 304.75	 276.873	 138.437	  440.567	LIGHT	0.0036528020	***
112L1	 65	4	 740.25	 642.228	 321.114	 1021.928	LIGHT	0.0018652880	***
112L1	 66	4	1399.25	1129.882	 564.941	 1797.894	LIGHT	0.4570897534	.
112L1	 67	4	 199.25	 228.564	 114.282	  363.697	LIGHT	0.0758578655	.
112L1	 68	4	 579.25	 591.592	 295.796	  941.356	LIGHT	0.2150793778	.
112L1	 69	4	2306.00	1207.862	 603.931	 1921.978	DARK	0.0233529059	*
112L1	 70	4	2427.00	1946.328	 973.164	 3097.043	DARK	0.4861280164	.
112L1	 71	4	1780.50	1043.092	 521.546	 1659.792	DARK	0.3254341538	.
112L1	 72	4	1435.50	 759.120	 379.560	 1207.929	DARK	0.2693050914	.
112L1	 73	4	1272.00	 820.509	 410.254	 1305.613	DARK	0.1790189088	.
112L1	 74	4	1424.25	1483.476	 741.738	 2360.542	DARK	0.3242619442	.
112L1	 75	4	1969.75	1341.233	 670.616	 2134.201	DARK	0.5669933228	.
112L1	 76	4	1806.25	1692.091	 846.045	 2692.494	DARK	0.1158569430	.
112L1	 77	4	2348.75	1400.389	 700.194	 2228.331	DARK	0.0479267954	*
112L1	 78	4	2139.75	 912.474	 456.237	 1451.950	DARK	0.1584653134	.
