Genotype	TimePoint	N	YF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	1040.00	730.157	365.078	1161.842	DARK	0.5999418678	.
112L1	  2	4	 983.50	496.538	248.269	 790.103	DARK	0.8838386336	.
112L1	  3	4	 701.50	561.691	280.846	 893.776	DARK	0.7236739082	.
112L1	  4	4	 612.25	220.946	110.473	 351.574	DARK	0.6854274597	.
112L1	  5	4	 966.00	305.356	152.678	 485.889	DARK	0.0591873774	.
112L1	  6	4	 580.25	145.353	 72.677	 231.290	DARK	0.1858927533	.
112L1	  7	4	 601.75	672.294	336.147	1069.770	DARK	0.6729077831	.
112L1	  8	4	 589.75	466.233	233.116	 741.880	DARK	0.6465221343	.
112L1	  9	4	 461.75	339.885	169.942	 540.832	DARK	0.9556598410	.
112L1	 10	4	 819.00	286.167	143.083	 455.355	DARK	0.4294786963	.
112L1	 11	4	 608.75	457.563	228.782	 728.085	DARK	0.0802682994	.
112L1	 12	4	 226.75	121.418	 60.709	 193.203	DARK	0.0459972574	*
112L1	 13	4	 511.25	408.533	204.266	 650.067	LIGHT	0.3041843947	.
112L1	 14	4	 463.00	360.586	180.293	 573.772	LIGHT	0.5414071758	.
112L1	 15	4	 600.50	403.163	201.581	 641.522	LIGHT	0.9932057816	.
112L1	 16	4	 323.00	282.204	141.102	 449.050	LIGHT	0.7028627280	.
112L1	 17	4	 336.25	287.181	143.590	 456.969	LIGHT	0.3539998872	.
112L1	 18	4	 428.50	513.777	256.889	 817.534	LIGHT	0.5644771006	.
112L1	 19	4	 478.00	159.020	 79.510	 253.036	LIGHT	0.1639059053	.
112L1	 20	4	 333.50	244.890	122.445	 389.674	LIGHT	0.2930380994	.
112L1	 21	4	 485.50	302.382	151.191	 481.158	LIGHT	0.0586128249	.
112L1	 22	4	 279.25	252.694	126.347	 402.093	LIGHT	0.0746277067	.
112L1	 23	4	 717.75	724.035	362.018	1152.102	LIGHT	0.2780157659	.
112L1	 24	4	 395.75	187.457	 93.729	 298.286	LIGHT	0.5891353524	.
112L1	 25	4	 282.25	190.476	 95.238	 303.089	LIGHT	0.3567691477	.
112L1	 26	4	 350.75	271.259	135.630	 431.634	LIGHT	0.3159542008	.
112L1	 27	4	 252.25	194.707	 97.354	 309.823	LIGHT	0.2217352191	.
112L1	 28	4	 473.00	260.791	130.396	 414.977	LIGHT	0.5916928890	.
112L1	 29	4	 242.50	106.529	 53.264	 169.511	LIGHT	0.1846249312	.
112L1	 30	4	 485.25	500.466	250.233	 796.353	LIGHT	0.6502190385	.
112L1	 31	4	 580.25	220.287	110.143	 350.525	LIGHT	0.4645340825	.
112L1	 32	4	 626.75	324.103	162.052	 515.721	DARK	0.3825408489	.
112L1	 33	4	 653.75	510.856	255.428	 812.887	DARK	0.1971273941	.
112L1	 34	4	 549.75	361.517	180.758	 575.254	DARK	0.7678008259	.
112L1	 35	4	 804.50	169.881	 84.941	 270.319	DARK	0.5094155916	.
112L1	 36	4	 762.50	444.301	222.151	 706.983	DARK	0.9218164602	.
112L1	 37	4	 499.50	388.061	194.030	 617.491	DARK	0.5331724315	.
112L1	 38	4	 707.50	337.281	168.640	 536.689	DARK	0.5948060381	.
112L1	 39	4	 634.25	320.269	160.135	 509.619	DARK	0.4137840088	.
112L1	 40	4	 635.25	159.132	 79.566	 253.214	DARK	0.5221376780	.
112L1	 41	4	 704.25	359.843	179.921	 572.590	DARK	0.9088045762	.
112L1	 42	4	 925.75	294.840	147.420	 469.157	DARK	0.0460914556	*
112L1	 43	4	1115.25	713.531	356.766	1135.388	DARK	0.0599575984	.
112L1	 44	4	 984.25	487.207	243.604	 775.255	DARK	0.0764638040	.
112L1	 45	4	 754.00	664.366	332.183	1057.154	DARK	0.9010462265	.
112L1	 46	4	 504.25	482.436	241.218	 767.664	DARK	0.3282247691	.
112L1	 47	4	 362.00	272.347	136.173	 433.364	DARK	0.0226717154	*
112L1	 48	4	 640.50	360.039	180.020	 572.903	DARK	0.5496329199	.
112L1	 49	4	 384.25	437.564	218.782	 696.262	DARK	0.1633685610	.
112L1	 50	4	 817.25	525.764	262.882	 836.609	LIGHT	0.4794371091	.
112L1	 51	4	 357.00	465.043	232.521	 739.987	LIGHT	0.5997768858	.
112L1	 52	4	 132.00	144.326	 72.163	 229.655	LIGHT	0.0638296389	.
112L1	 53	4	 366.00	129.375	 64.688	 205.865	LIGHT	0.0825885791	.
112L1	 54	4	 267.25	202.149	101.075	 321.664	LIGHT	0.4717451257	.
112L1	 55	4	 297.50	413.917	206.958	 658.634	LIGHT	0.1883264082	.
112L1	 56	4	 145.00	231.220	115.610	 367.923	LIGHT	0.1240441293	.
112L1	 57	4	 194.25	321.684	160.842	 511.872	LIGHT	0.0901431388	.
112L1	 58	4	 112.75	168.237	 84.118	 267.702	LIGHT	0.0928789641	.
112L1	 59	4	 126.25	171.245	 85.623	 272.489	LIGHT	0.0055326095	**
112L1	 60	4	  95.75	 66.780	 33.390	 106.262	LIGHT	0.0039038576	***
112L1	 61	4	  33.00	 60.701	 30.351	  96.590	LIGHT	0.0433479687	*
112L1	 62	4	 244.25	271.138	135.569	 431.440	LIGHT	0.3883111909	.
112L1	 63	4	 145.75	199.740	 99.870	 317.832	LIGHT	0.2029930148	.
112L1	 64	4	 135.00	161.185	 80.593	 256.482	LIGHT	0.0094647222	**
112L1	 65	4	 284.75	201.081	100.541	 319.965	LIGHT	0.0047527831	***
112L1	 66	4	 499.25	429.737	214.869	 683.808	LIGHT	0.6608064355	.
112L1	 67	4	 192.50	213.014	106.507	 338.953	LIGHT	0.0622659964	.
112L1	 68	4	 307.00	240.692	120.346	 382.995	LIGHT	0.2832631511	.
112L1	 69	4	 765.75	209.634	104.817	 333.574	DARK	0.1089961587	.
112L1	 70	4	 795.50	473.096	236.548	 752.801	DARK	0.6047211546	.
112L1	 71	4	 580.00	173.990	 86.995	 276.858	DARK	0.3036792228	.
112L1	 72	4	 549.25	260.751	130.375	 414.913	DARK	0.4348183111	.
112L1	 73	4	 541.75	227.998	113.999	 362.795	DARK	0.5274279851	.
112L1	 74	4	 495.00	368.214	184.107	 585.910	DARK	0.2546138805	.
112L1	 75	4	 621.50	338.221	169.111	 538.186	DARK	0.9046921725	.
112L1	 76	4	 581.50	430.550	215.275	 685.102	DARK	0.2013297163	.
112L1	 77	4	 506.75	 99.067	 49.533	 157.638	DARK	0.0021538027	***
112L1	 78	4	 669.50	245.207	122.603	 390.179	DARK	0.0826435880	.
112L1	 79	4	 631.00	588.282	294.141	 936.087	DARK	0.7029256904	.
112L1	 80	4	 633.00	556.532	278.266	 885.567	DARK	0.6793826508	.
112L1	 81	4	 723.50	479.061	239.530	 762.292	DARK	0.3170169328	.
112L1	 82	4	 435.25	428.911	214.456	 682.494	DARK	0.0193322787	*
112L1	 83	4	 389.25	387.792	193.896	 617.064	DARK	0.2032857246	.
112L1	 84	4	 708.75	346.210	173.105	 550.898	DARK	0.0937471823	.
112L1	 85	4	 538.75	313.501	156.751	 498.850	DARK	0.0119470029	*
112L1	 86	4	 600.25	375.505	187.753	 597.513	DARK	0.4101569094	.
112L1	 87	4	 581.75	126.758	 63.379	 201.700	LIGHT	0.1581721398	.
112L1	 88	4	 350.25	198.038	 99.019	 315.122	LIGHT	0.4108857613	.
112L1	 89	4	 361.00	537.972	268.986	 856.034	LIGHT	0.2387672938	.
112L1	 90	4	 223.50	178.924	 89.462	 284.707	LIGHT	0.0003094791	****
112L1	 91	4	 579.00	645.064	322.532	1026.441	LIGHT	0.7954735079	.
112L1	 92	4	 253.50	162.937	 81.468	 259.268	LIGHT	0.0026369930	***
112L1	 93	4	 216.50	147.740	 73.870	 235.087	LIGHT	0.0050841035	**
112L1	 94	4	 313.50	136.151	 68.075	 216.646	LIGHT	0.1105717955	.
112L1	 95	4	 447.75	223.712	111.856	 355.975	LIGHT	0.1830938748	.
112L1	 96	4	 291.00	181.709	 90.854	 289.139	LIGHT	0.0239218542	*
112L1	 97	4	 313.50	480.399	240.199	 764.422	LIGHT	0.1624062691	.
112L1	 98	4	 331.50	262.214	131.107	 417.241	LIGHT	0.0668452747	.
112L1	 99	4	 703.25	646.302	323.151	1028.411	LIGHT	0.1724924895	.
112L1	100	4	 361.75	229.589	114.794	 365.327	LIGHT	0.0955544769	.
112L1	101	4	 282.00	207.633	103.816	 330.390	LIGHT	0.1210690558	.
112L1	102	4	 398.25	186.275	 93.137	 296.405	LIGHT	0.3519367549	.
112L1	103	4	 678.00	408.623	204.311	 650.210	LIGHT	0.9534723266	.
112L1	104	4	 536.75	152.097	 76.049	 242.021	LIGHT	0.8010203733	.
112L1	105	4	 536.00	461.829	230.914	 734.873	DARK	0.2759292356	.
112L1	106	4	 643.50	172.936	 86.468	 275.180	DARK	0.1996242355	.
112L1	107	4	 394.50	206.033	103.017	 327.845	DARK	0.0654560938	.
112L1	108	4	 473.00	168.881	 84.440	 268.727	DARK	0.1146039889	.
112L1	109	4	 350.50	253.411	126.705	 403.233	DARK	0.0886496381	.
112L1	110	4	 521.50	181.788	 90.894	 289.266	DARK	0.2807394639	.
112L1	111	4	 353.75	242.072	121.036	 385.191	DARK	0.0767324768	.
112L2	  1	4	 767.75	349.539	174.770	 556.195	DARK	0.5999418678	.
112L2	  2	4	 820.00	410.820	205.410	 653.706	DARK	0.8838386336	.
112L2	  3	4	 952.50	384.223	192.111	 611.384	DARK	0.7236739082	.
112L2	  4	4	 869.25	193.600	 96.800	 308.061	DARK	0.6854274597	.
112L2	  5	4	1134.25	163.418	 81.709	 260.035	DARK	0.0591873774	.
112L2	  6	4	1062.00	566.055	283.027	 900.719	DARK	0.1858927533	.
112L2	  7	4	 919.50	421.478	210.739	 670.665	DARK	0.6729077831	.
112L2	  8	4	 786.00	362.752	181.376	 577.219	DARK	0.6465221343	.
112L2	  9	4	 531.00	517.757	258.879	 823.867	DARK	0.9556598410	.
112L2	 10	4	 671.75	500.080	250.040	 795.739	DARK	0.4294786963	.
112L2	 11	4	 799.50	177.615	 88.807	 282.625	DARK	0.0802682994	.
112L2	 12	4	 709.00	311.924	155.962	 496.341	DARK	0.0459972574	*
112L2	 13	4	 780.25	239.053	119.526	 380.386	LIGHT	0.3041843947	.
112L2	 14	4	 807.75	591.527	295.764	 941.252	LIGHT	0.5414071758	.
112L2	 15	4	 597.50	583.134	291.567	 927.897	LIGHT	0.9932057816	.
112L2	 16	4	 572.50	591.724	295.862	 941.565	LIGHT	0.7028627280	.
112L2	 17	4	 813.75	326.029	163.015	 518.785	LIGHT	0.3539998872	.
112L2	 18	4	 791.00	635.955	317.977	1011.946	LIGHT	0.5644771006	.
112L2	 19	4	 877.00	390.518	195.259	 621.402	LIGHT	0.1639059053	.
112L2	 20	4	 869.75	560.244	280.122	 891.474	LIGHT	0.2930380994	.
112L2	 21	4	1024.75	274.892	137.446	 437.414	LIGHT	0.0586128249	.
112L2	 22	4	1071.75	557.521	278.760	 887.140	LIGHT	0.0746277067	.
112L2	 23	4	 830.50	173.025	 86.513	 275.321	LIGHT	0.2780157659	.
112L2	 24	4	 651.75	460.119	230.060	 732.152	LIGHT	0.5891353524	.
112L2	 25	4	 765.25	568.004	284.002	 903.821	LIGHT	0.3567691477	.
112L2	 26	4	 803.50	370.830	185.415	 590.074	LIGHT	0.3159542008	.
112L2	 27	4	 626.00	210.680	105.340	 335.239	LIGHT	0.2217352191	.
112L2	 28	4	 717.50	288.398	144.199	 458.906	LIGHT	0.5916928890	.
112L2	 29	4	 748.25	448.243	224.121	 713.254	LIGHT	0.1846249312	.
112L2	 30	4	 746.75	471.069	235.535	 749.576	LIGHT	0.6502190385	.
112L2	 31	4	 895.00	448.649	224.325	 713.901	LIGHT	0.4645340825	.
112L2	 32	4	1163.75	582.258	291.129	 926.502	DARK	0.3825408489	.
112L2	 33	4	1115.25	196.436	 98.218	 312.573	DARK	0.1971273941	.
112L2	 34	4	 781.00	866.896	433.448	1379.425	DARK	0.7678008259	.
112L2	 35	4	 584.75	445.736	222.868	 709.265	DARK	0.5094155916	.
112L2	 36	4	 868.00	367.367	183.684	 584.563	DARK	0.9218164602	.
112L2	 37	4	 754.25	333.772	166.886	 531.105	DARK	0.5331724315	.
112L2	 38	4	 753.75	127.886	 63.943	 203.496	DARK	0.5948060381	.
112L2	 39	4	 885.50	309.359	154.680	 492.259	DARK	0.4137840088	.
112L2	 40	4	 859.00	257.146	128.573	 409.176	DARK	0.5221376780	.
112L2	 41	4	 793.75	423.341	211.670	 673.630	DARK	0.9088045762	.
112L2	 42	4	1030.25	367.306	183.653	 584.466	DARK	0.0460914556	*
112L2	 43	4	1427.25	384.512	192.256	 611.845	DARK	0.0599575984	.
112L2	 44	4	 954.75	383.284	191.642	 609.891	DARK	0.0764638040	.
112L2	 45	4	 862.75	191.270	 95.635	 304.353	DARK	0.9010462265	.
112L2	 46	4	 966.50	249.496	124.748	 397.004	DARK	0.3282247691	.
112L2	 47	4	 912.00	234.620	117.310	 373.333	DARK	0.0226717154	*
112L2	 48	4	 818.00	290.074	145.037	 461.572	DARK	0.5496329199	.
112L2	 49	4	 915.25	113.658	 56.829	 180.856	DARK	0.1633685610	.
112L2	 50	4	 982.50	281.122	140.561	 447.328	LIGHT	0.4794371091	.
112L2	 51	4	 711.25	576.233	288.117	 916.916	LIGHT	0.5997768858	.
112L2	 52	4	 672.50	406.499	203.250	 646.831	LIGHT	0.0638296389	.
112L2	 53	4	 885.25	332.969	166.484	 529.828	LIGHT	0.0825885791	.
112L2	 54	4	 677.25	367.621	183.810	 584.966	LIGHT	0.4717451257	.
112L2	 55	4	 861.00	519.600	259.800	 826.800	LIGHT	0.1883264082	.
112L2	 56	4	 678.75	475.419	237.710	 756.498	LIGHT	0.1240441293	.
112L2	 57	4	 952.50	411.890	205.945	 655.409	LIGHT	0.0901431388	.
112L2	 58	4	 748.50	489.901	244.951	 779.542	LIGHT	0.0928789641	.
112L2	 59	4	 896.50	354.969	177.485	 564.835	LIGHT	0.0055326095	**
112L2	 60	4	 697.75	208.992	104.496	 332.553	LIGHT	0.0039038576	***
112L2	 61	4	 596.25	274.623	137.311	 436.986	LIGHT	0.0433479687	*
112L2	 62	4	 651.50	553.105	276.553	 880.114	LIGHT	0.3883111909	.
112L2	 63	4	 558.00	368.996	184.498	 587.155	LIGHT	0.2029930148	.
112L2	 64	4	1015.50	187.162	 93.581	 297.817	LIGHT	0.0094647222	**
112L2	 65	4	 963.25	136.055	 68.027	 216.494	LIGHT	0.0047527831	***
112L2	 66	4	 716.00	705.389	352.695	1122.432	LIGHT	0.6608064355	.
112L2	 67	4	 781.25	381.201	190.601	 606.576	LIGHT	0.0622659964	.
112L2	 68	4	 590.25	284.139	142.069	 452.128	LIGHT	0.2832631511	.
112L2	 69	4	 728.25	269.537	134.769	 428.894	DARK	0.1089961587	.
112L2	 70	4	 688.50	334.768	167.384	 532.691	DARK	0.6047211546	.
