Genotype	TimePoint	N	YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	4712.50	3862.270	1931.135	 6145.734	DARK	0.5798212195	.
112L1	  2	4	4293.25	1988.821	 994.410	 3164.658	DARK	0.6059092810	.
112L1	  3	4	2851.50	2496.140	1248.070	 3971.915	DARK	0.6411620096	.
112L1	  4	4	2802.00	1016.704	 508.352	 1617.803	DARK	0.8197908796	.
112L1	  5	4	4269.25	1318.888	 659.444	 2098.645	DARK	0.0827874657	.
112L1	  6	4	2036.00	 351.537	 175.768	  559.373	DARK	0.2729345235	.
112L1	  7	4	2528.00	2911.097	1455.548	 4632.204	DARK	0.6797084713	.
112L1	  8	4	2619.50	2724.578	1362.289	 4335.411	DARK	0.8200910786	.
112L1	  9	4	1636.00	1205.012	 602.506	 1917.443	DARK	0.7227156249	.
112L1	 10	4	4381.75	2569.966	1284.983	 4089.390	DARK	0.3075551631	.
112L1	 11	4	2703.50	1962.111	 981.056	 3122.157	DARK	0.0714274889	.
112L1	 12	4	 665.25	 356.462	 178.231	  567.210	DARK	0.0971285994	.
112L1	 13	4	1858.50	2668.058	1334.029	 4245.475	LIGHT	0.3559975529	.
112L1	 14	4	1575.50	1547.854	 773.927	 2462.981	LIGHT	0.5383659270	.
112L1	 15	4	2533.25	1898.629	 949.314	 3021.142	LIGHT	0.9894961068	.
112L1	 16	4	 965.50	1015.565	 507.782	 1615.990	LIGHT	0.5601989322	.
112L1	 17	4	 941.75	1306.756	 653.378	 2079.340	LIGHT	0.2544236841	.
112L1	 18	4	1586.50	2471.243	1235.622	 3932.299	LIGHT	0.4955811832	.
112L1	 19	4	1478.50	1388.408	 694.204	 2209.266	LIGHT	0.2076161524	.
112L1	 20	4	 893.75	 863.480	 431.740	 1373.989	LIGHT	0.0859551052	.
112L1	 21	4	1800.50	1255.590	 627.795	 1997.924	LIGHT	0.0233398374	*
112L1	 22	4	 975.50	1420.506	 710.253	 2260.342	LIGHT	0.0731035398	.
112L1	 23	4	2839.75	4634.228	2317.114	 7374.091	LIGHT	0.2130173673	.
112L1	 24	4	1424.00	1254.127	 627.064	 1995.596	LIGHT	0.3543975835	.
112L1	 25	4	 694.00	 463.884	 231.942	  738.143	LIGHT	0.2111184771	.
112L1	 26	4	 743.25	 735.664	 367.832	 1170.605	LIGHT	0.2141463956	.
112L1	 27	4	 594.75	 519.896	 259.948	  827.271	LIGHT	0.2462745475	.
