Genotype	TimePoint	N	Z	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	101.25	125.074	 62.537	 199.021	DARK	0.60694746	.
112L1	  2	4	 88.25	 67.124	 33.562	 106.809	DARK	0.62402039	.
112L1	  3	4	 15.75	 31.500	 15.750	  50.124	DARK	0.32639703	.
112L1	  4	4	 87.00	100.023	 50.012	 159.159	DARK	0.49861408	.
112L1	  5	4	208.50	243.044	121.522	 386.737	DARK	0.46038699	.
112L1	  6	4	 95.75	 98.304	 49.152	 156.423	DARK	0.38068518	.
112L1	  7	4	102.00	126.343	 63.172	 201.041	DARK	0.55881132	.
112L1	  8	4	 25.75	 34.121	 17.061	  54.294	DARK	0.83345097	.
112L1	  9	4	 70.50	139.670	 69.835	 222.246	DARK	0.74685188	.
112L1	 10	4	184.00	115.594	 57.797	 183.936	DARK	0.11118067	.
112L1	 11	4	145.50	157.091	 78.546	 249.967	DARK	0.37965078	.
112L1	 12	4	 12.25	 24.500	 12.250	  38.985	DARK	0.15631850	.
112L1	 13	4	 25.50	 51.000	 25.500	  81.152	LIGHT	0.28801258	.
112L1	 14	4	 13.25	 26.500	 13.250	  42.167	LIGHT	0.36037142	.
112L1	 15	4	130.50	100.268	 50.134	 159.549	LIGHT	0.56489984	.
112L1	 16	4	 22.75	 44.177	 22.088	  70.295	LIGHT	0.43361440	.
112L1	 17	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.34742073	.
112L1	 18	4	  0.75	  1.500	  0.750	   2.387	LIGHT	0.45606328	.
112L1	 19	4	 36.75	 73.500	 36.750	 116.955	LIGHT	0.94065037	.
112L1	 20	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.60751334	.
112L1	 21	4	  8.75	 11.413	  5.706	  18.160	LIGHT	0.15083177	.
112L1	 22	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.41518534	.
112L1	 23	4	  7.75	 15.500	  7.750	  24.664	LIGHT	0.47265466	.
112L1	 24	4	  4.00	  4.690	  2.345	   7.463	LIGHT	0.31106560	.
112L1	 25	4	  2.00	  3.367	  1.683	   5.357	LIGHT	0.29290662	.
112L1	 26	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.49777373	.
112L1	 27	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.19386851	.
112L1	 28	4	  7.75	 15.500	  7.750	  24.664	LIGHT	0.46184525	.
112L1	 29	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.32794961	.
112L1	 30	4	 92.50	119.269	 59.634	 189.783	LIGHT	0.58875311	.
112L1	 31	4	 29.25	 44.507	 22.254	  70.821	LIGHT	0.34492576	.
112L1	 32	4	 30.25	 54.555	 27.278	  86.809	DARK	0.26890911	.
112L1	 33	4	155.25	271.147	135.574	 431.456	DARK	0.73265015	.
112L1	 34	4	 46.50	 64.588	 32.294	 102.775	DARK	0.51768685	.
112L1	 35	4	158.50	123.171	 61.585	 195.992	DARK	0.06107584	.
112L1	 36	4	 15.75	 29.534	 14.767	  46.995	DARK	0.40301376	.
112L1	 37	4	 36.25	 26.613	 13.306	  42.347	DARK	0.23704290	.
112L1	 38	4	135.25	 99.697	 49.849	 158.641	DARK	0.62867591	.
112L1	 39	4	 47.75	 33.470	 16.735	  53.258	DARK	0.30638238	.
112L1	 40	4	127.50	142.109	 71.055	 226.127	DARK	0.33916508	.
112L1	 41	4	 72.50	 52.284	 26.142	  83.196	DARK	0.47453831	.
112L1	 42	4	154.25	106.987	 53.494	 170.240	DARK	0.51907717	.
112L1	 43	4	 55.25	 64.892	 32.446	 103.257	DARK	0.37365920	.
112L1	 44	4	100.25	 88.861	 44.430	 141.397	DARK	0.68835584	.
112L1	 45	4	 44.50	 36.665	 18.333	  58.342	DARK	0.08462382	.
112L1	 46	4	107.00	214.000	107.000	 340.522	DARK	0.58274568	.
112L1	 47	4	  4.50	  9.000	  4.500	  14.321	DARK	0.43535720	.
112L1	 48	4	 39.25	 55.674	 27.837	  88.590	DARK	0.34103069	.
112L1	 49	4	 67.50	 87.611	 43.805	 139.408	DARK	0.45616184	.
112L1	 50	4	195.25	235.126	117.563	 374.138	LIGHT	0.31778068	.
112L1	 51	4	 15.00	 30.000	 15.000	  47.737	LIGHT	0.63416967	.
112L1	 52	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.44295125	.
112L1	 53	4	 18.75	 37.500	 18.750	  59.671	LIGHT	0.34676684	.
112L1	 54	4	  3.25	  6.500	  3.250	  10.343	LIGHT	0.46613667	.
112L1	 55	4	 24.50	 46.372	 23.186	  73.788	LIGHT	0.52797880	.
112L1	 56	4	  2.00	  4.000	  2.000	   6.365	LIGHT	0.47175163	.
112L1	 57	4	 19.00	 36.679	 18.339	  58.364	LIGHT	0.53684777	.
112L1	 58	4	  8.75	 17.500	  8.750	  27.846	LIGHT	0.57947830	.
112L1	 59	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.36971819	.
112L1	 60	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.40858600	.
112L1	 61	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.40534443	.
112L1	 62	4	  2.75	  5.500	  2.750	   8.752	LIGHT	0.47845091	.
112L1	 63	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.60133371	.
112L1	 64	4	  0.00	  0.000	  0.000	   0.000	LIGHT	0.52391985	.
