Genotype	TimePoint	N	CO2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	0.411	0.052	0.026	0.082	DARK	0.444012409	.
112L1	  2	4	0.431	0.114	0.057	0.181	DARK	0.525628688	.
112L1	  3	4	0.459	0.117	0.059	0.186	DARK	0.769688646	.
112L1	  4	4	0.438	0.081	0.040	0.129	DARK	0.380242038	.
112L1	  5	4	0.447	0.075	0.038	0.120	DARK	0.022626646	*
112L1	  6	4	0.458	0.093	0.047	0.149	DARK	0.018761476	*
112L1	  7	4	0.436	0.099	0.049	0.157	DARK	0.088008161	.
112L1	  8	4	0.442	0.117	0.058	0.186	DARK	0.065084448	.
112L1	  9	4	0.388	0.092	0.046	0.147	DARK	0.058692510	.
112L1	 10	4	0.402	0.091	0.045	0.144	DARK	0.047256542	*
112L1	 11	4	0.460	0.155	0.078	0.247	DARK	0.028430042	*
112L1	 12	4	0.351	0.085	0.043	0.136	DARK	0.008666085	**
112L1	 13	4	0.303	0.058	0.029	0.093	LIGHT	0.005930402	**
112L1	 14	4	0.376	0.177	0.089	0.282	LIGHT	0.115141559	.
112L1	 15	4	0.385	0.053	0.026	0.084	LIGHT	0.365181587	.
112L1	 16	4	0.305	0.056	0.028	0.089	LIGHT	0.020711749	*
112L1	 17	4	0.267	0.077	0.038	0.122	LIGHT	0.014620973	*
112L1	 18	4	0.308	0.130	0.065	0.206	LIGHT	0.150102243	.
112L1	 19	4	0.316	0.057	0.029	0.091	LIGHT	0.117684959	.
112L1	 20	4	0.276	0.035	0.018	0.056	LIGHT	0.031176004	*
112L1	 21	4	0.321	0.064	0.032	0.102	LIGHT	0.017225033	*
112L1	 22	4	0.281	0.023	0.012	0.037	LIGHT	0.068564405	.
112L1	 23	4	0.276	0.019	0.010	0.030	LIGHT	0.019675581	*
112L1	 24	4	0.339	0.084	0.042	0.133	LIGHT	0.588505785	.
112L1	 25	4	0.360	0.102	0.051	0.163	LIGHT	0.871776870	.
112L1	 26	4	0.326	0.071	0.036	0.113	LIGHT	0.096960404	.
112L1	 27	4	0.300	0.060	0.030	0.095	LIGHT	0.380380360	.
112L1	 28	4	0.294	0.040	0.020	0.064	LIGHT	0.075764043	.
112L1	 29	4	0.292	0.025	0.013	0.040	LIGHT	0.112283722	.
112L1	 30	4	0.333	0.048	0.024	0.076	LIGHT	0.053246557	.
112L1	 31	4	0.352	0.080	0.040	0.128	LIGHT	0.344759881	.
112L1	 32	4	0.378	0.080	0.040	0.127	DARK	0.328255464	.
112L1	 33	4	0.449	0.055	0.028	0.088	DARK	0.304390700	.
112L1	 34	4	0.436	0.075	0.038	0.120	DARK	0.830074509	.
112L1	 35	4	0.465	0.063	0.031	0.100	DARK	0.576323949	.
112L1	 36	4	0.444	0.085	0.042	0.135	DARK	0.925206843	.
112L1	 37	4	0.414	0.129	0.065	0.205	DARK	0.945854864	.
112L1	 38	4	0.432	0.076	0.038	0.121	DARK	0.544743113	.
112L1	 39	4	0.404	0.105	0.052	0.167	DARK	0.268496654	.
112L1	 40	4	0.422	0.123	0.061	0.195	DARK	0.070504954	.
112L1	 41	4	0.442	0.054	0.027	0.086	DARK	0.507039612	.
112L1	 42	4	0.467	0.108	0.054	0.172	DARK	0.069052492	.
112L1	 43	4	0.452	0.132	0.066	0.210	DARK	0.133981826	.
112L1	 44	4	0.489	0.128	0.064	0.204	DARK	0.205757821	.
112L1	 45	4	0.465	0.175	0.088	0.279	DARK	0.610750214	.
112L1	 46	4	0.451	0.183	0.091	0.291	DARK	0.760036531	.
112L1	 47	4	0.358	0.090	0.045	0.143	DARK	0.078787865	.
112L1	 48	4	0.370	0.076	0.038	0.122	DARK	0.076576404	.
112L1	 49	4	0.428	0.151	0.076	0.241	DARK	0.078456573	.
112L1	 50	4	0.398	0.065	0.033	0.104	LIGHT	0.151158392	.
112L1	 51	4	0.406	0.161	0.080	0.256	LIGHT	0.887104709	.
112L1	 52	4	0.331	0.134	0.067	0.213	LIGHT	0.102923781	.
112L1	 53	4	0.348	0.062	0.031	0.099	LIGHT	0.019504085	*
112L1	 54	4	0.330	0.094	0.047	0.149	LIGHT	0.065909497	.
112L1	 55	4	0.340	0.124	0.062	0.198	LIGHT	0.164159936	.
112L1	 56	4	0.333	0.079	0.040	0.126	LIGHT	0.041985659	*
112L1	 57	4	0.342	0.041	0.021	0.065	LIGHT	0.005021898	**
112L1	 58	4	0.360	0.136	0.068	0.216	LIGHT	0.774024584	.
112L1	 59	4	0.309	0.082	0.041	0.131	LIGHT	0.167347574	.
112L1	 60	4	0.326	0.079	0.039	0.125	LIGHT	0.220646192	.
112L1	 61	4	0.301	0.075	0.038	0.119	LIGHT	0.115709561	.
112L1	 62	4	0.317	0.080	0.040	0.128	LIGHT	0.717587654	.
112L1	 63	4	0.281	0.070	0.035	0.111	LIGHT	0.211095576	.
112L1	 64	4	0.304	0.082	0.041	0.130	LIGHT	0.071514998	.
112L1	 65	4	0.277	0.078	0.039	0.124	LIGHT	0.018758443	*
112L1	 66	4	0.404	0.127	0.063	0.201	LIGHT	0.632843677	.
112L1	 67	4	0.334	0.058	0.029	0.093	LIGHT	0.502886845	.
112L1	 68	4	0.347	0.106	0.053	0.169	LIGHT	0.618824396	.
112L1	 69	4	0.414	0.067	0.033	0.106	DARK	0.400916394	.
112L1	 70	4	0.403	0.061	0.030	0.097	DARK	0.244734392	.
112L1	 71	4	0.425	0.077	0.038	0.122	DARK	0.481274594	.
112L1	 72	4	0.448	0.118	0.059	0.187	DARK	0.526746053	.
112L1	 73	4	0.454	0.074	0.037	0.117	DARK	0.630305621	.
112L1	 74	4	0.445	0.098	0.049	0.156	DARK	0.723858417	.
112L1	 75	4	0.438	0.089	0.044	0.141	DARK	0.759966265	.
112L1	 76	4	0.440	0.081	0.040	0.128	DARK	0.208863154	.
112L1	 77	4	0.473	0.107	0.053	0.170	DARK	0.281171955	.
112L1	 78	4	0.482	0.137	0.068	0.218	DARK	0.145877001	.
112L1	 79	4	0.471	0.148	0.074	0.236	DARK	0.188078941	.
112L1	 80	4	0.469	0.150	0.075	0.238	DARK	0.572938263	.
112L1	 81	4	0.511	0.135	0.067	0.214	DARK	0.741852407	.
112L1	 82	4	0.445	0.119	0.060	0.189	DARK	0.004574666	***
112L1	 83	4	0.423	0.117	0.058	0.186	DARK	0.161727132	.
112L1	 84	4	0.426	0.128	0.064	0.203	DARK	0.171975394	.
112L1	 85	4	0.448	0.130	0.065	0.207	DARK	0.238165065	.
112L1	 86	4	0.473	0.129	0.065	0.206	DARK	0.373931529	.
112L1	 87	4	0.473	0.119	0.060	0.190	LIGHT	0.968681158	.
112L1	 88	4	0.391	0.090	0.045	0.143	LIGHT	0.431334148	.
112L1	 89	4	0.375	0.157	0.079	0.251	LIGHT	0.581830066	.
112L1	 90	4	0.375	0.094	0.047	0.149	LIGHT	0.011063096	*
112L1	 91	4	0.375	0.125	0.063	0.200	LIGHT	0.150272092	.
112L1	 92	4	0.339	0.130	0.065	0.207	LIGHT	0.164095227	.
112L1	 93	4	0.298	0.056	0.028	0.089	LIGHT	0.052724526	.
112L1	 94	4	0.357	0.064	0.032	0.101	LIGHT	0.397916406	.
112L1	 95	4	0.305	0.016	0.008	0.025	LIGHT	0.088734205	.
112L1	 96	4	0.332	0.062	0.031	0.099	LIGHT	0.238711531	.
112L1	 97	4	0.333	0.122	0.061	0.194	LIGHT	0.331227167	.
112L1	 98	4	0.312	0.094	0.047	0.150	LIGHT	0.551153390	.
112L1	 99	4	0.337	0.059	0.029	0.093	LIGHT	0.041782229	*
112L1	100	4	0.332	0.051	0.026	0.081	LIGHT	0.224516700	.
112L1	101	4	0.301	0.058	0.029	0.092	LIGHT	0.074818572	.
112L1	102	4	0.326	0.027	0.014	0.043	LIGHT	0.095849425	.
112L1	103	4	0.325	0.089	0.044	0.141	LIGHT	0.325868716	.
112L1	104	4	0.334	0.085	0.043	0.136	LIGHT	0.129711086	.
