Genotype	TimePoint	N	H.3.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	0.414	0.043	0.021	0.068	DARK	0.364401909	.
112L1	  2	4	0.426	0.127	0.063	0.202	DARK	0.445008040	.
112L1	  3	4	0.448	0.124	0.062	0.197	DARK	0.663440539	.
112L1	  4	4	0.422	0.086	0.043	0.137	DARK	0.227016167	.
112L1	  5	4	0.428	0.071	0.036	0.113	DARK	0.008450377	**
112L1	  6	4	0.445	0.080	0.040	0.127	DARK	0.004587255	***
112L1	  7	4	0.421	0.103	0.051	0.164	DARK	0.061065124	.
112L1	  8	4	0.422	0.125	0.062	0.199	DARK	0.080407292	.
112L1	  9	4	0.372	0.081	0.041	0.129	DARK	0.030125604	*
112L1	 10	4	0.390	0.071	0.036	0.113	DARK	0.025725730	*
112L1	 11	4	0.456	0.159	0.080	0.254	DARK	0.023762689	*
112L1	 12	4	0.327	0.075	0.038	0.120	DARK	0.006728552	**
112L1	 13	4	0.280	0.059	0.029	0.093	LIGHT	0.019482846	*
112L1	 14	4	0.363	0.180	0.090	0.286	LIGHT	0.125510753	.
112L1	 15	4	0.382	0.058	0.029	0.093	LIGHT	0.719219461	.
112L1	 16	4	0.287	0.057	0.029	0.091	LIGHT	0.035869934	*
112L1	 17	4	0.238	0.077	0.038	0.122	LIGHT	0.011178444	*
112L1	 18	4	0.282	0.128	0.064	0.204	LIGHT	0.131137493	.
112L1	 19	4	0.320	0.059	0.030	0.094	LIGHT	0.108429458	.
112L1	 20	4	0.266	0.036	0.018	0.057	LIGHT	0.063047469	.
112L1	 21	4	0.327	0.074	0.037	0.117	LIGHT	0.013034581	*
112L1	 22	4	0.284	0.016	0.008	0.026	LIGHT	0.061470971	.
112L1	 23	4	0.273	0.027	0.013	0.043	LIGHT	0.013327000	*
112L1	 24	4	0.357	0.096	0.048	0.153	LIGHT	0.639547503	.
112L1	 25	4	0.368	0.102	0.051	0.162	LIGHT	0.861042872	.
112L1	 26	4	0.323	0.083	0.041	0.132	LIGHT	0.088115683	.
112L1	 27	4	0.308	0.064	0.032	0.102	LIGHT	0.274536314	.
112L1	 28	4	0.292	0.053	0.026	0.084	LIGHT	0.054621614	.
112L1	 29	4	0.284	0.035	0.017	0.055	LIGHT	0.050577065	.
112L1	 30	4	0.344	0.066	0.033	0.105	LIGHT	0.094586737	.
112L1	 31	4	0.344	0.095	0.048	0.151	LIGHT	0.288884735	.
112L1	 32	4	0.378	0.098	0.049	0.156	DARK	0.326259662	.
112L1	 33	4	0.452	0.062	0.031	0.099	DARK	0.226453265	.
112L1	 34	4	0.417	0.079	0.039	0.125	DARK	0.841098685	.
112L1	 35	4	0.450	0.053	0.026	0.084	DARK	0.865063189	.
112L1	 36	4	0.436	0.107	0.054	0.170	DARK	0.773096656	.
112L1	 37	4	0.398	0.145	0.073	0.231	DARK	0.980576887	.
112L1	 38	4	0.415	0.078	0.039	0.124	DARK	0.604542539	.
112L1	 39	4	0.393	0.126	0.063	0.200	DARK	0.209184236	.
112L1	 40	4	0.410	0.132	0.066	0.210	DARK	0.048704172	*
112L1	 41	4	0.433	0.080	0.040	0.127	DARK	0.479849038	.
112L1	 42	4	0.450	0.117	0.059	0.187	DARK	0.040688820	*
112L1	 43	4	0.439	0.138	0.069	0.220	DARK	0.080848658	.
112L1	 44	4	0.472	0.130	0.065	0.207	DARK	0.188612389	.
112L1	 45	4	0.450	0.186	0.093	0.297	DARK	0.563605711	.
112L1	 46	4	0.432	0.195	0.098	0.311	DARK	0.803469653	.
112L1	 47	4	0.329	0.084	0.042	0.133	DARK	0.053499430	.
112L1	 48	4	0.347	0.087	0.043	0.138	DARK	0.056603036	.
112L1	 49	4	0.406	0.166	0.083	0.265	DARK	0.090430514	.
112L1	 50	4	0.374	0.047	0.023	0.074	LIGHT	0.139210048	.
112L1	 51	4	0.374	0.166	0.083	0.264	LIGHT	0.880191892	.
112L1	 52	4	0.290	0.143	0.071	0.227	LIGHT	0.075217387	.
112L1	 53	4	0.322	0.047	0.023	0.074	LIGHT	0.010130953	*
112L1	 54	4	0.301	0.094	0.047	0.150	LIGHT	0.064264122	.
112L1	 55	4	0.327	0.153	0.077	0.244	LIGHT	0.231189125	.
112L1	 56	4	0.325	0.099	0.049	0.157	LIGHT	0.100189275	.
112L1	 57	4	0.336	0.062	0.031	0.098	LIGHT	0.021047965	*
112L1	 58	4	0.358	0.139	0.070	0.222	LIGHT	0.828513953	.
112L1	 59	4	0.295	0.074	0.037	0.118	LIGHT	0.127866894	.
112L1	 60	4	0.312	0.073	0.037	0.116	LIGHT	0.210817827	.
112L1	 61	4	0.287	0.070	0.035	0.112	LIGHT	0.074816958	.
112L1	 62	4	0.306	0.072	0.036	0.115	LIGHT	0.718201153	.
112L1	 63	4	0.278	0.077	0.038	0.122	LIGHT	0.165324058	.
112L1	 64	4	0.309	0.103	0.052	0.164	LIGHT	0.079318005	.
112L1	 65	4	0.265	0.081	0.041	0.130	LIGHT	0.010947464	*
112L1	 66	4	0.422	0.126	0.063	0.200	LIGHT	0.489700355	.
112L1	 67	4	0.317	0.067	0.033	0.106	LIGHT	0.423142290	.
112L1	 68	4	0.333	0.119	0.059	0.189	LIGHT	0.595250521	.
112L1	 69	4	0.412	0.069	0.034	0.110	DARK	0.588867346	.
112L1	 70	4	0.390	0.053	0.027	0.085	DARK	0.224809641	.
112L1	 71	4	0.417	0.087	0.043	0.138	DARK	0.421539059	.
112L1	 72	4	0.442	0.102	0.051	0.162	DARK	0.229213698	.
112L1	 73	4	0.436	0.048	0.024	0.076	DARK	0.542438368	.
112L1	 74	4	0.429	0.089	0.045	0.142	DARK	0.749948789	.
112L1	 75	4	0.418	0.070	0.035	0.112	DARK	0.730340945	.
112L1	 76	4	0.423	0.086	0.043	0.136	DARK	0.064254013	.
112L1	 77	4	0.461	0.113	0.056	0.179	DARK	0.135119677	.
112L1	 78	4	0.464	0.137	0.069	0.218	DARK	0.060649243	.
112L1	 79	4	0.456	0.162	0.081	0.257	DARK	0.162931955	.
112L1	 80	4	0.456	0.157	0.079	0.250	DARK	0.443951881	.
112L1	 81	4	0.504	0.134	0.067	0.213	DARK	0.701615483	.
112L1	 82	4	0.415	0.119	0.059	0.189	DARK	0.003308834	***
112L1	 83	4	0.393	0.103	0.051	0.163	DARK	0.084992950	.
112L1	 84	4	0.409	0.116	0.058	0.184	DARK	0.090643125	.
112L1	 85	4	0.434	0.130	0.065	0.207	DARK	0.183848061	.
112L1	 86	4	0.452	0.115	0.058	0.183	DARK	0.305199872	.
112L1	 87	4	0.447	0.111	0.055	0.176	LIGHT	0.896727267	.
112L1	 88	4	0.358	0.078	0.039	0.125	LIGHT	0.406022978	.
112L1	 89	4	0.360	0.178	0.089	0.282	LIGHT	0.591788939	.
112L1	 90	4	0.360	0.103	0.052	0.164	LIGHT	0.008939051	**
112L1	 91	4	0.339	0.121	0.061	0.193	LIGHT	0.112569145	.
112L1	 92	4	0.311	0.133	0.067	0.212	LIGHT	0.112598447	.
112L1	 93	4	0.282	0.070	0.035	0.112	LIGHT	0.036094553	*
112L1	 94	4	0.368	0.072	0.036	0.114	LIGHT	0.404115186	.
112L1	 95	4	0.306	0.040	0.020	0.064	LIGHT	0.020700676	*
112L1	 96	4	0.333	0.090	0.045	0.142	LIGHT	0.199005079	.
112L1	 97	4	0.324	0.137	0.069	0.218	LIGHT	0.290735469	.
112L1	 98	4	0.296	0.100	0.050	0.160	LIGHT	0.478837967	.
112L1	 99	4	0.323	0.074	0.037	0.118	LIGHT	0.037578638	*
112L1	100	4	0.320	0.065	0.032	0.103	LIGHT	0.177507362	.
112L1	101	4	0.282	0.070	0.035	0.111	LIGHT	0.043838274	*
112L1	102	4	0.325	0.032	0.016	0.051	LIGHT	0.077183558	.
112L1	103	4	0.322	0.114	0.057	0.181	LIGHT	0.291918736	.
112L1	104	4	0.334	0.100	0.050	0.160	LIGHT	0.152618857	.
112L1	105	4	0.309	0.084	0.042	0.134	DARK	0.149690541	.
112L1	106	4	0.422	0.073	0.037	0.117	DARK	0.525856884	.
112L1	107	4	0.432	0.112	0.056	0.179	DARK	0.928574073	.
112L1	108	4	0.391	0.054	0.027	0.086	DARK	0.474723791	.
112L1	109	4	0.422	0.086	0.043	0.136	DARK	0.977100870	.
112L1	110	4	0.469	0.058	0.029	0.092	DARK	0.840067580	.
112L1	111	4	0.410	0.100	0.050	0.159	DARK	0.330429896	.
112L2	  1	4	0.502	0.125	0.062	0.199	DARK	0.364401909	.
112L2	  2	4	0.528	0.129	0.065	0.206	DARK	0.445008040	.
112L2	  3	4	0.528	0.129	0.064	0.205	DARK	0.663440539	.
112L2	  4	4	0.534	0.105	0.053	0.167	DARK	0.227016167	.
112L2	  5	4	0.574	0.032	0.016	0.050	DARK	0.008450377	**
112L2	  6	4	0.586	0.082	0.041	0.131	DARK	0.004587255	***
112L2	  7	4	0.531	0.073	0.036	0.116	DARK	0.061065124	.
112L2	  8	4	0.568	0.088	0.044	0.140	DARK	0.080407292	.
112L2	  9	4	0.518	0.085	0.042	0.135	DARK	0.030125604	*
112L2	 10	4	0.483	0.057	0.028	0.090	DARK	0.025725730	*
112L2	 11	4	0.575	0.046	0.023	0.073	DARK	0.023762689	*
112L2	 12	4	0.589	0.112	0.056	0.179	DARK	0.006728552	**
112L2	 13	4	0.502	0.090	0.045	0.143	LIGHT	0.019482846	*
112L2	 14	4	0.589	0.110	0.055	0.175	LIGHT	0.125510753	.
112L2	 15	4	0.448	0.075	0.037	0.119	LIGHT	0.719219461	.
112L2	 16	4	0.458	0.117	0.058	0.186	LIGHT	0.035869934	*
112L2	 17	4	0.520	0.156	0.078	0.249	LIGHT	0.011178444	*
112L2	 18	4	0.494	0.135	0.068	0.216	LIGHT	0.131137493	.
112L2	 19	4	0.432	0.049	0.025	0.078	LIGHT	0.108429458	.
112L2	 20	4	0.391	0.018	0.009	0.029	LIGHT	0.063047469	.
112L2	 21	4	0.474	0.078	0.039	0.125	LIGHT	0.013034581	*
112L2	 22	4	0.442	0.150	0.075	0.239	LIGHT	0.061470971	.
112L2	 23	4	0.436	0.099	0.050	0.158	LIGHT	0.013327000	*
112L2	 24	4	0.420	0.097	0.049	0.155	LIGHT	0.639547503	.
112L2	 25	4	0.374	0.029	0.014	0.046	LIGHT	0.861042872	.
112L2	 26	4	0.420	0.033	0.016	0.052	LIGHT	0.088115683	.
112L2	 27	4	0.398	0.071	0.036	0.114	LIGHT	0.274536314	.
