Genotype	TimePoint	N	O2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	20.428	0.039	0.020	0.063	DARK	0.366256470	.
112L1	  2	4	20.407	0.117	0.059	0.186	DARK	0.434084966	.
112L1	  3	4	20.387	0.113	0.056	0.180	DARK	0.646863604	.
112L1	  4	4	20.410	0.079	0.039	0.125	DARK	0.227670821	.
112L1	  5	4	20.405	0.066	0.033	0.105	DARK	0.008867388	**
112L1	  6	4	20.390	0.073	0.036	0.115	DARK	0.004569157	***
112L1	  7	4	20.413	0.095	0.048	0.152	DARK	0.061510949	.
112L1	  8	4	20.410	0.116	0.058	0.184	DARK	0.083489925	.
112L1	  9	4	20.458	0.074	0.037	0.118	DARK	0.030664053	*
112L1	 10	4	20.440	0.065	0.033	0.104	DARK	0.026563301	*
112L1	 11	4	20.380	0.147	0.074	0.234	DARK	0.024183657	*
112L1	 12	4	20.497	0.070	0.035	0.111	DARK	0.007344617	**
112L1	 13	4	20.545	0.058	0.029	0.092	LIGHT	0.019460612	*
112L1	 14	4	20.468	0.169	0.084	0.269	LIGHT	0.124896373	.
112L1	 15	4	20.447	0.054	0.027	0.087	LIGHT	0.721909703	.
112L1	 16	4	20.538	0.057	0.029	0.091	LIGHT	0.036425375	*
112L1	 17	4	20.582	0.075	0.038	0.120	LIGHT	0.012307440	*
112L1	 18	4	20.545	0.123	0.061	0.196	LIGHT	0.132129502	.
112L1	 19	4	20.515	0.055	0.028	0.088	LIGHT	0.112113846	.
112L1	 20	4	20.558	0.038	0.019	0.060	LIGHT	0.062705711	.
112L1	 21	4	20.508	0.067	0.034	0.107	LIGHT	0.013007972	*
112L1	 22	4	20.548	0.015	0.007	0.024	LIGHT	0.062302899	.
112L1	 23	4	20.560	0.029	0.015	0.047	LIGHT	0.012756317	*
112L1	 24	4	20.480	0.090	0.045	0.143	LIGHT	0.645623364	.
112L1	 25	4	20.460	0.094	0.047	0.150	LIGHT	0.844848717	.
112L1	 26	4	20.505	0.081	0.040	0.128	LIGHT	0.096646153	.
112L1	 27	4	20.528	0.064	0.032	0.103	LIGHT	0.269865185	.
112L1	 28	4	20.530	0.050	0.025	0.079	LIGHT	0.056245657	.
112L1	 29	4	20.538	0.032	0.016	0.051	LIGHT	0.050723831	.
112L1	 30	4	20.483	0.061	0.031	0.098	LIGHT	0.094546861	.
112L1	 31	4	20.483	0.088	0.044	0.140	LIGHT	0.290677202	.
112L1	 32	4	20.452	0.089	0.045	0.142	DARK	0.316968764	.
112L1	 33	4	20.382	0.057	0.028	0.090	DARK	0.221370324	.
112L1	 34	4	20.405	0.073	0.037	0.117	DARK	0.843227205	.
112L1	 35	4	20.385	0.049	0.025	0.078	DARK	0.860696020	.
112L1	 36	4	20.398	0.099	0.050	0.158	DARK	0.770805178	.
112L1	 37	4	20.433	0.134	0.067	0.213	DARK	0.981695079	.
112L1	 38	4	20.418	0.071	0.036	0.114	DARK	0.594520115	.
112L1	 39	4	20.438	0.116	0.058	0.185	DARK	0.209699510	.
112L1	 40	4	20.425	0.126	0.063	0.200	DARK	0.051795538	.
112L1	 41	4	20.400	0.074	0.037	0.118	DARK	0.487149846	.
112L1	 42	4	20.385	0.108	0.054	0.173	DARK	0.040717226	*
112L1	 43	4	20.395	0.128	0.064	0.203	DARK	0.080851488	.
112L1	 44	4	20.355	0.120	0.060	0.190	DARK	0.186903303	.
112L1	 45	4	20.387	0.176	0.088	0.280	DARK	0.578911669	.
112L1	 46	4	20.405	0.184	0.092	0.293	DARK	0.800296884	.
112L1	 47	4	20.500	0.082	0.041	0.130	DARK	0.055100537	.
112L1	 48	4	20.480	0.080	0.040	0.128	DARK	0.057269585	.
112L1	 49	4	20.428	0.158	0.079	0.251	DARK	0.095491498	.
112L1	 50	4	20.445	0.042	0.021	0.067	LIGHT	0.141696749	.
112L1	 51	4	20.448	0.156	0.078	0.249	LIGHT	0.866703448	.
112L1	 52	4	20.525	0.136	0.068	0.216	LIGHT	0.076900078	.
112L1	 53	4	20.492	0.043	0.021	0.068	LIGHT	0.010119681	*
112L1	 54	4	20.515	0.092	0.046	0.146	LIGHT	0.066770704	.
112L1	 55	4	20.500	0.145	0.073	0.231	LIGHT	0.236069851	.
112L1	 56	4	20.500	0.091	0.046	0.145	LIGHT	0.104065406	.
112L1	 57	4	20.490	0.057	0.029	0.091	LIGHT	0.022779895	*
112L1	 58	4	20.470	0.128	0.064	0.204	LIGHT	0.827281879	.
112L1	 59	4	20.528	0.068	0.034	0.109	LIGHT	0.129461082	.
112L1	 60	4	20.502	0.067	0.033	0.106	LIGHT	0.210887904	.
112L1	 61	4	20.525	0.065	0.032	0.103	LIGHT	0.080024365	.
112L1	 62	4	20.508	0.066	0.033	0.105	LIGHT	0.723801833	.
112L1	 63	4	20.545	0.075	0.038	0.119	LIGHT	0.172827080	.
112L1	 64	4	20.517	0.099	0.049	0.157	LIGHT	0.084331475	.
112L1	 65	4	20.548	0.079	0.039	0.126	LIGHT	0.011614941	*
112L1	 66	4	20.410	0.116	0.058	0.184	LIGHT	0.487939139	.
112L1	 67	4	20.498	0.061	0.031	0.098	LIGHT	0.426863756	.
112L1	 68	4	20.483	0.110	0.055	0.175	LIGHT	0.603763974	.
112L1	 69	4	20.420	0.064	0.032	0.101	DARK	0.576376200	.
112L1	 70	4	20.440	0.050	0.025	0.079	DARK	0.220847430	.
112L1	 71	4	20.415	0.080	0.040	0.128	DARK	0.432724701	.
112L1	 72	4	20.393	0.094	0.047	0.150	DARK	0.231462107	.
112L1	 73	4	20.398	0.045	0.023	0.072	DARK	0.548049222	.
112L1	 74	4	20.405	0.082	0.041	0.131	DARK	0.740265671	.
112L1	 75	4	20.415	0.065	0.032	0.103	DARK	0.727215763	.
