Genotype	TimePoint	N	RER	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	0.850	0.072	0.036	0.114	DARK	0.44525481	.
112L1	  2	4	0.877	0.076	0.038	0.121	DARK	0.54951613	.
112L1	  3	4	0.903	0.055	0.027	0.088	DARK	0.56142519	.
112L1	  4	4	0.906	0.060	0.030	0.096	DARK	0.69838605	.
112L1	  5	4	0.916	0.084	0.042	0.133	DARK	0.89508316	.
112L1	  6	4	0.902	0.075	0.038	0.120	DARK	0.60239222	.
112L1	  7	4	0.910	0.088	0.044	0.140	DARK	0.92019625	.
112L1	  8	4	0.924	0.060	0.030	0.096	DARK	0.19361510	.
112L1	  9	4	0.891	0.091	0.046	0.145	DARK	0.81860081	.
112L1	 10	4	0.885	0.111	0.056	0.177	DARK	0.76276464	.
112L1	 11	4	0.885	0.096	0.048	0.152	DARK	0.77630978	.
112L1	 12	4	0.890	0.088	0.044	0.141	DARK	0.85653009	.
112L1	 13	4	0.874	0.092	0.046	0.146	LIGHT	0.61578315	.
112L1	 14	4	0.855	0.089	0.044	0.141	LIGHT	0.29351760	.
112L1	 15	4	0.868	0.081	0.041	0.130	LIGHT	0.08177382	.
112L1	 16	4	0.848	0.084	0.042	0.133	LIGHT	0.31251978	.
112L1	 17	4	0.843	0.117	0.059	0.186	LIGHT	0.49260206	.
112L1	 18	4	0.870	0.085	0.042	0.135	LIGHT	0.64169473	.
112L1	 19	4	0.799	0.082	0.041	0.131	LIGHT	0.44240415	.
112L1	 20	4	0.819	0.086	0.043	0.137	LIGHT	0.30448424	.
112L1	 21	4	0.806	0.056	0.028	0.089	LIGHT	0.22922424	.
112L1	 22	4	0.791	0.072	0.036	0.115	LIGHT	0.17429437	.
112L1	 23	4	0.815	0.050	0.025	0.080	LIGHT	0.51076281	.
112L1	 24	4	0.793	0.037	0.019	0.060	LIGHT	0.59841739	.
112L1	 25	4	0.823	0.057	0.029	0.091	LIGHT	0.79374490	.
112L1	 26	4	0.852	0.068	0.034	0.108	LIGHT	0.75159443	.
112L1	 27	4	0.792	0.070	0.035	0.111	LIGHT	0.96221264	.
112L1	 28	4	0.830	0.045	0.022	0.071	LIGHT	0.95937423	.
112L1	 29	4	0.845	0.063	0.031	0.100	LIGHT	0.84296858	.
112L1	 30	4	0.814	0.024	0.012	0.038	LIGHT	0.28639816	.
112L1	 31	4	0.877	0.035	0.017	0.055	LIGHT	0.85363426	.
112L1	 32	4	0.866	0.033	0.016	0.052	DARK	0.55414535	.
112L1	 33	4	0.872	0.027	0.014	0.044	DARK	0.45384011	.
112L1	 34	4	0.909	0.055	0.028	0.088	DARK	0.67492965	.
112L1	 35	4	0.911	0.060	0.030	0.095	DARK	0.36646722	.
112L1	 36	4	0.895	0.063	0.031	0.100	DARK	0.31449152	.
112L1	 37	4	0.899	0.049	0.024	0.077	DARK	0.32522580	.
112L1	 38	4	0.908	0.068	0.034	0.108	DARK	0.24080543	.
112L1	 39	4	0.879	0.060	0.030	0.096	DARK	0.36151860	.
112L1	 40	4	0.880	0.073	0.037	0.116	DARK	0.74596914	.
112L1	 41	4	0.892	0.080	0.040	0.128	DARK	0.77691545	.
112L1	 42	4	0.913	0.055	0.028	0.088	DARK	0.78036767	.
112L1	 43	4	0.890	0.058	0.029	0.092	DARK	0.51848376	.
112L1	 44	4	0.918	0.080	0.040	0.127	DARK	0.41628606	.
112L1	 45	4	0.900	0.073	0.037	0.116	DARK	0.59883824	.
112L1	 46	4	0.911	0.063	0.032	0.101	DARK	0.80313836	.
112L1	 47	4	0.910	0.095	0.047	0.151	DARK	0.97753558	.
112L1	 48	4	0.905	0.093	0.046	0.148	DARK	0.92545946	.
112L1	 49	4	0.910	0.072	0.036	0.114	DARK	0.63602653	.
112L1	 50	4	0.905	0.095	0.047	0.151	LIGHT	0.78247990	.
112L1	 51	4	0.920	0.107	0.053	0.170	LIGHT	0.95885307	.
112L1	 52	4	0.942	0.045	0.022	0.071	LIGHT	0.80039103	.
112L1	 53	4	0.895	0.112	0.056	0.177	LIGHT	0.81884227	.
112L1	 54	4	0.897	0.067	0.034	0.107	LIGHT	0.61017330	.
112L1	 55	4	0.864	0.116	0.058	0.185	LIGHT	0.65648125	.
112L1	 56	4	0.861	0.093	0.046	0.148	LIGHT	0.30598904	.
112L1	 57	4	0.867	0.072	0.036	0.115	LIGHT	0.27229577	.
112L1	 58	4	0.855	0.079	0.040	0.126	LIGHT	0.46220393	.
112L1	 59	4	0.866	0.092	0.046	0.147	LIGHT	0.78839763	.
112L1	 60	4	0.884	0.100	0.050	0.159	LIGHT	0.66165511	.
112L1	 61	4	0.863	0.080	0.040	0.127	LIGHT	0.62832634	.
112L1	 62	4	0.860	0.081	0.041	0.129	LIGHT	0.85274974	.
112L1	 63	4	0.817	0.064	0.032	0.102	LIGHT	0.76664755	.
112L1	 64	4	0.818	0.036	0.018	0.057	LIGHT	0.52906157	.
112L1	 65	4	0.839	0.070	0.035	0.111	LIGHT	0.51668128	.
112L1	 66	4	0.820	0.081	0.040	0.129	LIGHT	0.74531964	.
112L1	 67	4	0.905	0.064	0.032	0.102	LIGHT	0.84352726	.
112L1	 68	4	0.890	0.045	0.022	0.071	LIGHT	0.30080129	.
112L1	 69	4	0.885	0.075	0.038	0.120	DARK	0.08602057	.
112L1	 70	4	0.893	0.055	0.028	0.088	DARK	0.14071228	.
112L1	 71	4	0.886	0.062	0.031	0.098	DARK	0.26248994	.
112L1	 72	4	0.878	0.105	0.052	0.167	DARK	0.31852828	.
112L1	 73	4	0.919	0.122	0.061	0.193	DARK	0.69847846	.
112L1	 74	4	0.909	0.099	0.050	0.158	DARK	0.48805111	.
112L1	 75	4	0.915	0.108	0.054	0.171	DARK	0.80625604	.
112L1	 76	4	0.915	0.060	0.030	0.096	DARK	0.59670612	.
112L1	 77	4	0.912	0.046	0.023	0.073	DARK	0.72761895	.
112L1	 78	4	0.922	0.054	0.027	0.086	DARK	0.60609436	.
112L1	 79	4	0.914	0.063	0.031	0.100	DARK	0.99680412	.
112L1	 80	4	0.905	0.079	0.040	0.126	DARK	0.58542317	.
112L1	 81	4	0.908	0.077	0.038	0.122	DARK	0.74603842	.
112L1	 82	4	0.952	0.041	0.021	0.065	DARK	0.45708687	.
112L1	 83	4	0.937	0.096	0.048	0.152	DARK	0.96315448	.
112L1	 84	4	0.898	0.104	0.052	0.166	DARK	0.98598152	.
112L1	 85	4	0.904	0.083	0.042	0.132	DARK	0.88391901	.
112L1	 86	4	0.925	0.104	0.052	0.166	DARK	0.87241836	.
112L1	 87	4	0.940	0.077	0.039	0.123	LIGHT	0.82493236	.
112L1	 88	4	0.943	0.084	0.042	0.134	LIGHT	0.90430030	.
112L1	 89	4	0.894	0.112	0.056	0.178	LIGHT	0.69185810	.
112L1	 90	4	0.905	0.115	0.057	0.183	LIGHT	0.99380506	.
112L1	 91	4	0.918	0.116	0.058	0.184	LIGHT	0.90127682	.
