Genotype	TimePoint	N	Temp	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	21.725	0.457	0.229	0.728	DARK	0.6697164	.
112L1	  2	4	21.725	0.457	0.229	0.728	DARK	0.7035311	.
112L1	  3	4	21.725	0.457	0.229	0.728	DARK	0.7432510	.
112L1	  4	4	21.725	0.457	0.229	0.728	DARK	0.7653944	.
112L1	  5	4	21.725	0.457	0.229	0.728	DARK	0.6509529	.
112L1	  6	4	21.725	0.457	0.229	0.728	DARK	0.6509529	.
112L1	  7	4	21.700	0.469	0.235	0.746	DARK	0.6672302	.
112L1	  8	4	21.725	0.450	0.225	0.716	DARK	0.6876836	.
112L1	  9	4	21.700	0.469	0.235	0.746	DARK	0.7052840	.
112L1	 10	4	21.700	0.469	0.235	0.746	DARK	0.7221356	.
112L1	 11	4	21.725	0.450	0.225	0.716	DARK	0.7007423	.
112L1	 12	4	21.725	0.450	0.225	0.716	DARK	0.7007423	.
112L1	 13	4	21.725	0.450	0.225	0.716	LIGHT	0.7540747	.
112L1	 14	4	21.700	0.469	0.235	0.746	LIGHT	0.7022348	.
112L1	 15	4	21.700	0.469	0.235	0.746	LIGHT	0.7022348	.
112L1	 16	4	21.675	0.486	0.243	0.773	LIGHT	0.6644739	.
112L1	 17	4	21.725	0.450	0.225	0.716	LIGHT	0.5741569	.
112L1	 18	4	21.675	0.486	0.243	0.773	LIGHT	0.5335263	.
112L1	 19	4	21.675	0.486	0.243	0.773	LIGHT	0.6644739	.
112L1	 20	4	21.700	0.469	0.235	0.746	LIGHT	0.7022348	.
112L1	 21	4	21.725	0.450	0.225	0.716	LIGHT	0.6843936	.
112L1	 22	4	21.700	0.469	0.235	0.746	LIGHT	0.6473180	.
112L1	 23	4	21.700	0.469	0.235	0.746	LIGHT	0.7196483	.
112L1	 24	4	21.725	0.457	0.229	0.728	LIGHT	0.8037811	.
112L1	 25	4	21.725	0.457	0.229	0.728	LIGHT	0.7071587	.
112L1	 26	4	21.700	0.469	0.235	0.746	LIGHT	0.8028754	.
112L1	 27	4	21.725	0.457	0.229	0.728	LIGHT	0.7071587	.
112L1	 28	4	21.725	0.457	0.229	0.728	LIGHT	0.6692885	.
112L1	 29	4	21.725	0.457	0.229	0.728	LIGHT	0.6692885	.
112L1	 30	4	21.725	0.457	0.229	0.728	LIGHT	0.6387954	.
112L1	 31	4	21.725	0.457	0.229	0.728	LIGHT	0.6692885	.
112L1	 32	4	21.750	0.451	0.225	0.718	DARK	0.7263229	.
112L1	 33	4	21.725	0.479	0.239	0.762	DARK	0.7608218	.
112L1	 34	4	21.725	0.479	0.239	0.762	DARK	0.8719779	.
112L1	 35	4	21.750	0.480	0.240	0.763	DARK	0.8658003	.
112L1	 36	4	21.750	0.480	0.240	0.763	DARK	0.8760234	.
112L1	 37	4	21.750	0.480	0.240	0.763	DARK	0.8889853	.
112L1	 38	4	21.750	0.480	0.240	0.763	DARK	0.8857003	.
112L1	 39	4	21.725	0.435	0.217	0.692	DARK	0.8466288	.
112L1	 40	4	21.725	0.435	0.217	0.692	DARK	0.8516205	.
112L1	 41	4	21.725	0.435	0.217	0.692	DARK	0.8466288	.
112L1	 42	4	21.750	0.480	0.240	0.763	DARK	0.8760234	.
112L1	 43	4	21.725	0.435	0.217	0.692	DARK	0.8063392	.
112L1	 44	4	21.750	0.480	0.240	0.763	DARK	0.8857003	.
112L1	 45	4	21.750	0.480	0.240	0.763	DARK	0.8782860	.
112L1	 46	4	21.750	0.480	0.240	0.763	DARK	0.8857003	.
112L1	 47	4	21.750	0.480	0.240	0.763	DARK	0.9123461	.
112L1	 48	4	21.750	0.480	0.240	0.763	DARK	0.9032270	.
112L1	 49	4	21.750	0.480	0.240	0.763	DARK	0.8384410	.
112L1	 50	4	21.725	0.479	0.239	0.762	LIGHT	0.9059341	.
112L1	 51	4	21.725	0.479	0.239	0.762	LIGHT	0.7825015	.
112L1	 52	4	21.725	0.479	0.239	0.762	LIGHT	0.7986996	.
112L1	 53	4	21.725	0.479	0.239	0.762	LIGHT	0.7978135	.
112L1	 54	4	21.725	0.479	0.239	0.762	LIGHT	0.8296653	.
112L1	 55	4	21.725	0.479	0.239	0.762	LIGHT	0.8296653	.
112L1	 56	4	21.725	0.479	0.239	0.762	LIGHT	0.8604046	.
112L1	 57	4	21.700	0.483	0.242	0.769	LIGHT	0.8612753	.
112L1	 58	4	21.700	0.483	0.242	0.769	LIGHT	0.8612753	.
112L1	 59	4	21.700	0.483	0.242	0.769	LIGHT	0.7934965	.
112L1	 60	4	21.700	0.483	0.242	0.769	LIGHT	0.7753273	.
112L1	 61	4	21.700	0.483	0.242	0.769	LIGHT	0.7753273	.
112L1	 62	4	21.700	0.483	0.242	0.769	LIGHT	0.7753273	.
112L1	 63	4	21.725	0.457	0.229	0.728	LIGHT	0.7071587	.
112L1	 64	4	21.700	0.469	0.235	0.746	LIGHT	0.7168874	.
112L1	 65	4	21.675	0.419	0.210	0.667	LIGHT	0.7423067	.
112L1	 66	4	21.675	0.486	0.243	0.773	LIGHT	0.8009756	.
112L1	 67	4	21.650	0.436	0.218	0.694	LIGHT	0.7337461	.
112L1	 68	4	21.650	0.436	0.218	0.694	LIGHT	0.7337461	.
112L1	 69	4	21.650	0.500	0.250	0.796	DARK	0.7289054	.
112L1	 70	4	21.700	0.469	0.235	0.746	DARK	0.7560288	.
112L1	 71	4	21.700	0.400	0.200	0.636	DARK	0.7659850	.
112L1	 72	4	21.650	0.436	0.218	0.694	DARK	0.7510131	.
112L1	 73	4	21.650	0.436	0.218	0.694	DARK	0.7015143	.
112L1	 74	4	21.700	0.408	0.204	0.650	DARK	0.6209193	.
112L1	 75	4	21.675	0.427	0.214	0.680	DARK	0.6905447	.
112L1	 76	4	21.675	0.427	0.214	0.680	DARK	0.6362795	.
112L1	 77	4	21.675	0.419	0.210	0.667	DARK	0.5953985	.
112L1	 78	4	21.650	0.436	0.218	0.694	DARK	0.5515957	.
112L1	 79	4	21.650	0.436	0.218	0.694	DARK	0.6712546	.
112L1	 80	4	21.650	0.436	0.218	0.694	DARK	0.7585075	.
112L1	 81	4	21.650	0.436	0.218	0.694	DARK	0.7219804	.
112L1	 82	4	21.650	0.436	0.218	0.694	DARK	0.6703357	.
112L1	 83	4	21.650	0.436	0.218	0.694	DARK	0.6975423	.
