Genotype	TimePoint	N	VCO2.2.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 950.25	161.550	 80.775	257.061	DARK	0.92438338	.
112L1	  2	4	 979.75	241.704	120.852	384.605	DARK	0.98181425	.
112L1	  3	4	1067.75	287.025	143.513	456.721	DARK	0.92876306	.
112L1	  4	4	1007.00	173.103	 86.552	275.446	DARK	0.88930837	.
112L1	  5	4	1026.75	 83.906	 41.953	133.513	DARK	0.09304159	.
112L1	  6	4	1066.25	215.268	107.634	342.539	DARK	0.07016515	.
112L1	  7	4	 999.25	177.130	 88.565	281.853	DARK	0.23977957	.
112L1	  8	4	1007.75	217.768	108.884	346.518	DARK	0.14552573	.
112L1	  9	4	 875.75	191.895	 95.947	305.347	DARK	0.27660084	.
112L1	 10	4	 937.00	269.720	134.860	429.184	DARK	0.26289201	.
112L1	 11	4	1060.00	358.263	179.132	570.077	DARK	0.06386883	.
112L1	 12	4	 772.50	184.200	 92.100	293.103	DARK	0.04392363	*
112L1	 13	4	 644.50	104.123	 52.062	165.683	LIGHT	0.01914646	*
112L1	 14	4	 830.50	441.840	220.920	703.067	LIGHT	0.36756354	.
112L1	 15	4	 878.00	 56.527	 28.264	 89.948	LIGHT	0.96408034	.
112L1	 16	4	 644.75	 77.332	 38.666	123.053	LIGHT	0.07474466	.
112L1	 17	4	 531.25	167.782	 83.891	266.979	LIGHT	0.03596014	*
112L1	 18	4	 657.50	327.905	163.952	521.770	LIGHT	0.40813504	.
112L1	 19	4	 710.75	237.420	118.710	377.788	LIGHT	0.81495604	.
112L1	 20	4	 590.00	111.630	 55.815	177.629	LIGHT	0.34918630	.
112L1	 21	4	 710.25	134.110	 67.055	213.399	LIGHT	0.07039963	.
112L1	 22	4	 612.00	 71.213	 35.607	113.316	LIGHT	0.22954190	.
112L1	 23	4	 610.00	133.858	 66.929	212.998	LIGHT	0.18767128	.
112L1	 24	4	 793.50	307.343	153.671	489.051	LIGHT	0.93727491	.
112L1	 25	4	 830.00	276.138	138.069	439.397	LIGHT	0.61032496	.
112L1	 26	4	 735.00	173.068	 86.534	275.390	LIGHT	0.34814134	.
112L1	 27	4	 675.50	204.875	102.437	326.001	LIGHT	0.67545508	.
112L1	 28	4	 646.50	 63.532	 31.766	101.094	LIGHT	0.51908718	.
112L1	 29	4	 654.25	157.971	 78.986	251.368	LIGHT	0.85799462	.
112L1	 30	4	 750.75	 75.901	 37.950	120.775	LIGHT	0.23822102	.
