Genotype	TimePoint	N	VO2.1.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	2648.25	 501.364	250.682	 797.783	DARK	0.63005283	.
112L1	  2	4	2617.50	 527.965	263.982	 840.110	DARK	0.85380221	.
112L1	  3	4	2774.25	 628.504	314.252	1000.090	DARK	0.79061488	.
112L1	  4	4	2626.50	 439.398	219.699	 699.181	DARK	0.68840812	.
112L1	  5	4	2651.75	 209.835	104.918	 333.895	DARK	0.06286655	.
112L1	  6	4	2779.25	 446.671	223.335	 710.753	DARK	0.04172132	*
112L1	  7	4	2591.00	 377.891	188.945	 601.308	DARK	0.20800461	.
112L1	  8	4	2552.00	 423.803	211.901	 674.365	DARK	0.29890272	.
112L1	  9	4	2297.50	 269.371	134.686	 428.630	DARK	0.37521942	.
112L1	 10	4	2505.50	 745.229	372.615	1185.826	DARK	0.29578955	.
112L1	 11	4	2783.25	 735.561	367.781	1170.442	DARK	0.04090235	*
112L1	 12	4	2034.25	 342.898	171.449	 545.627	DARK	0.10339713	.
112L1	 13	4	1736.75	 166.256	 83.128	 264.550	LIGHT	0.11138409	.
112L1	 14	4	2224.50	 927.994	463.997	1476.646	LIGHT	0.59174911	.
112L1	 15	4	2419.50	 449.670	224.835	 715.525	LIGHT	0.70499799	.
112L1	 16	4	1790.00	  36.313	 18.157	  57.783	LIGHT	0.28520546	.
112L1	 17	4	1454.25	 253.340	126.670	 403.120	LIGHT	0.04293507	*
112L1	 18	4	1744.25	 688.477	344.238	1095.520	LIGHT	0.55834114	.
112L1	 19	4	2126.25	 835.612	417.806	1329.645	LIGHT	0.95891392	.
112L1	 20	4	1719.75	 420.230	210.115	 668.679	LIGHT	0.90446722	.
112L1	 21	4	2082.75	 381.234	190.617	 606.629	LIGHT	0.14057255	.
112L1	 22	4	1847.00	 372.983	186.492	 593.500	LIGHT	0.58828569	.
112L1	 23	4	1795.75	 570.046	285.023	 907.070	LIGHT	0.57002638	.
112L1	 24	4	2383.50	1021.518	510.759	1625.464	LIGHT	0.70723094	.
112L1	 25	4	2361.75	 671.734	335.867	1068.878	LIGHT	0.30409042	.
112L1	 26	4	2042.75	 495.381	247.690	 788.262	LIGHT	0.44523849	.
112L1	 27	4	2022.50	 653.919	326.959	1040.531	LIGHT	0.62850325	.
112L1	 28	4	1845.25	 233.146	116.573	 370.987	LIGHT	0.54511389	.
112L1	 29	4	1849.50	 570.852	285.426	 908.353	LIGHT	0.98736706	.
112L1	 30	4	2181.25	 278.450	139.225	 443.076	LIGHT	0.67498865	.
112L1	 31	4	2145.50	 487.203	243.602	 775.249	LIGHT	0.82976328	.
112L1	 32	4	2400.50	 681.116	340.558	1083.808	DARK	0.47416676	.
112L1	 33	4	2836.75	 260.866	130.433	 415.096	DARK	0.67484172	.
112L1	 34	4	2601.00	 427.560	213.780	 680.343	DARK	0.22517180	.
112L1	 35	4	2823.50	 430.149	215.075	 684.463	DARK	0.09908871	.
112L1	 36	4	2721.50	 599.936	299.968	 954.632	DARK	0.41970542	.
112L1	 37	4	2420.25	 610.064	305.032	 970.747	DARK	0.34398252	.
112L1	 38	4	2572.00	 284.177	142.089	 452.189	DARK	0.48182969	.
112L1	 39	4	2401.75	 467.567	233.784	 744.003	DARK	0.94266963	.
112L1	 40	4	2478.00	 432.553	216.276	 688.288	DARK	0.15421922	.
112L1	 41	4	2714.50	 502.575	251.288	 799.709	DARK	0.73107032	.
112L1	 42	4	2767.00	 416.432	208.216	 662.637	DARK	0.13221178	.
112L1	 43	4	2663.00	 401.657	200.829	 639.127	DARK	0.10242289	.
112L1	 44	4	2860.75	 321.995	160.998	 512.366	DARK	0.17288052	.
112L1	 45	4	2682.75	 765.810	382.905	1218.575	DARK	0.35484009	.
112L1	 46	4	2535.00	 813.971	406.985	1295.209	DARK	0.83302283	.
112L1	 47	4	1999.25	 186.759	 93.379	 297.175	DARK	0.53097662	.
112L1	 48	4	2144.00	 433.688	216.844	 690.094	DARK	0.61844356	.
112L1	 49	4	2432.00	 784.380	392.190	1248.123	DARK	0.55862738	.
112L1	 50	4	2341.50	 337.416	168.708	 536.904	LIGHT	0.92190236	.
112L1	 51	4	2227.50	 746.559	373.280	1187.943	LIGHT	0.71123866	.
112L1	 52	4	1686.75	 641.086	320.543	1020.111	LIGHT	0.31330466	.
112L1	 53	4	2042.00	 448.896	224.448	 714.293	LIGHT	0.33923231	.
112L1	 54	4	1819.00	 268.501	134.250	 427.245	LIGHT	0.35344029	.
112L1	 55	4	2000.00	 824.258	412.129	1311.578	LIGHT	0.82453566	.
112L1	 56	4	2038.00	 535.250	267.625	 851.702	LIGHT	0.74040187	.
112L1	 57	4	2198.00	 835.172	417.586	1328.945	LIGHT	0.53393310	.
112L1	 58	4	2227.50	 652.649	326.325	1038.511	LIGHT	0.70070332	.
112L1	 59	4	1850.25	 353.446	176.723	 562.412	LIGHT	0.46593709	.
112L1	 60	4	1949.25	 365.103	182.552	 580.960	LIGHT	0.63318580	.
112L1	 61	4	1801.75	 333.078	166.539	 530.001	LIGHT	0.62833624	.
112L1	 62	4	1950.00	 531.113	265.556	 845.119	LIGHT	0.63678282	.
112L1	 63	4	1772.25	 428.620	214.310	 682.030	LIGHT	0.94384992	.
112L1	 64	4	1935.25	 510.403	255.202	 812.166	LIGHT	0.59240891	.
112L1	 65	4	1641.00	 277.615	138.807	 441.747	LIGHT	0.08039894	.
112L1	 66	4	2792.75	1285.424	642.712	2045.396	LIGHT	0.30092381	.
112L1	 67	4	1984.25	 411.795	205.897	 655.257	LIGHT	0.44594825	.
112L1	 68	4	2061.50	 549.554	274.777	 874.463	LIGHT	0.25132779	.
112L1	 69	4	2566.00	 213.861	106.931	 340.301	DARK	0.25284626	.
112L1	 70	4	2456.50	 437.607	218.803	 696.330	DARK	0.25301716	.
112L1	 71	4	2583.75	 243.842	121.921	 388.007	DARK	0.78417986	.
112L1	 72	4	2756.25	 410.921	205.461	 653.867	DARK	0.46704752	.
112L1	 73	4	2716.25	 283.926	141.963	 451.790	DARK	0.34332381	.
112L1	 74	4	2637.75	 179.758	 89.879	 286.035	DARK	0.29401253	.
112L1	 75	4	2584.75	 194.057	 97.029	 308.789	DARK	0.30727281	.
112L1	 76	4	2615.00	 331.589	165.795	 527.632	DARK	0.10670696	.
112L1	 77	4	2814.00	 303.250	151.625	 482.539	DARK	0.35788129	.
112L1	 78	4	2830.00	 480.074	240.037	 763.905	DARK	0.24900573	.
112L1	 79	4	2752.25	 617.831	308.915	 983.107	DARK	0.33619163	.
112L1	 80	4	2765.75	 632.913	316.456	1007.105	DARK	0.88467712	.
112L1	 81	4	3087.00	 441.860	220.930	 703.097	DARK	0.11340274	.
112L1	 82	4	2496.75	 291.320	145.660	 463.556	DARK	0.02096864	*
112L1	 83	4	2385.50	 247.998	123.999	 394.620	DARK	0.64738098	.
112L1	 84	4	2483.25	 286.414	143.207	 455.748	DARK	0.25828270	.
112L1	 85	4	2632.75	 482.065	241.032	 767.072	DARK	0.40813745	.
112L1	 86	4	2739.00	 214.765	107.382	 341.739	DARK	0.40305547	.
112L1	 87	4	2708.25	 255.795	127.897	 407.026	LIGHT	0.21268434	.
112L1	 88	4	2185.25	 229.661	114.831	 365.442	LIGHT	0.96815679	.
112L1	 89	4	2173.25	 757.445	378.722	1205.263	LIGHT	0.90953398	.
112L1	 90	4	2240.25	 522.004	261.002	 830.625	LIGHT	0.09623579	.
112L1	 91	4	2022.25	 464.342	232.171	 738.872	LIGHT	0.62578205	.
112L1	 92	4	1877.50	 634.315	317.157	1009.336	LIGHT	0.45127710	.
112L1	 93	4	1752.50	 282.386	141.193	 449.339	LIGHT	0.16147762	.
112L1	 94	4	2333.00	 390.662	195.331	 621.630	LIGHT	0.87287055	.
112L1	 95	4	1979.00	 536.269	268.135	 853.324	LIGHT	0.40592870	.
112L1	 96	4	2112.75	 540.283	270.142	 859.712	LIGHT	0.48425902	.
112L1	 97	4	1978.00	 550.242	275.121	 875.558	LIGHT	0.59251856	.
112L1	 98	4	1826.00	 453.574	226.787	 721.737	LIGHT	0.74956383	.
112L1	 99	4	2070.75	 745.301	372.650	1185.939	LIGHT	0.37574493	.
112L1	100	4	2009.25	 424.928	212.464	 676.155	LIGHT	0.66046361	.
112L1	101	4	1759.25	 386.747	193.373	 615.400	LIGHT	0.64421994	.
112L1	102	4	2078.75	 415.695	207.847	 661.463	LIGHT	0.96922626	.
112L1	103	4	2026.75	 594.160	297.080	 945.441	LIGHT	0.72699548	.
112L1	104	4	2045.50	 271.804	135.902	 432.502	LIGHT	0.03949730	*
112L1	105	4	1918.00	 466.108	233.054	 741.682	DARK	0.97533858	.
112L1	106	4	2630.25	 398.321	199.160	 633.818	DARK	0.13046343	.
112L1	107	4	2604.75	 340.565	170.282	 541.914	DARK	0.30763763	.
112L1	108	4	2387.00	 233.188	116.594	 371.054	DARK	0.40684366	.
112L1	109	4	2591.75	 366.202	183.101	 582.710	DARK	0.14387627	.
112L1	110	4	2890.50	 299.809	149.905	 477.064	DARK	0.13960539	.
112L1	111	4	2497.00	 424.512	212.256	 675.494	DARK	0.57305645	.
112L2	  1	4	2343.25	 508.971	254.486	 809.887	DARK	0.63005283	.
112L2	  2	4	2470.00	 554.988	277.494	 883.110	DARK	0.85380221	.
112L2	  3	4	2478.50	 610.592	305.296	 971.589	DARK	0.79061488	.
112L2	  4	4	2490.25	 460.166	230.083	 732.227	DARK	0.68840812	.
112L2	  5	4	2677.50	 203.562	101.781	 323.913	DARK	0.06286655	.
112L2	  6	4	2719.00	 426.254	213.127	 678.266	DARK	0.04172132	*
112L2	  7	4	2471.25	 373.595	186.797	 594.472	DARK	0.20800461	.
112L2	  8	4	2631.50	 469.606	234.803	 747.248	DARK	0.29890272	.
112L2	  9	4	2402.75	 388.439	194.220	 618.093	DARK	0.37521942	.
112L2	 10	4	2231.50	 214.620	107.310	 341.508	DARK	0.29578955	.
112L2	 11	4	2667.25	 187.560	 93.780	 298.451	DARK	0.04090235	*
112L2	 12	4	2722.25	 455.095	227.548	 724.158	DARK	0.10339713	.
112L2	 13	4	2322.25	 358.025	179.012	 569.697	LIGHT	0.11138409	.
