Genotype	TimePoint	N	dCO2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	0.345	0.052	0.026	0.082	DARK	0.444550010	.
112L1	  2	4	0.363	0.113	0.057	0.181	DARK	0.526888177	.
112L1	  3	4	0.391	0.117	0.059	0.186	DARK	0.769688646	.
112L1	  4	4	0.370	0.081	0.040	0.129	DARK	0.379979549	.
112L1	  5	4	0.379	0.075	0.038	0.120	DARK	0.022669168	*
112L1	  6	4	0.390	0.093	0.047	0.149	DARK	0.018761476	*
112L1	  7	4	0.370	0.099	0.049	0.157	DARK	0.086584033	.
112L1	  8	4	0.377	0.117	0.058	0.186	DARK	0.065084448	.
112L1	  9	4	0.324	0.092	0.046	0.147	DARK	0.059105321	.
112L1	 10	4	0.338	0.091	0.045	0.144	DARK	0.047256542	*
112L1	 11	4	0.396	0.155	0.078	0.247	DARK	0.028452208	*
112L1	 12	4	0.286	0.085	0.043	0.136	DARK	0.008664402	**
112L1	 13	4	0.238	0.058	0.029	0.092	LIGHT	0.005772104	**
112L1	 14	4	0.310	0.177	0.089	0.282	LIGHT	0.115141559	.
112L1	 15	4	0.322	0.053	0.026	0.084	LIGHT	0.365492021	.
112L1	 16	4	0.239	0.056	0.028	0.089	LIGHT	0.020148524	*
112L1	 17	4	0.200	0.077	0.038	0.122	LIGHT	0.014542978	*
112L1	 18	4	0.243	0.130	0.065	0.206	LIGHT	0.150621527	.
112L1	 19	4	0.253	0.057	0.029	0.091	LIGHT	0.117445721	.
112L1	 20	4	0.214	0.035	0.018	0.056	LIGHT	0.031667545	*
112L1	 21	4	0.261	0.064	0.032	0.102	LIGHT	0.017568491	*
112L1	 22	4	0.223	0.023	0.012	0.037	LIGHT	0.068400389	.
112L1	 23	4	0.219	0.019	0.010	0.031	LIGHT	0.019616884	*
112L1	 24	4	0.282	0.084	0.042	0.133	LIGHT	0.588505785	.
112L1	 25	4	0.302	0.102	0.051	0.163	LIGHT	0.870108418	.
112L1	 26	4	0.268	0.071	0.036	0.113	LIGHT	0.097122334	.
112L1	 27	4	0.243	0.060	0.030	0.096	LIGHT	0.378505434	.
112L1	 28	4	0.238	0.040	0.020	0.064	LIGHT	0.074591359	.
112L1	 29	4	0.235	0.025	0.013	0.040	LIGHT	0.112696894	.
112L1	 30	4	0.275	0.048	0.024	0.077	LIGHT	0.053260165	.
112L1	 31	4	0.293	0.081	0.040	0.128	LIGHT	0.341911886	.
112L1	 32	4	0.317	0.080	0.040	0.127	DARK	0.328255464	.
112L1	 33	4	0.384	0.055	0.028	0.088	DARK	0.304390700	.
112L1	 34	4	0.366	0.075	0.038	0.120	DARK	0.830074509	.
112L1	 35	4	0.396	0.062	0.031	0.099	DARK	0.582517980	.
112L1	 36	4	0.376	0.085	0.043	0.135	DARK	0.924932772	.
112L1	 37	4	0.346	0.129	0.065	0.205	DARK	0.946624240	.
112L1	 38	4	0.364	0.076	0.038	0.121	DARK	0.545640236	.
112L1	 39	4	0.334	0.105	0.052	0.166	DARK	0.269407612	.
112L1	 40	4	0.353	0.123	0.061	0.196	DARK	0.070603514	.
112L1	 41	4	0.372	0.054	0.027	0.086	DARK	0.502556505	.
