Genotype	TimePoint	N	dO2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	0.393	0.041	0.020	0.065	DARK	0.368872655	.
112L1	  2	4	0.403	0.120	0.060	0.191	DARK	0.436344238	.
112L1	  3	4	0.424	0.116	0.058	0.185	DARK	0.659771776	.
112L1	  4	4	0.400	0.081	0.040	0.129	DARK	0.227591008	.
112L1	  5	4	0.405	0.068	0.034	0.108	DARK	0.008759820	**
112L1	  6	4	0.421	0.074	0.037	0.118	DARK	0.004547668	***
112L1	  7	4	0.398	0.098	0.049	0.155	DARK	0.061612648	.
112L1	  8	4	0.400	0.119	0.059	0.189	DARK	0.085770021	.
112L1	  9	4	0.352	0.076	0.038	0.121	DARK	0.030964843	*
112L1	 10	4	0.369	0.067	0.034	0.107	DARK	0.026649623	*
112L1	 11	4	0.431	0.151	0.076	0.241	DARK	0.024318647	*
112L1	 12	4	0.310	0.072	0.036	0.114	DARK	0.006851116	**
112L1	 13	4	0.264	0.055	0.028	0.088	LIGHT	0.019664074	*
112L1	 14	4	0.344	0.170	0.085	0.270	LIGHT	0.127221781	.
112L1	 15	4	0.362	0.056	0.028	0.089	LIGHT	0.721083098	.
112L1	 16	4	0.272	0.054	0.027	0.086	LIGHT	0.035867887	*
112L1	 17	4	0.226	0.073	0.036	0.116	LIGHT	0.011115224	*
112L1	 18	4	0.267	0.121	0.061	0.193	LIGHT	0.135209883	.
112L1	 19	4	0.303	0.057	0.028	0.090	LIGHT	0.111413761	.
112L1	 20	4	0.251	0.034	0.017	0.054	LIGHT	0.064248592	.
112L1	 21	4	0.310	0.068	0.034	0.109	LIGHT	0.012678652	*
112L1	 22	4	0.270	0.015	0.007	0.024	LIGHT	0.062104524	.
112L1	 23	4	0.259	0.025	0.013	0.040	LIGHT	0.012928316	*
112L1	 24	4	0.338	0.092	0.046	0.147	LIGHT	0.645815705	.
112L1	 25	4	0.349	0.097	0.048	0.154	LIGHT	0.861040938	.
112L1	 26	4	0.305	0.079	0.039	0.126	LIGHT	0.090985618	.
112L1	 27	4	0.292	0.061	0.031	0.098	LIGHT	0.278846686	.
112L1	 28	4	0.277	0.051	0.026	0.081	LIGHT	0.056257440	.
112L1	 29	4	0.269	0.033	0.017	0.053	LIGHT	0.050828698	.
112L1	 30	4	0.326	0.063	0.031	0.100	LIGHT	0.094964356	.
112L1	 31	4	0.326	0.090	0.045	0.143	LIGHT	0.290337537	.
112L1	 32	4	0.357	0.092	0.046	0.146	DARK	0.318958968	.
112L1	 33	4	0.428	0.058	0.029	0.093	DARK	0.224152092	.
112L1	 34	4	0.395	0.075	0.038	0.120	DARK	0.845942015	.
112L1	 35	4	0.426	0.051	0.025	0.081	DARK	0.860050886	.
112L1	 36	4	0.413	0.102	0.051	0.162	DARK	0.769188370	.
112L1	 37	4	0.377	0.137	0.069	0.218	DARK	0.981852518	.
112L1	 38	4	0.392	0.074	0.037	0.117	DARK	0.599749241	.
112L1	 39	4	0.372	0.119	0.060	0.190	DARK	0.210724713	.
112L1	 40	4	0.387	0.124	0.062	0.198	DARK	0.048211535	*
112L1	 41	4	0.410	0.076	0.038	0.122	DARK	0.485072185	.
112L1	 42	4	0.426	0.112	0.056	0.178	DARK	0.041457281	*
112L1	 43	4	0.415	0.131	0.065	0.208	DARK	0.080491212	.
112L1	 44	4	0.446	0.123	0.061	0.196	DARK	0.190570599	.
112L1	 45	4	0.426	0.176	0.088	0.280	DARK	0.565822569	.
112L1	 46	4	0.408	0.184	0.092	0.293	DARK	0.802281410	.
112L1	 47	4	0.310	0.079	0.039	0.125	DARK	0.052673164	.
112L1	 48	4	0.328	0.082	0.041	0.131	DARK	0.056664954	.
112L1	 49	4	0.385	0.158	0.079	0.251	DARK	0.092266631	.
112L1	 50	4	0.354	0.043	0.022	0.069	LIGHT	0.141374062	.
112L1	 51	4	0.354	0.156	0.078	0.249	LIGHT	0.875782665	.
112L1	 52	4	0.274	0.135	0.067	0.215	LIGHT	0.073852355	.
112L1	 53	4	0.305	0.044	0.022	0.069	LIGHT	0.010094331	*
112L1	 54	4	0.285	0.090	0.045	0.143	LIGHT	0.066052513	.
112L1	 55	4	0.310	0.145	0.073	0.231	LIGHT	0.236200295	.
112L1	 56	4	0.308	0.094	0.047	0.149	LIGHT	0.104160712	.
112L1	 57	4	0.318	0.059	0.029	0.093	LIGHT	0.022364039	*
112L1	 58	4	0.339	0.132	0.066	0.210	LIGHT	0.828736671	.
112L1	 59	4	0.280	0.070	0.035	0.112	LIGHT	0.127497064	.
112L1	 60	4	0.295	0.068	0.034	0.109	LIGHT	0.209679631	.
112L1	 61	4	0.272	0.066	0.033	0.105	LIGHT	0.077462124	.
112L1	 62	4	0.290	0.068	0.034	0.108	LIGHT	0.722564519	.
112L1	 63	4	0.264	0.073	0.037	0.116	LIGHT	0.171319308	.
112L1	 64	4	0.292	0.098	0.049	0.156	LIGHT	0.081006637	.
112L1	 65	4	0.251	0.077	0.039	0.123	LIGHT	0.011191988	*
112L1	 66	4	0.400	0.119	0.059	0.189	LIGHT	0.483547179	.
112L1	 67	4	0.300	0.063	0.032	0.100	LIGHT	0.427214847	.
112L1	 68	4	0.316	0.113	0.056	0.180	LIGHT	0.601433193	.
112L1	 69	4	0.390	0.065	0.033	0.104	DARK	0.585887525	.
112L1	 70	4	0.369	0.051	0.025	0.081	DARK	0.219051627	.
112L1	 71	4	0.395	0.082	0.041	0.131	DARK	0.424601608	.
112L1	 72	4	0.418	0.097	0.048	0.154	DARK	0.231414435	.
112L1	 73	4	0.413	0.046	0.023	0.074	DARK	0.549645257	.
112L1	 74	4	0.405	0.084	0.042	0.134	DARK	0.751238757	.
112L1	 75	4	0.395	0.066	0.033	0.106	DARK	0.725529110	.
112L1	 76	4	0.400	0.081	0.040	0.129	DARK	0.062387854	.
112L1	 77	4	0.436	0.107	0.053	0.170	DARK	0.136660426	.
112L1	 78	4	0.439	0.131	0.065	0.208	DARK	0.062574008	.
112L1	 79	4	0.431	0.152	0.076	0.241	DARK	0.158147515	.
112L1	 80	4	0.431	0.148	0.074	0.236	DARK	0.436006163	.
112L1	 81	4	0.477	0.126	0.063	0.201	DARK	0.704557995	.
112L1	 82	4	0.392	0.113	0.056	0.179	DARK	0.003444093	***
112L1	 83	4	0.372	0.097	0.048	0.154	DARK	0.086886573	.
112L1	 84	4	0.388	0.110	0.055	0.175	DARK	0.091348786	.
112L1	 85	4	0.410	0.123	0.061	0.195	DARK	0.183058037	.
112L1	 86	4	0.429	0.109	0.054	0.173	DARK	0.304547041	.
112L1	 87	4	0.423	0.105	0.052	0.167	LIGHT	0.896657644	.
112L1	 88	4	0.338	0.075	0.037	0.119	LIGHT	0.410524308	.
112L1	 89	4	0.341	0.168	0.084	0.267	LIGHT	0.590153594	.
112L1	 90	4	0.341	0.097	0.049	0.155	LIGHT	0.009093414	**
112L1	 91	4	0.321	0.115	0.057	0.183	LIGHT	0.111046974	.
112L1	 92	4	0.295	0.126	0.063	0.200	LIGHT	0.113728115	.
112L1	 93	4	0.267	0.067	0.033	0.106	LIGHT	0.036205554	*
112L1	 94	4	0.349	0.068	0.034	0.108	LIGHT	0.408563352	.
112L1	 95	4	0.290	0.039	0.020	0.062	LIGHT	0.022018399	*
112L1	 96	4	0.316	0.085	0.042	0.135	LIGHT	0.199344819	.
112L1	 97	4	0.308	0.130	0.065	0.207	LIGHT	0.295304599	.
112L1	 98	4	0.280	0.095	0.047	0.151	LIGHT	0.481938778	.
112L1	 99	4	0.305	0.071	0.036	0.113	LIGHT	0.039717597	*
112L1	100	4	0.303	0.062	0.031	0.099	LIGHT	0.190474640	.
112L1	101	4	0.267	0.067	0.033	0.106	LIGHT	0.043166089	*
112L1	102	4	0.308	0.030	0.015	0.048	LIGHT	0.079644699	.
112L1	103	4	0.305	0.108	0.054	0.172	LIGHT	0.294246644	.
112L1	104	4	0.316	0.095	0.048	0.151	LIGHT	0.154580248	.
112L1	105	4	0.292	0.079	0.040	0.126	DARK	0.148913776	.
112L1	106	4	0.400	0.068	0.034	0.109	DARK	0.535500417	.
112L1	107	4	0.408	0.106	0.053	0.169	DARK	0.923728618	.
112L1	108	4	0.370	0.051	0.025	0.081	DARK	0.468687290	.
112L1	109	4	0.400	0.081	0.040	0.129	DARK	0.978771194	.
112L1	110	4	0.444	0.054	0.027	0.086	DARK	0.841723195	.
112L1	111	4	0.388	0.095	0.047	0.150	DARK	0.331433347	.
112L2	  1	4	0.475	0.117	0.059	0.187	DARK	0.368872655	.
112L2	  2	4	0.500	0.123	0.061	0.195	DARK	0.436344238	.
112L2	  3	4	0.500	0.121	0.061	0.193	DARK	0.659771776	.
112L2	  4	4	0.505	0.099	0.049	0.157	DARK	0.227591008	.
112L2	  5	4	0.544	0.030	0.015	0.048	DARK	0.008759820	**
112L2	  6	4	0.554	0.078	0.039	0.125	DARK	0.004547668	***
112L2	  7	4	0.503	0.069	0.034	0.109	DARK	0.061612648	.
112L2	  8	4	0.536	0.084	0.042	0.134	DARK	0.085770021	.
112L2	  9	4	0.490	0.081	0.040	0.128	DARK	0.030964843	*
112L2	 10	4	0.457	0.053	0.027	0.085	DARK	0.026649623	*
112L2	 11	4	0.544	0.043	0.022	0.069	DARK	0.024318647	*
112L2	 12	4	0.557	0.106	0.053	0.169	DARK	0.006851116	**
112L2	 13	4	0.475	0.085	0.042	0.135	LIGHT	0.019664074	*
112L2	 14	4	0.557	0.104	0.052	0.165	LIGHT	0.127221781	.
112L2	 15	4	0.423	0.071	0.035	0.112	LIGHT	0.721083098	.
112L2	 16	4	0.434	0.110	0.055	0.175	LIGHT	0.035867887	*
112L2	 17	4	0.493	0.147	0.074	0.235	LIGHT	0.011115224	*
112L2	 18	4	0.467	0.128	0.064	0.204	LIGHT	0.135209883	.
112L2	 19	4	0.408	0.046	0.023	0.073	LIGHT	0.111413761	.
112L2	 20	4	0.369	0.017	0.008	0.027	LIGHT	0.064248592	.
112L2	 21	4	0.449	0.074	0.037	0.118	LIGHT	0.012678652	*
112L2	 22	4	0.418	0.142	0.071	0.226	LIGHT	0.062104524	.
112L2	 23	4	0.413	0.093	0.046	0.148	LIGHT	0.012928316	*
112L2	 24	4	0.398	0.092	0.046	0.146	LIGHT	0.645815705	.
112L2	 25	4	0.354	0.027	0.014	0.043	LIGHT	0.861040938	.
