Genotype	TimePoint	N	TareDrink	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	0.000	0.000	0.000	0.000	DARK	1.0000000	.
112L1	  2	4	0.153	0.285	0.143	0.454	DARK	0.6990409	.
112L1	  3	4	0.312	0.350	0.175	0.556	DARK	0.9624309	.
112L1	  4	4	0.385	0.446	0.223	0.710	DARK	0.9371297	.
112L1	  5	4	0.490	0.555	0.278	0.884	DARK	0.7931179	.
112L1	  6	4	0.665	0.760	0.380	1.209	DARK	0.6193827	.
112L1	  7	4	0.753	0.722	0.361	1.149	DARK	0.4764434	.
112L1	  8	4	0.762	0.729	0.365	1.160	DARK	0.2364401	.
112L1	  9	4	0.900	0.923	0.461	1.468	DARK	0.2319901	.
112L1	 10	4	0.992	1.013	0.506	1.611	DARK	0.3287769	.
112L1	 11	4	1.030	1.063	0.531	1.691	DARK	0.3391234	.
112L1	 12	4	1.040	1.076	0.538	1.712	DARK	0.3375245	.
112L1	 13	4	1.125	1.149	0.574	1.828	LIGHT	0.4098234	.
112L1	 14	4	1.130	1.144	0.572	1.820	LIGHT	0.3325161	.
112L1	 15	4	1.155	1.121	0.560	1.783	LIGHT	0.2462327	.
112L1	 16	4	1.155	1.121	0.560	1.783	LIGHT	0.2158468	.
112L1	 17	4	1.155	1.121	0.560	1.783	LIGHT	0.2139876	.
112L1	 18	4	1.158	1.123	0.562	1.787	LIGHT	0.1954890	.
112L1	 19	4	1.158	1.123	0.562	1.787	LIGHT	0.1948205	.
112L1	 20	4	1.158	1.123	0.562	1.787	LIGHT	0.1930924	.
112L1	 21	4	1.165	1.120	0.560	1.782	LIGHT	0.1863490	.
112L1	 22	4	1.165	1.120	0.560	1.782	LIGHT	0.1451503	.
112L1	 23	4	1.168	1.122	0.561	1.786	LIGHT	0.1456385	.
112L1	 24	4	1.175	1.112	0.556	1.769	LIGHT	0.1549991	.
112L1	 25	4	1.180	1.105	0.553	1.759	LIGHT	0.1526915	.
112L1	 26	4	1.180	1.105	0.553	1.759	LIGHT	0.1563479	.
112L1	 27	4	1.180	1.105	0.553	1.759	LIGHT	0.1555745	.
