Genotype	TimePoint	N	TareFeed	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 0.000	0.000	0.000	0.000	DARK	1.00000000	.
112L1	  2	4	 0.198	0.156	0.078	0.249	DARK	0.89746997	.
112L1	  3	4	 0.373	0.306	0.153	0.487	DARK	0.97522977	.
112L1	  4	4	 0.517	0.261	0.130	0.415	DARK	0.88955332	.
112L1	  5	4	 0.693	0.423	0.211	0.673	DARK	0.58217350	.
112L1	  6	4	 0.842	0.482	0.241	0.767	DARK	0.41070020	.
112L1	  7	4	 0.957	0.558	0.279	0.888	DARK	0.36551338	.
112L1	  8	4	 1.027	0.606	0.303	0.965	DARK	0.36666160	.
112L1	  9	4	 1.128	0.689	0.345	1.097	DARK	0.39107005	.
112L1	 10	4	 1.263	0.813	0.407	1.294	DARK	0.55016313	.
112L1	 11	4	 1.350	0.807	0.403	1.284	DARK	0.33595714	.
112L1	 12	4	 1.350	0.807	0.403	1.284	DARK	0.31854184	.
112L1	 13	4	 1.412	0.911	0.455	1.449	LIGHT	0.37516611	.
112L1	 14	4	 1.435	0.896	0.448	1.426	LIGHT	0.20565601	.
112L1	 15	4	 1.458	0.888	0.444	1.413	LIGHT	0.13334156	.
112L1	 16	4	 1.492	0.901	0.451	1.434	LIGHT	0.12191924	.
112L1	 17	4	 1.492	0.901	0.451	1.434	LIGHT	0.09474376	.
112L1	 18	4	 1.495	0.905	0.453	1.440	LIGHT	0.07133083	.
112L1	 19	4	 1.497	0.909	0.455	1.447	LIGHT	0.06495119	.
112L1	 20	4	 1.497	0.909	0.455	1.447	LIGHT	0.06402817	.
112L1	 21	4	 1.537	0.930	0.465	1.480	LIGHT	0.05637199	.
112L1	 22	4	 1.537	0.930	0.465	1.480	LIGHT	0.05099383	.
112L1	 23	4	 1.540	0.929	0.464	1.478	LIGHT	0.04679585	*
112L1	 24	4	 1.595	0.894	0.447	1.422	LIGHT	0.04824873	*
112L1	 25	4	 1.657	0.981	0.490	1.560	LIGHT	0.06574395	.
112L1	 26	4	 1.657	0.981	0.490	1.560	LIGHT	0.07073576	.
112L1	 27	4	 1.663	0.983	0.491	1.564	LIGHT	0.07885527	.
112L1	 28	4	 1.665	0.987	0.493	1.571	LIGHT	0.07987078	.
112L1	 29	4	 1.675	0.973	0.487	1.549	LIGHT	0.06959731	.
112L1	 30	4	 1.772	0.927	0.464	1.475	LIGHT	0.06652236	.
112L1	 31	4	 1.855	0.907	0.453	1.443	LIGHT	0.10949813	.
112L1	 32	4	 1.963	0.979	0.489	1.557	DARK	0.14313360	.
112L1	 33	4	 2.070	0.980	0.490	1.560	DARK	0.15475693	.
112L1	 34	4	 2.262	0.886	0.443	1.410	DARK	0.19934532	.
112L1	 35	4	 2.362	0.970	0.485	1.543	DARK	0.25710568	.
112L1	 36	4	 2.498	0.962	0.481	1.530	DARK	0.25846778	.
112L1	 37	4	 2.567	0.927	0.463	1.475	DARK	0.34735352	.
112L1	 38	4	 2.717	1.058	0.529	1.684	DARK	0.34715508	.
112L1	 39	4	 2.805	1.072	0.536	1.705	DARK	0.25015729	.
112L1	 40	4	 2.952	0.992	0.496	1.579	DARK	0.27271925	.
112L1	 41	4	 3.087	1.065	0.532	1.694	DARK	0.33911665	.
112L1	 42	4	 3.205	1.097	0.548	1.745	DARK	0.20503265	.
112L1	 43	4	 3.302	1.142	0.571	1.817	DARK	0.16451811	.
112L1	 44	4	 3.588	1.320	0.660	2.101	DARK	0.20724675	.
112L1	 45	4	 3.765	1.421	0.710	2.261	DARK	0.23775688	.
112L1	 46	4	 3.905	1.545	0.773	2.459	DARK	0.27809997	.
112L1	 47	4	 3.923	1.567	0.783	2.493	DARK	0.28931520	.
112L1	 48	4	 4.100	1.638	0.819	2.607	DARK	0.25273143	.
112L1	 49	4	 4.100	1.638	0.819	2.607	DARK	0.18975978	.
112L1	 50	4	 4.288	1.800	0.900	2.864	LIGHT	0.25920432	.
112L1	 51	4	 4.385	1.846	0.923	2.937	LIGHT	0.25227659	.
112L1	 52	4	 4.385	1.846	0.923	2.937	LIGHT	0.20349500	.
112L1	 53	4	 4.388	1.849	0.924	2.942	LIGHT	0.17850857	.
112L1	 54	4	 4.478	1.956	0.978	3.113	LIGHT	0.15110555	.
112L1	 55	4	 4.478	1.956	0.978	3.113	LIGHT	0.11974881	.
112L1	 56	4	 4.478	1.956	0.978	3.113	LIGHT	0.11096967	.
112L1	 57	4	 4.492	1.928	0.964	3.068	LIGHT	0.10906841	.
112L1	 58	4	 4.602	1.964	0.982	3.126	LIGHT	0.11890334	.
112L1	 59	4	 4.602	1.964	0.982	3.126	LIGHT	0.10075425	.
112L1	 60	4	 4.602	1.964	0.982	3.126	LIGHT	0.09388549	.
112L1	 61	4	 4.602	1.964	0.982	3.126	LIGHT	0.09870110	.
112L1	 62	4	 4.645	1.883	0.942	2.997	LIGHT	0.09368840	.
112L1	 63	4	 4.645	1.883	0.942	2.997	LIGHT	0.09745590	.
112L1	 64	4	 4.645	1.883	0.942	2.997	LIGHT	0.10095566	.
112L1	 65	4	 4.645	1.883	0.942	2.997	LIGHT	0.09177105	.
112L1	 66	4	 4.780	1.732	0.866	2.756	LIGHT	0.08795021	.
112L1	 67	4	 4.822	1.784	0.892	2.838	LIGHT	0.10339764	.
112L1	 68	4	 4.873	1.814	0.907	2.886	LIGHT	0.12091502	.
112L1	 69	4	 5.028	1.758	0.879	2.797	DARK	0.13875493	.
112L1	 70	4	 5.203	1.666	0.833	2.651	DARK	0.16358688	.
112L1	 71	4	 5.330	1.713	0.856	2.725	DARK	0.18911403	.
112L1	 72	4	 5.525	1.881	0.940	2.993	DARK	0.23872101	.
112L1	 73	4	 5.772	2.022	1.011	3.217	DARK	0.31852218	.
112L1	 74	4	 5.882	2.059	1.029	3.276	DARK	0.28830458	.
112L1	 75	4	 6.032	2.015	1.007	3.206	DARK	0.32997661	.
112L1	 76	4	 6.260	2.077	1.039	3.306	DARK	0.42408259	.
112L1	 77	4	 6.415	2.204	1.102	3.507	DARK	0.39437773	.
112L1	 78	4	 6.560	2.324	1.162	3.698	DARK	0.34213319	.
112L1	 79	4	 6.745	2.423	1.211	3.855	DARK	0.37977083	.
112L1	 80	4	 6.980	2.518	1.259	4.007	DARK	0.36755826	.
112L1	 81	4	 7.293	2.524	1.262	4.016	DARK	0.38955949	.
112L1	 82	4	 7.322	2.540	1.270	4.042	DARK	0.32239399	.
112L1	 83	4	 7.405	2.655	1.328	4.225	DARK	0.32997717	.
112L1	 84	4	 7.697	2.841	1.420	4.520	DARK	0.39088735	.
112L1	 85	4	 7.825	2.838	1.419	4.516	DARK	0.35963300	.
112L1	 86	4	 8.203	2.961	1.480	4.712	DARK	0.39065023	.
112L1	 87	4	 8.367	2.943	1.472	4.683	LIGHT	0.40114146	.
112L1	 88	4	 8.373	2.947	1.474	4.690	LIGHT	0.39617519	.
112L1	 89	4	 8.405	2.958	1.479	4.706	LIGHT	0.39950261	.
112L1	 90	4	 8.410	2.964	1.482	4.717	LIGHT	0.32630515	.
112L1	 91	4	 8.485	3.049	1.524	4.851	LIGHT	0.31738632	.
112L1	 92	4	 8.485	3.049	1.524	4.851	LIGHT	0.25161786	.
112L1	 93	4	 8.485	3.049	1.524	4.851	LIGHT	0.23055392	.
112L1	 94	4	 8.560	3.073	1.536	4.889	LIGHT	0.24706793	.
112L1	 95	4	 8.613	2.978	1.489	4.739	LIGHT	0.24135216	.
112L1	 96	4	 8.688	3.000	1.500	4.774	LIGHT	0.22293183	.
112L1	 97	4	 8.742	3.072	1.536	4.888	LIGHT	0.23484568	.
112L1	 98	4	 8.747	3.079	1.540	4.900	LIGHT	0.23525175	.
112L1	 99	4	 8.870	2.862	1.431	4.554	LIGHT	0.22311751	.
112L1	100	4	 8.877	2.849	1.424	4.533	LIGHT	0.22223139	.
112L1	101	4	 8.877	2.849	1.424	4.533	LIGHT	0.26757896	.
112L1	102	4	 8.907	2.796	1.398	4.449	LIGHT	0.25103506	.
112L1	103	4	 8.975	2.818	1.409	4.484	LIGHT	0.26764353	.
112L1	104	4	 9.010	2.807	1.403	4.466	LIGHT	0.27944030	.
112L1	105	4	 9.032	2.840	1.420	4.519	DARK	0.29194224	.
112L1	106	4	 9.312	2.819	1.410	4.486	DARK	0.30557510	.
112L1	107	4	 9.410	2.922	1.461	4.649	DARK	0.30068955	.
112L1	108	4	 9.543	2.987	1.493	4.752	DARK	0.33467375	.
112L1	109	4	 9.675	3.044	1.522	4.843	DARK	0.38691573	.
112L1	110	4	 9.975	3.234	1.617	5.146	DARK	0.42871677	.
112L1	111	4	10.010	3.183	1.591	5.064	DARK	0.44769542	.
112L2	  1	4	 0.000	0.000	0.000	0.000	DARK	1.00000000	.
112L2	  2	4	 0.157	0.165	0.082	0.262	DARK	0.89746997	.
112L2	  3	4	 0.327	0.378	0.189	0.602	DARK	0.97522977	.
112L2	  4	4	 0.475	0.480	0.240	0.763	DARK	0.88955332	.
112L2	  5	4	 0.648	0.365	0.182	0.581	DARK	0.58217350	.
112L2	  6	4	 0.893	0.564	0.282	0.898	DARK	0.41070020	.
112L2	  7	4	 1.050	0.606	0.303	0.965	DARK	0.36551338	.
112L2	  8	4	 1.310	0.716	0.358	1.140	DARK	0.36666160	.
112L2	  9	4	 1.365	0.723	0.362	1.151	DARK	0.39107005	.
112L2	 10	4	 1.375	0.708	0.354	1.126	DARK	0.55016313	.
112L2	 11	4	 1.602	0.664	0.332	1.056	DARK	0.33595714	.
112L2	 12	4	 1.682	0.648	0.324	1.032	DARK	0.31854184	.
112L2	 13	4	 1.943	0.564	0.282	0.898	LIGHT	0.37516611	.
112L2	 14	4	 2.155	0.548	0.274	0.873	LIGHT	0.20565601	.
112L2	 15	4	 2.275	0.512	0.256	0.815	LIGHT	0.13334156	.
112L2	 16	4	 2.330	0.533	0.266	0.848	LIGHT	0.12191924	.
112L2	 17	4	 2.420	0.578	0.289	0.919	LIGHT	0.09474376	.
112L2	 18	4	 2.522	0.549	0.275	0.874	LIGHT	0.07133083	.
112L2	 19	4	 2.540	0.515	0.257	0.819	LIGHT	0.06495119	.
112L2	 20	4	 2.545	0.517	0.259	0.823	LIGHT	0.06402817	.
112L2	 21	4	 2.675	0.618	0.309	0.983	LIGHT	0.05637199	.
112L2	 22	4	 2.753	0.703	0.351	1.118	LIGHT	0.05099383	.
112L2	 23	4	 2.808	0.725	0.363	1.154	LIGHT	0.04679585	*
112L2	 24	4	 2.823	0.742	0.371	1.181	LIGHT	0.04824873	*
112L2	 25	4	 2.823	0.742	0.371	1.181	LIGHT	0.06574395	.
112L2	 26	4	 2.823	0.742	0.371	1.181	LIGHT	0.07073576	.
112L2	 27	4	 2.823	0.742	0.371	1.181	LIGHT	0.07885527	.
112L2	 28	4	 2.823	0.742	0.371	1.181	LIGHT	0.07987078	.
112L2	 29	4	 2.865	0.751	0.376	1.195	LIGHT	0.06959731	.
112L2	 30	4	 2.990	0.848	0.424	1.349	LIGHT	0.06652236	.
112L2	 31	4	 2.990	0.848	0.424	1.349	LIGHT	0.10949813	.
112L2	 32	4	 3.035	0.857	0.429	1.364	DARK	0.14313360	.
112L2	 33	4	 3.250	1.002	0.501	1.595	DARK	0.15475693	.
112L2	 34	4	 3.272	1.024	0.512	1.629	DARK	0.19934532	.
112L2	 35	4	 3.285	1.022	0.511	1.626	DARK	0.25710568	.
112L2	 36	4	 3.447	0.958	0.479	1.525	DARK	0.25846778	.
112L2	 37	4	 3.447	0.958	0.479	1.525	DARK	0.34735352	.
112L2	 38	4	 3.635	0.986	0.493	1.569	DARK	0.34715508	.
112L2	 39	4	 3.805	0.837	0.419	1.332	DARK	0.25015729	.
112L2	 40	4	 3.950	1.053	0.526	1.675	DARK	0.27271925	.
112L2	 41	4	 4.065	1.139	0.569	1.812	DARK	0.33911665	.
112L2	 42	4	 4.372	1.000	0.500	1.592	DARK	0.20503265	.
112L2	 43	4	 4.718	1.228	0.614	1.953	DARK	0.16451811	.
