Genotype	TimePoint	N	Weight	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	2783706	297958.6	148979.3	474118.6	DARK	0.10320921	.
112L1	  2	4	2783494	297842.8	148921.4	473934.4	DARK	0.10277609	.
112L1	  3	4	2783151	298128.4	149064.2	474388.9	DARK	0.10243063	.
112L1	  4	4	2782991	298334.2	149167.1	474716.3	DARK	0.10190781	.
112L1	  5	4	2782766	298363.8	149181.9	474763.4	DARK	0.10115761	.
112L1	  6	4	2782430	298449.9	149224.9	474900.4	DARK	0.10066815	.
112L1	  7	4	2782216	299130.3	149565.1	475983.0	DARK	0.10037242	.
112L1	  8	4	2781956	299417.3	149708.7	476439.8	DARK	0.09985275	.
112L1	  9	4	2781704	299417.4	149708.7	476439.9	DARK	0.09930684	.
112L1	 10	4	2781330	299467.2	149733.6	476519.2	DARK	0.09883928	.
112L1	 11	4	2781253	299761.2	149880.6	476986.9	DARK	0.09840342	.
112L1	 12	4	2780928	300114.8	150057.4	477549.6	DARK	0.09780475	.
112L1	 13	4	2780570	300289.1	150144.5	477826.9	LIGHT	0.09705264	.
112L1	 14	4	2780394	300946.0	150473.0	478872.2	LIGHT	0.09630847	.
112L1	 15	4	2780330	301411.6	150705.8	479613.1	LIGHT	0.09583739	.
112L1	 16	4	2780000	301556.7	150778.3	479844.0	LIGHT	0.09520854	.
112L1	 17	4	2779712	301838.9	150919.4	480293.0	LIGHT	0.09461918	.
112L1	 18	4	2779433	302088.8	151044.4	480690.8	LIGHT	0.09405825	.
112L1	 19	4	2779233	302330.7	151165.4	481075.7	LIGHT	0.09369846	.
112L1	 20	4	2779134	302542.7	151271.3	481412.9	LIGHT	0.09335428	.
112L1	 21	4	2779064	302697.2	151348.6	481658.8	LIGHT	0.09265521	.
112L1	 22	4	2779009	302811.8	151405.9	481841.1	LIGHT	0.09190165	.
112L1	 23	4	2778756	303145.6	151572.8	482372.2	LIGHT	0.09159271	.
112L1	 24	4	2778361	303123.3	151561.7	482336.8	LIGHT	0.09134200	.
112L1	 25	4	2778401	303333.2	151666.6	482670.8	LIGHT	0.09096304	.
112L1	 26	4	2778367	303651.5	151825.7	483177.3	LIGHT	0.09056668	.
112L1	 27	4	2778289	303962.9	151981.5	483672.8	LIGHT	0.09024702	.
112L1	 28	4	2778214	304159.2	152079.6	483985.1	LIGHT	0.08992195	.
112L1	 29	4	2778081	304411.0	152205.5	484385.8	LIGHT	0.08961170	.
112L1	 30	4	2778302	304650.2	152325.1	484766.5	LIGHT	0.08908944	.
112L1	 31	4	2778122	304725.7	152362.9	484886.6	LIGHT	0.08879773	.
112L1	 32	4	2777871	304528.4	152264.2	484572.7	DARK	0.08880823	.
112L1	 33	4	2778027	304635.3	152317.7	484742.8	DARK	0.08888258	.
112L1	 34	4	2778067	304994.0	152497.0	485313.4	DARK	0.08880068	.
112L1	 35	4	2777748	304963.6	152481.8	485265.1	DARK	0.08842950	.
112L1	 36	4	2777650	304969.4	152484.7	485274.3	DARK	0.08818683	.
112L1	 37	4	2777486	305215.2	152607.6	485665.5	DARK	0.08783730	.
112L1	 38	4	2777441	305415.4	152707.7	485984.1	DARK	0.08744550	.
112L1	 39	4	2777540	305592.2	152796.1	486265.4	DARK	0.08720424	.
112L1	 40	4	2777427	305865.8	152932.9	486700.7	DARK	0.08688531	.
112L1	 41	4	2777128	306044.2	153022.1	486984.6	DARK	0.08663142	.
112L1	 42	4	2777062	306299.4	153149.7	487390.7	DARK	0.08644781	.
112L1	 43	4	2776832	306510.8	153255.4	487727.0	DARK	0.08619650	.
112L1	 44	4	2776706	306785.3	153392.6	488163.8	DARK	0.08588100	.
112L1	 45	4	2776498	306897.2	153448.6	488342.0	DARK	0.08567825	.
112L1	 46	4	2776216	306979.1	153489.6	488472.3	DARK	0.08555899	.
112L1	 47	4	2775847	307125.1	153562.6	488704.6	DARK	0.08544608	.
112L1	 48	4	2775592	307438.2	153719.1	489202.7	DARK	0.08520030	.
112L1	 49	4	2775324	307728.6	153864.3	489664.9	DARK	0.08480931	.
112L1	 50	4	2775240	308184.8	154092.4	490390.8	LIGHT	0.08448178	.
112L1	 51	4	2775230	308842.8	154421.4	491437.9	LIGHT	0.08409054	.
112L1	 52	4	2775090	309325.5	154662.8	492205.9	LIGHT	0.08382286	.
112L1	 53	4	2774889	309669.9	154835.0	492753.9	LIGHT	0.08338064	.
112L1	 54	4	2774810	309919.9	154960.0	493151.8	LIGHT	0.08299902	.
112L1	 55	4	2774803	310092.3	155046.2	493426.1	LIGHT	0.08273212	.
112L1	 56	4	2774725	310330.6	155165.3	493805.2	LIGHT	0.08266315	.
112L1	 57	4	2774528	310581.2	155290.6	494204.0	LIGHT	0.08238887	.
112L1	 58	4	2774498	310875.1	155437.5	494671.6	LIGHT	0.08208800	.
112L1	 59	4	2774412	310976.0	155488.0	494832.2	LIGHT	0.08181654	.
112L1	 60	4	2774327	311109.3	155554.7	495044.4	LIGHT	0.08150411	.
112L1	 61	4	2774297	311285.1	155642.5	495324.0	LIGHT	0.08139971	.
112L1	 62	4	2774267	311471.9	155736.0	495621.3	LIGHT	0.08131050	.
112L1	 63	4	2774261	311619.6	155809.8	495856.3	LIGHT	0.08112818	.
112L1	 64	4	2774227	311608.4	155804.2	495838.4	LIGHT	0.08083549	.
112L1	 65	4	2774262	311735.8	155867.9	496041.2	LIGHT	0.08069212	.
112L1	 66	4	2774265	311951.3	155975.6	496384.1	LIGHT	0.08043139	.
112L1	 67	4	2774329	311940.6	155970.3	496367.1	LIGHT	0.08024872	.
112L1	 68	4	2774313	312069.3	156034.6	496571.8	LIGHT	0.08013748	.
112L1	 69	4	2774209	311863.9	155931.9	496245.0	DARK	0.08018607	.
112L1	 70	4	2774312	311921.9	155961.0	496337.4	DARK	0.08032327	.
112L1	 71	4	2774206	311873.3	155936.6	496260.0	DARK	0.08021529	.
112L1	 72	4	2774191	312031.2	156015.6	496511.3	DARK	0.08030650	.
112L1	 73	4	2774085	312059.2	156029.6	496555.8	DARK	0.08046165	.
112L1	 74	4	2774058	312257.4	156128.7	496871.1	DARK	0.08056428	.
112L1	 75	4	2773916	312403.5	156201.7	497103.6	DARK	0.08063466	.
112L1	 76	4	2773710	312719.2	156359.6	497606.0	DARK	0.08078764	.
112L1	 77	4	2773642	312822.6	156411.3	497770.5	DARK	0.08085530	.
112L1	 78	4	2773332	312866.8	156433.4	497840.9	DARK	0.08071492	.
