Date Time Animal Box TempC HumC LightC S.Flow Ref.O2 Ref.CO2 Flow Temp O2 CO2 dO2 dCO2 VO2.1. VO2.2. VO2.3. VCO2.1. VCO2.2. VCO2.3. RER H.1. H.2. H.3. XT.YT XT XA XF YT YA YF Z CenT CenA CenF PerT PerA PerF DistK DistD Speed Drink Feed Weight Right Left SumR.L SumTime SumRuns MaxSpeed AvgSpeed MaxLen TimePoint Phase Day Genotype WgStart DrinkT0 TareDrink FeedT0 TareFeed DistkT0 TareDistK CumXT.YT CumXT CumXA CumXF CumYT CumYA CumYF CumZ CumCenT CumCenA CumCenF CumPerT CumPerA CumPerF CumRight CumLeft CumSumR.L CumSumTime CumSumRuns
11/11/2019 00:25 3376 1 22 50 0 0.25 20.82 0.066 0.35 22.3 20.34 0.536 0.482 0.469 2724 1198 102 2633 1158 98 0.966 13.648 6.002 0.51 1587 134 76 58 1453 1076 377 0 0 0 0 1587 1152 435 600676 1671 1 4.7 5.74 2993421.8 0 0 0 0 0 0 NA 0 1 DARK 4 WT 37.4 4.7 0 5.74 0 600676 0 1587 134 76 58 1453 1076 377 0 0 0 0 1587 1152 435 0 0 0 0 0
11/11/2019 01:04 3376 1 22.1 49 0 0.25 20.81 0.068 0.35 22.4 20.46 0.424 0.349 0.356 1944 855 73 1996 878 75 1.027 9.867 4.339 0.369 9746 4364 3560 804 5382 4407 975 178 2010 1659 351 7736 6308 1428 606058 5382 2 4.7 5.91 2994352.8 611 746 1357 0.82 21 0.34 0.01 14.6 2 DARK 4 WT 37.4 4.7 0 5.74 0.17 600676 5382 11333 4498 3636 862 6835 5483 1352 178 2010 1659 351 9323 7460 1863 611 746 1357 0.82 21
11/11/2019 01:43 3376 1 22.1 51 0 0.25 20.81 0.068 0.35 22.4 20.34 0.537 0.472 0.469 2645 1163 99 2621 1153 98 0.991 13.321 5.858 0.498 6801 3553 2782 771 3248 2473 775 131 1531 1246 285 5270 4009 1261 612544 6486 3 5.02 6.04 2995702.3 34 68 102 0.06 3 0.21 0 1.8 3 DARK 4 WT 37.4 4.7 0.319999999999999 5.74 0.3 600676 11868 18134 8051 6418 1633 10083 7956 2127 309 3541 2905 636 14593 11469 3124 645 814 1459 0.88 24
11/11/2019 02:22 3376 1 22 50 0 0.25 20.81 0.068 0.35 22.4 20.4 0.469 0.41 0.401 2315 1018 87 2247 988 84 0.971 11.608 5.105 0.434 17766 9770 8030 1740 7996 6555 1441 342 4418 3764 654 13348 10821 2527 624717 12173 5 5.18 6.23 2997181.5 814 1425 2239 1.31 35 0.42 0.01 12.7 4 DARK 4 WT 37.4 4.7 0.48 5.74 0.49 600676 24041 35900 17821 14448 3373 18079 14511 3568 651 7959 6669 1290 27941 22290 5651 1459 2239 3698 2.19 59
11/11/2019 03:01 3376 1 22 50 0 0.25 20.81 0.068 0.35 22.4 20.38 0.494 0.431 0.425 2419 1064 90 2379 1046 89 0.984 12.164 5.349 0.455 5680 2113 1646 467 3567 2764 803 4 1223 993 230 4457 3417 1040 628655 3938 2 5.18 6.36 2998626.3 0 0 0 0 0 0 NA 0 5 DARK 4 WT 37.4 4.7 0.48 5.74 0.62 600676 27979 41580 19934 16094 3840 21646 17275 4371 655 9182 7662 1520 32398 25707 6691 1459 2239 3698 2.19 59
11/11/2019 03:40 3376 1 22 50 0 0.25 20.81 0.068 0.35 22.4 20.44 0.426 0.369 0.358 2089 919 78 2008 883 75 0.962 10.453 4.597 0.391 1023 135 4 131 888 634 254 0 0 0 0 1023 638 385 629619 965 0 5.18 6.36 2999300.3 0 0 0 0 0 0 NA 0 6 DARK 4 WT 37.4 4.7 0.48 5.74 0.62 600676 28943 42603 20069 16098 3971 22534 17909 4625 655 9182 7662 1520 33421 26345 7076 1459 2239 3698 2.19 59
11/11/2019 04:19 3376 1 22 50 0 0.25 20.81 0.066 0.35 22.4 20.51 0.35 0.298 0.283 1685 741 63 1584 696 59 0.94 8.393 3.691 0.314 8948 179 77 102 8769 7433 1336 0 0 0 0 8948 7510 1438 638603 8983 4 5.18 6.36 3000159.3 0 0 0 0 0 0 NA 0 7 DARK 4 WT 37.4 4.7 0.48 5.74 0.62 600676 37927 51551 20248 16175 4073 31303 25342 5961 655 9182 7662 1520 42369 33855 8514 1459 2239 3698 2.19 59
11/11/2019 04:58 3376 1 22 49 0 0.25 20.81 0.065 0.35 22.4 20.51 0.33 0.298 0.265 1713 753 64 1485 653 56 0.867 8.395 3.692 0.314 3497 1364 969 395 2133 1698 435 4 663 528 135 2834 2139 695 641518 2915 1 5.18 6.56 3001238.5 0 0 0 0 0 0 NA 0 8 DARK 4 WT 37.4 4.7 0.48 5.74 0.819999999999999 600676 40842 55048 21612 17144 4468 33436 27040 6396 659 9845 8190 1655 45203 35994 9209 1459 2239 3698 2.19 59
11/11/2019 05:37 3376 1 22 50 0 0.25 20.81 0.064 0.35 22.4 20.49 0.373 0.318 0.309 1795 790 67 1730 761 65 0.963 8.989 3.953 0.336 4281 250 82 168 4031 3158 873 0 0 0 0 4281 3240 1041 648820 7302 3 5.18 6.56 3002064.3 0 0 0 0 0 0 NA 0 9 DARK 4 WT 37.4 4.7 0.48 5.74 0.819999999999999 600676 48144 59329 21862 17226 4636 37467 30198 7269 659 9845 8190 1655 49484 39234 10250 1459 2239 3698 2.19 59
11/11/2019 06:16 3376 1 22 50 0 0.25 20.81 0.064 0.35 22.4 20.48 0.375 0.328 0.311 1861 818 70 1737 764 65 0.934 9.254 4.07 0.346 3503 912 675 237 2591 2081 510 0 311 264 47 3192 2492 700 650888 2067 1 5.18 6.65 3003001 0 0 0 0 0 0 NA 0 10 DARK 4 WT 37.4 4.7 0.48 5.74 0.91 600676 50212 62832 22774 17901 4873 40058 32279 7779 659 10156 8454 1702 52676 41726 10950 1459 2239 3698 2.19 59
11/11/2019 06:55 3376 1 22 50 0 0.25 20.81 0.064 0.35 22.4 20.46 0.386 0.349 0.321 1991 876 74 1797 790 67 0.903 9.835 4.325 0.368 3010 1354 1021 333 1656 1283 373 15 800 666 134 2210 1638 572 654257 3369 1 5.19 6.76 3004238 0 0 0 0 0 0 NA 0 11 DARK 4 WT 37.4 4.7 0.49 5.74 1.02 600676 53581 65842 24128 18922 5206 41714 33562 8152 674 10956 9120 1836 54886 43364 11522 1459 2239 3698 2.19 59
11/11/2019 07:34 3376 1 22 50 0 0.25 20.81 0.065 0.35 22.4 20.49 0.379 0.318 0.315 1785 785 67 1760 774 66 0.986 8.982 3.95 0.336 8687 298 172 126 8389 6974 1415 0 0 0 0 8687 7146 1541 659587 5330 2 5.19 6.76 3005033.5 0 0 0 0 0 0 NA 0 12 DARK 4 WT 37.4 4.7 0.49 5.74 1.02 600676 58911 74529 24426 19094 5332 50103 40536 9567 674 10956 9120 1836 63573 50510 13063 1459 2239 3698 2.19 59
11/11/2019 08:13 3376 1 22 49 89 0.25 20.81 0.065 0.35 22.4 20.49 0.358 0.318 0.293 1822 801 68 1642 722 61 0.901 8.996 3.956 0.336 12874 8281 6883 1398 4593 3701 892 348 4011 3256 755 8863 7328 1535 670736 11149 5 5.63 7.22 3006917.8 102 713 814 0.48 13 0.28 0 7.4 13 LIGHT 4 WT 37.4 4.7 0.93 5.74 1.48 600676 70060 87403 32707 25977 6730 54696 44237 10459 1022 14967 12376 2591 72436 57838 14598 1561 2952 4512 2.67 72
11/11/2019 08:52 3376 1 22 50 89 0.25 20.81 0.065 0.35 22.4 20.32 0.533 0.493 0.468 2797 1230 105 2625 1154 98 0.938 13.928 6.125 0.521 1519 204 8 196 1315 813 502 0 0 0 0 1519 821 698 679410 8674 4 5.63 7.22 3009026 0 0 0 0 0 0 NA 0 14 LIGHT 4 WT 37.4 4.7 0.93 5.74 1.48 600676 78734 88922 32911 25985 6926 56011 45050 10961 1022 14967 12376 2591 73955 58659 15296 1561 2952 4512 2.67 72
11/11/2019 09:31 3376 1 22 50 89 0.25 20.81 0.063 0.35 22.4 20.51 0.346 0.298 0.283 1694 745 63 1590 699 59 0.939 8.433 3.709 0.315 2409 39 0 39 2370 1730 640 0 0 0 0 2409 1730 679 685511 6101 3 5.63 7.22 3010202 0 0 0 0 0 0 NA 0 15 LIGHT 4 WT 37.4 4.7 0.93 5.74 1.48 600676 84835 91331 32950 25985 6965 58381 46780 11601 1022 14967 12376 2591 76364 60389 15975 1561 2952 4512 2.67 72
11/11/2019 10:10 3376 1 22 50 89 0.25 20.81 0.065 0.35 22.4 20.58 0.292 0.226 0.226 1263 555 47 1266 557 47 1.002 6.378 2.805 0.239 1613 85 38 47 1528 1041 487 0 0 0 0 1613 1079 534 688799 3288 1 5.63 7.22 3010991.5 0 0 0 0 0 0 NA 0 16 LIGHT 4 WT 37.4 4.7 0.93 5.74 1.48 600676 88123 92944 33035 26023 7012 59909 47821 12088 1022 14967 12376 2591 77977 61468 16509 1561 2952 4512 2.67 72
11/11/2019 10:49 3376 1 22 50 89 0.25 20.81 0.067 0.35 22.4 20.52 0.347 0.287 0.28 1619 712 61 1568 689 59 0.968 8.116 3.569 0.304 11351 4773 3906 867 6578 5251 1327 38 2996 2508 488 8355 6649 1706 699072 10272 4 5.63 7.23 3012397 0 0 0 0 0 0 NA 0 17 LIGHT 4 WT 37.4 4.7 0.93 5.74 1.49 600676 98396 104295 37808 29929 7879 66487 53072 13415 1060 17963 14884 3079 86332 68117 18215 1561 2952 4512 2.67 72
11/11/2019 11:28 3376 1 22 50 89 0.25 20.81 0.065 0.35 22.4 20.56 0.294 0.246 0.229 1404 617 52 1280 563 48 0.912 6.948 3.055 0.26 802 311 2 309 491 270 221 0 0 0 0 802 272 530 703184 4112 2 5.63 7.23 3013055.8 0 0 0 0 0 0 NA 0 18 LIGHT 4 WT 37.4 4.7 0.93 5.74 1.49 600676 102508 105097 38119 29931 8188 66978 53342 13636 1060 17963 14884 3079 87134 68389 18745 1561 2952 4512 2.67 72
